run_id,adapter_id,split,month,trade_count,net_profit,profit_factor,winner_count,loser_count,quality_flag
run219A_stage219_entry_lifecycle_repair_after_bracket_axis_failure_v1,s219_life_control_h3_sd8,validation_is,2025.01,30,11.94,1.116956,15,15,pf_below_34d
run219A_stage219_entry_lifecycle_repair_after_bracket_axis_failure_v1,s219_life_control_h3_sd8,validation_is,2025.02,36,170.95,2.157649,23,13,acceptable_measurement_only
run219A_stage219_entry_lifecycle_repair_after_bracket_axis_failure_v1,s219_life_control_h3_sd8,validation_is,2025.03,32,5.04,1.023852,13,19,pf_below_34d
run219A_stage219_entry_lifecycle_repair_after_bracket_axis_failure_v1,s219_life_control_h3_sd8,validation_is,2025.04,53,262.69,1.936206,33,20,acceptable_measurement_only
run219A_stage219_entry_lifecycle_repair_after_bracket_axis_failure_v1,s219_life_control_h3_sd8,validation_is,2025.05,28,19.29,1.113611,13,15,pf_below_34d
run219A_stage219_entry_lifecycle_repair_after_bracket_axis_failure_v1,s219_life_control_h3_sd8,validation_is,2025.06,22,124.98,2.263317,15,7,acceptable_measurement_only
run219A_stage219_entry_lifecycle_repair_after_bracket_axis_failure_v1,s219_life_control_h3_sd8,validation_is,2025.07,20,161.48,2.271096,11,9,acceptable_measurement_only
run219A_stage219_entry_lifecycle_repair_after_bracket_axis_failure_v1,s219_life_control_h3_sd8,validation_is,2025.08,25,47.86,1.168071,11,14,pf_below_34d
run219A_stage219_entry_lifecycle_repair_after_bracket_axis_failure_v1,s219_life_control_h3_sd8,validation_is,2025.09,23,147.93,1.898997,14,9,acceptable_measurement_only
run219A_stage219_entry_lifecycle_repair_after_bracket_axis_failure_v1,s219_life_control_h3_sd8,oos,2025.10,21,21.7,1.31223,13,8,pf_below_34d
run219A_stage219_entry_lifecycle_repair_after_bracket_axis_failure_v1,s219_life_control_h3_sd8,oos,2025.11,33,202.62,3.101867,21,12,acceptable_measurement_only
run219A_stage219_entry_lifecycle_repair_after_bracket_axis_failure_v1,s219_life_control_h3_sd8,oos,2025.12,20,-29.93,0.773874,10,10,negative_month
run219A_stage219_entry_lifecycle_repair_after_bracket_axis_failure_v1,s219_life_control_h3_sd8,oos,2026.01,31,120.36,1.983092,18,13,acceptable_measurement_only
run219A_stage219_entry_lifecycle_repair_after_bracket_axis_failure_v1,s219_life_control_h3_sd8,oos,2026.02,38,105.64,1.520138,20,18,pf_below_34d
run219A_stage219_entry_lifecycle_repair_after_bracket_axis_failure_v1,s219_life_control_h3_sd8,oos,2026.03,40,304.92,2.119712,21,19,acceptable_measurement_only
run219A_stage219_entry_lifecycle_repair_after_bracket_axis_failure_v1,s219_life_control_h3_sd8,oos,2026.04,12,-5.83,0.921471,7,5,negative_month
run219A_stage219_entry_lifecycle_repair_after_bracket_axis_failure_v1,s219_life_h4_sd8,validation_is,2025.01,29,2.34,1.024457,17,12,pf_below_34d
run219A_stage219_entry_lifecycle_repair_after_bracket_axis_failure_v1,s219_life_h4_sd8,validation_is,2025.02,35,147.37,1.977449,21,14,acceptable_measurement_only
run219A_stage219_entry_lifecycle_repair_after_bracket_axis_failure_v1,s219_life_h4_sd8,validation_is,2025.03,33,41.4,1.18956,18,15,pf_below_34d
run219A_stage219_entry_lifecycle_repair_after_bracket_axis_failure_v1,s219_life_h4_sd8,validation_is,2025.04,53,244.46,1.783576,28,25,acceptable_measurement_only
run219A_stage219_entry_lifecycle_repair_after_bracket_axis_failure_v1,s219_life_h4_sd8,validation_is,2025.05,28,-45.1,0.741518,10,18,negative_month
run219A_stage219_entry_lifecycle_repair_after_bracket_axis_failure_v1,s219_life_h4_sd8,validation_is,2025.06,20,91.7,2.068267,13,7,acceptable_measurement_only
run219A_stage219_entry_lifecycle_repair_after_bracket_axis_failure_v1,s219_life_h4_sd8,validation_is,2025.07,20,253.32,3.033882,12,8,acceptable_measurement_only
run219A_stage219_entry_lifecycle_repair_after_bracket_axis_failure_v1,s219_life_h4_sd8,validation_is,2025.08,25,-13.7,0.956164,10,15,negative_month
