time_open_unix,time_close_unix,contract_symbol,broker_symbol,timeframe,price_basis,open,high,low,close,tick_volume,spread_points,real_volume,time_basis,timezone_status
1776184200,1776184500,MSFT,MSFT.xnas,M5,Bid,387.36,391.93,387.29,391.81,796,6,0,MT5_PY_API_UNIX_SECONDS,UNRESOLVED_REQUIRES_MANUAL_BINDING
1776184500,1776184800,MSFT,MSFT.xnas,M5,Bid,391.78,394.35,391.71,393.14,879,5,0,MT5_PY_API_UNIX_SECONDS,UNRESOLVED_REQUIRES_MANUAL_BINDING
1776184800,1776185100,MSFT,MSFT.xnas,M5,Bid,393.22,393.57,392.09,392.69,912,6,0,MT5_PY_API_UNIX_SECONDS,UNRESOLVED_REQUIRES_MANUAL_BINDING
1776185100,1776185400,MSFT,MSFT.xnas,M5,Bid,392.7,393.46,392.35,393.08,783,5,0,MT5_PY_API_UNIX_SECONDS,UNRESOLVED_REQUIRES_MANUAL_BINDING
1776185400,1776185700,MSFT,MSFT.xnas,M5,Bid,393.09,393.15,391.09,391.37,794,6,0,MT5_PY_API_UNIX_SECONDS,UNRESOLVED_REQUIRES_MANUAL_BINDING
1776185700,1776186000,MSFT,MSFT.xnas,M5,Bid,391.34,391.35,389.64,389.94,737,5,0,MT5_PY_API_UNIX_SECONDS,UNRESOLVED_REQUIRES_MANUAL_BINDING
1776186000,1776186300,MSFT,MSFT.xnas,M5,Bid,389.93,390.51,389.69,390.21,689,6,0,MT5_PY_API_UNIX_SECONDS,UNRESOLVED_REQUIRES_MANUAL_BINDING
1776186300,1776186600,MSFT,MSFT.xnas,M5,Bid,390.25,391.58,389.88,391.49,602,5,0,MT5_PY_API_UNIX_SECONDS,UNRESOLVED_REQUIRES_MANUAL_BINDING
1776186600,1776186900,MSFT,MSFT.xnas,M5,Bid,391.5,391.52,390.86,390.94,617,5,0,MT5_PY_API_UNIX_SECONDS,UNRESOLVED_REQUIRES_MANUAL_BINDING
1776186900,1776187200,MSFT,MSFT.xnas,M5,Bid,390.95,390.99,390.12,390.65,584,6,0,MT5_PY_API_UNIX_SECONDS,UNRESOLVED_REQUIRES_MANUAL_BINDING
1776187200,1776187500,MSFT,MSFT.xnas,M5,Bid,390.63,392.14,390.58,392.1,589,5,0,MT5_PY_API_UNIX_SECONDS,UNRESOLVED_REQUIRES_MANUAL_BINDING
1776187500,1776187800,MSFT,MSFT.xnas,M5,Bid,392.08,392.83,392.06,392.51,526,5,0,MT5_PY_API_UNIX_SECONDS,UNRESOLVED_REQUIRES_MANUAL_BINDING
1776187800,1776188100,MSFT,MSFT.xnas,M5,Bid,392.49,393.19,392.2,393.03,491,5,0,MT5_PY_API_UNIX_SECONDS,UNRESOLVED_REQUIRES_MANUAL_BINDING
1776188100,1776188400,MSFT,MSFT.xnas,M5,Bid,393.04,393.54,392.79,392.99,540,5,0,MT5_PY_API_UNIX_SECONDS,UNRESOLVED_REQUIRES_MANUAL_BINDING
1776188400,1776188700,MSFT,MSFT.xnas,M5,Bid,392.97,393.03,391.82,392.03,476,5,0,MT5_PY_API_UNIX_SECONDS,UNRESOLVED_REQUIRES_MANUAL_BINDING
1776188700,1776189000,MSFT,MSFT.xnas,M5,Bid,391.99,392.33,391.78,392.05,522,5,0,MT5_PY_API_UNIX_SECONDS,UNRESOLVED_REQUIRES_MANUAL_BINDING
1776189000,1776189300,MSFT,MSFT.xnas,M5,Bid,392.05,392.25,391.29,391.84,548,5,0,MT5_PY_API_UNIX_SECONDS,UNRESOLVED_REQUIRES_MANUAL_BINDING
1776189300,1776189600,MSFT,MSFT.xnas,M5,Bid,391.83,392.06,391.54,391.55,530,5,0,MT5_PY_API_UNIX_SECONDS,UNRESOLVED_REQUIRES_MANUAL_BINDING
1776189600,1776189900,MSFT,MSFT.xnas,M5,Bid,391.55,392.04,391.47,391.75,525,5,0,MT5_PY_API_UNIX_SECONDS,UNRESOLVED_REQUIRES_MANUAL_BINDING
1776189900,1776190200,MSFT,MSFT.xnas,M5,Bid,391.71,391.73,390.78,391.14,510,5,0,MT5_PY_API_UNIX_SECONDS,UNRESOLVED_REQUIRES_MANUAL_BINDING
1776190200,1776190500,MSFT,MSFT.xnas,M5,Bid,391.13,391.22,390.35,390.41,500,6,0,MT5_PY_API_UNIX_SECONDS,UNRESOLVED_REQUIRES_MANUAL_BINDING
1776190500,1776190800,MSFT,MSFT.xnas,M5,Bid,390.43,391.01,390.37,390.83,487,5,0,MT5_PY_API_UNIX_SECONDS,UNRESOLVED_REQUIRES_MANUAL_BINDING
1776190800,1776191100,MSFT,MSFT.xnas,M5,Bid,390.81,391.49,390.38,391.31,457,5,0,MT5_PY_API_UNIX_SECONDS,UNRESOLVED_REQUIRES_MANUAL_BINDING
1776191100,1776191400,MSFT,MSFT.xnas,M5,Bid,391.31,392.0,391.23,391.63,337,5,0,MT5_PY_API_UNIX_SECONDS,UNRESOLVED_REQUIRES_MANUAL_BINDING
1776191400,1776191700,MSFT,MSFT.xnas,M5,Bid,391.63,392.3,391.61,392.2,350,5,0,MT5_PY_API_UNIX_SECONDS,UNRESOLVED_REQUIRES_MANUAL_BINDING
1776191700,1776192000,MSFT,MSFT.xnas,M5,Bid,392.19,392.63,392.19,392.6,401,5,0,MT5_PY_API_UNIX_SECONDS,UNRESOLVED_REQUIRES_MANUAL_BINDING
