candidate_id,label_name,side,hold_bars,tp_points,sl_points,utility_quantile,feature_set,feature_count,model,prob_quantile,prob_threshold,session,risk_filter,raw_signal_total,lifecycle_trade_total,overall_signal_to_trade_ratio,scout_clue,meaningful_signal,final_like_reference,dual_positive,rank_score,validation_raw_signal_count,validation_lifecycle_trade_count,validation_signal_to_trade_ratio,oos_raw_signal_count,oos_lifecycle_trade_count,oos_signal_to_trade_ratio,val_net,val_gross_profit,val_gross_loss,val_pf,val_dd_pct,val_trade_count,val_trades_day,val_win_rate,val_avg_win,val_avg_loss,val_payoff,val_expectancy,val_recovery,val_avg_hold_bars,val_avg_mae,val_max_consecutive_loss,val_time_under_water_trades,val_smooth_equity_proxy,oos_net,oos_gross_profit,oos_gross_loss,oos_pf,oos_dd_pct,oos_trade_count,oos_trades_day,oos_win_rate,oos_avg_win,oos_avg_loss,oos_payoff,oos_expectancy,oos_recovery,oos_avg_hold_bars,oos_avg_mae,oos_max_consecutive_loss,oos_time_under_water_trades,oos_smooth_equity_proxy
f77b_08051,short_h12_tp18_sl12_uq70,short,12,18.0,12.0,0.7,price_action_core,11,hist_gbm_d4_l2,0.93,0.35934496629576756,all,trend_aligned,140,97,0.6928571428571428,1,0,0,1,131662.07931516756,100,68,0.68,40,29,0.725,272.40000000000003,655.1999999999997,-382.7999999999999,1.7115987460815043,0.5279999999999927,68,2.2666666666666666,0.5735294117647058,16.799999999999994,-13.199999999999996,1.2727272727272727,4.005882352941177,5.159090909090981,2.264705882352941,26.206617647058813,4,12,1,127.2,285.6,-158.39999999999998,1.8030303030303034,0.6239999999999963,29,2.230769230769231,0.5862068965517241,16.8,-13.199999999999998,1.272727272727273,4.386206896551724,2.0384615384615503,2.103448275862069,19.241034482758675,4,10,1
f77b_08059,short_h12_tp18_sl12_uq70,short,12,18.0,12.0,0.7,price_action_core,11,hist_gbm_d4_l2,0.93,0.35934496629576756,cash_mid,trend_aligned,136,93,0.6838235294117647,1,0,0,1,131525.04447552448,97,65,0.6701030927835051,39,28,0.717948717948718,282.00000000000006,638.3999999999997,-356.3999999999999,1.7912457912457909,0.3960000000000036,65,2.2413793103448274,0.5846153846153846,16.799999999999994,-13.199999999999998,1.2727272727272725,4.338461538461539,7.121212121212057,2.3230769230769233,26.008307692307707,3,7,1,110.40000000000002,268.8,-158.39999999999998,1.6969696969696972,0.6239999999999963,28,2.1538461538461537,0.5714285714285714,16.8,-13.199999999999998,1.272727272727273,3.9428571428571435,1.7692307692307798,2.142857142857143,19.56678571428568,4,10,1
f77b_07979,short_h12_tp18_sl12_uq70,short,12,18.0,12.0,0.7,price_action_core,11,extra_trees_d7_l80,0.8,0.5181462797273798,cash_mid,trend_aligned,305,168,0.5508196721311476,1,0,0,1,129485.69805970149,241,134,0.5560165975103735,64,34,0.53125,227.70000000000016,1112.1,-884.4000000000002,1.2574626865671639,1.4789999999999963,134,4.1875,0.5,16.598507462686566,-13.200000000000003,1.2574626865671639,1.6992537313432847,1.5395537525355019,2.3656716417910446,25.823656716417904,9,79,0,61.20000000000002,285.6,-224.39999999999998,1.272727272727273,0.49199999999998906,34,3.4,0.5,16.8,-13.2,1.272727272727273,1.8000000000000005,1.2439024390244182,2.1176470588235294,23.523235294117672,3,8,1
f77b_07971,short_h12_tp18_sl12_uq70,short,12,18.0,12.0,0.7,price_action_core,11,extra_trees_d7_l80,0.8,0.5181462797273798,all,trend_aligned,308,171,0.5551948051948052,1,0,0,1,129398.68944664032,244,137,0.5614754098360656,64,34,0.53125,218.10000000000005,1128.8999999999999,-910.8000000000003,1.2394598155467715,1.6110000000000038,137,4.029411764705882,0.49635036496350365,16.60147058823529,-13.200000000000005,1.2576871657754003,1.5919708029197084,1.3538175046554908,2.335766423357664,26.249999999999975,10,81,0,61.20000000000002,285.6,-224.39999999999998,1.272727272727273,0.49199999999998906,34,3.4,0.5,16.8,-13.2,1.272727272727273,1.8000000000000005,1.2439024390244182,2.1176470588235294,23.523235294117672,3,8,1
f77b_09739,short_h18_tp26_sl16_uq70,short,18,26.0,16.0,0.7,price_action_core,11,extra_trees_d7_l80,0.93,0.5141232211952379,cash_mid,trend_aligned,189,90,0.47619047619047616,1,0,0,1,128678.39269639064,148,71,0.4797297297297297,41,19,0.4634146341463415,304.0500000000001,892.7999999999998,-588.7500000000001,1.5164331210191078,1.6439999999999966,71,2.730769230769231,0.5070422535211268,24.799999999999997,-16.821428571428573,1.4743099787685772,4.282394366197185,1.8494525547445302,4.366197183098592,31.390281690140935,9,23,0,135.20000000000002,272.8,-137.6,1.982558139534884,0.6120000000000072,19,2.111111111111111,0.5789473684210527,24.8,-17.2,1.4418604651162792,7.115789473684211,2.2091503267973596,4.631578947368421,24.962631578947413,3,8,1
f77b_07147,short_h12_tp18_sl12_uq60,short,12,18.0,12.0,0.6,price_action_core,11,extra_trees_d7_l80,0.93,0.5072588402943565,cash_mid,trend_aligned,154,146,0.948051948051948,1,0,0,1,128482.42181818183,116,110,0.9482758620689655,38,36,0.9473684210526315,244.50000000000006,944.0999999999999,-699.6000000000003,1.3494854202401365,0.8429999999999928,110,2.619047619047619,0.5181818181818182,16.56315789473684,-13.200000000000005,1.2547846889952148,2.222727272727273,2.9003558718861466,2.0454545454545454,27.337818181818115,4,36,1,64.80000000000001,302.40000000000003,-237.59999999999997,1.2727272727272732,0.8760000000000037,36,2.4,0.5,16.8,-13.199999999999998,1.272727272727273,1.8000000000000003,0.7397260273972573,2.25,22.350555555555427,5,23,0
f77b_09731,short_h18_tp26_sl16_uq70,short,18,26.0,16.0,0.7,price_action_core,11,extra_trees_d7_l80,0.93,0.5141232211952379,all,trend_aligned,191,92,0.4816753926701571,1,0,0,1,128341.25589451441,150,73,0.4866666666666667,41,19,0.4634146341463415,269.65000000000003,892.7999999999998,-623.1500000000002,1.4327208537270313,1.9879999999999924,73,2.607142857142857,0.4931506849315068,24.799999999999997,-16.841891891891898,1.472518655219449,3.693835616438357,1.3563883299798847,4.273972602739726,32.3556164383562,10,33,0,135.20000000000002,272.8,-137.6,1.982558139534884,0.6120000000000072,19,2.111111111111111,0.5789473684210527,24.8,-17.2,1.4418604651162792,7.115789473684211,2.2091503267973596,4.631578947368421,24.962631578947413,3,8,1
f77b_08043,short_h12_tp18_sl12_uq70,short,12,18.0,12.0,0.7,price_action_core,11,hist_gbm_d4_l2,0.87,0.3477992127274824,cash_mid,trend_aligned,204,139,0.6813725490196079,1,0,0,1,128320.62432900432,145,96,0.6620689655172414,59,43,0.7288135593220338,142.8,789.5999999999997,-646.8000000000001,1.22077922077922,0.72,96,3.096774193548387,0.4895833333333333,16.799999999999994,-13.200000000000001,1.272727272727272,1.4875,1.9833333333333334,2.2083333333333335,29.331249999999955,4,23,1,92.4,369.6000000000001,-277.19999999999993,1.333333333333334,0.8519999999999891,43,2.388888888888889,0.5116279069767442,16.800000000000004,-13.199999999999998,1.2727272727272734,2.1488372093023256,1.084507042253535,2.0697674418604652,23.45697674418608,4,28,0
f77b_08563,short_h12_tp18_sl12_uq70,short,12,18.0,12.0,0.7,compact_lifecycle,42,extra_trees_d7_l80,0.87,0.5341838203559591,all,trend_aligned,169,90,0.5325443786982249,1,0,0,1,127463.80601398602,134,67,0.5,35,23,0.6571428571428571,75.60000000000004,537.6,-461.99999999999994,1.1636363636363638,0.6119999999999891,67,2.576923076923077,0.47761194029850745,16.8,-13.199999999999998,1.272727272727273,1.1283582089552244,1.2352941176470815,2.671641791044776,27.711343283581925,4,24,0,56.40000000000002,201.60000000000005,-145.2,1.3884297520661162,0.3239999999999964,23,1.7692307692307692,0.5217391304347826,16.800000000000004,-13.2,1.2727272727272732,2.452173913043479,1.740740740740761,2.0,19.641304347826086,3,8,1
f77b_08571,short_h12_tp18_sl12_uq70,short,12,18.0,12.0,0.7,compact_lifecycle,42,extra_trees_d7_l80,0.87,0.5341838203559591,cash_mid,trend_aligned,169,90,0.5325443786982249,1,0,0,1,127463.80601398602,134,67,0.5,35,23,0.6571428571428571,75.60000000000004,537.6,-461.99999999999994,1.1636363636363638,0.6119999999999891,67,2.576923076923077,0.47761194029850745,16.8,-13.199999999999998,1.272727272727273,1.1283582089552244,1.2352941176470815,2.671641791044776,27.711343283581925,4,24,0,56.40000000000002,201.60000000000005,-145.2,1.3884297520661162,0.3239999999999964,23,1.7692307692307692,0.5217391304347826,16.800000000000004,-13.2,1.2727272727272732,2.452173913043479,1.740740740740761,2.0,19.641304347826086,3,8,1
