run_id,adapter_id,candidate_id,route_view,window_id,window_label,partition,tier_scope,attempt_name,net_profit,profit_factor,trade_count,max_drawdown_amount,recovery_factor,runtime_status,report_status,report_path
run46A_atr_based_adaptive_stop_takeprofit_adapter_v1,atr01_sl1p0_tp1p5,c08_extreme_compression_stress,tier_b_atr_sltp_separate,w02_2025q3,2025 Q3,validation,Tier B,tier_b_atr01_sl1p0_tp1p5_w02_2025q3,-9.31,0.38,57,10.32,-0.9,completed,completed,C:/Users/awdse/AppData/Roaming/MetaQuotes/Terminal/D0E8209F77C8CF37AD8BF550E51FF075/MQL5/Experts/Project_Obsidian_Prime_v2/stages/52_sl_tp_policy__atr_based_adaptive_stop_takeprofit_adapter/02_runs/run46A/mt5/reports/Project_Obsidian_Prime_v2_run46A_atr_based_adaptive_stop_takeprofit_adapter_v1_tier_b_atr01_sl1p0_tp1p5_w02_2025q3.htm
run46A_atr_based_adaptive_stop_takeprofit_adapter_v1,atr01_sl1p0_tp1p5,c08_extreme_compression_stress,tier_a_atr_sltp_separate,w03_2025q4,2025 Q4,oos,Tier A,tier_a_atr01_sl1p0_tp1p5_w03_2025q4,-13.13,0.67,163,13.96,-0.94,completed,completed,C:/Users/awdse/AppData/Roaming/MetaQuotes/Terminal/D0E8209F77C8CF37AD8BF550E51FF075/MQL5/Experts/Project_Obsidian_Prime_v2/stages/52_sl_tp_policy__atr_based_adaptive_stop_takeprofit_adapter/02_runs/run46A/mt5/reports/Project_Obsidian_Prime_v2_run46A_atr_based_adaptive_stop_takeprofit_adapter_v1_tier_a_atr01_sl1p0_tp1p5_w03_2025q4.htm
run46A_atr_based_adaptive_stop_takeprofit_adapter_v1,atr01_sl1p0_tp1p5,c08_extreme_compression_stress,tier_b_atr_sltp_separate,w03_2025q4,2025 Q4,oos,Tier B,tier_b_atr01_sl1p0_tp1p5_w03_2025q4,-3.07,0.55,27,4.74,-0.65,completed,completed,C:/Users/awdse/AppData/Roaming/MetaQuotes/Terminal/D0E8209F77C8CF37AD8BF550E51FF075/MQL5/Experts/Project_Obsidian_Prime_v2/stages/52_sl_tp_policy__atr_based_adaptive_stop_takeprofit_adapter/02_runs/run46A/mt5/reports/Project_Obsidian_Prime_v2_run46A_atr_based_adaptive_stop_takeprofit_adapter_v1_tier_b_atr01_sl1p0_tp1p5_w03_2025q4.htm
run46A_atr_based_adaptive_stop_takeprofit_adapter_v1,atr01_sl1p0_tp1p5,c08_extreme_compression_stress,tier_a_atr_sltp_separate,w04_2026q1,2026 Q1,oos,Tier A,tier_a_atr01_sl1p0_tp1p5_w04_2026q1,0.4,1.02,106,7.05,0.06,completed,completed,C:/Users/awdse/AppData/Roaming/MetaQuotes/Terminal/D0E8209F77C8CF37AD8BF550E51FF075/MQL5/Experts/Project_Obsidian_Prime_v2/stages/52_sl_tp_policy__atr_based_adaptive_stop_takeprofit_adapter/02_runs/run46A/mt5/reports/Project_Obsidian_Prime_v2_run46A_atr_based_adaptive_stop_takeprofit_adapter_v1_tier_a_atr01_sl1p0_tp1p5_w04_2026q1.htm
run46A_atr_based_adaptive_stop_takeprofit_adapter_v1,atr01_sl1p0_tp1p5,c08_extreme_compression_stress,tier_b_atr_sltp_separate,w04_2026q1,2026 Q1,oos,Tier B,tier_b_atr01_sl1p0_tp1p5_w04_2026q1,-2.48,0.53,21,4.12,-0.6,completed,completed,C:/Users/awdse/AppData/Roaming/MetaQuotes/Terminal/D0E8209F77C8CF37AD8BF550E51FF075/MQL5/Experts/Project_Obsidian_Prime_v2/stages/52_sl_tp_policy__atr_based_adaptive_stop_takeprofit_adapter/02_runs/run46A/mt5/reports/Project_Obsidian_Prime_v2_run46A_atr_based_adaptive_stop_takeprofit_adapter_v1_tier_b_atr01_sl1p0_tp1p5_w04_2026q1.htm
run46A_atr_based_adaptive_stop_takeprofit_adapter_v1,atr02_sl1p5_tp2p0,c08_extreme_compression_stress,tier_a_atr_sltp_separate,w01_2025q2,2025 Q2,validation,Tier A,tier_a_atr02_sl1p5_tp2p0_w01_2025q2,-17.69,0.38,101,18.38,-0.96,completed,completed,C:/Users/awdse/AppData/Roaming/MetaQuotes/Terminal/D0E8209F77C8CF37AD8BF550E51FF075/MQL5/Experts/Project_Obsidian_Prime_v2/stages/52_sl_tp_policy__atr_based_adaptive_stop_takeprofit_adapter/02_runs/run46A/mt5/reports/Project_Obsidian_Prime_v2_run46A_atr_based_adaptive_stop_takeprofit_adapter_v1_tier_a_atr02_sl1p5_tp2p0_w01_2025q2.htm
run46A_atr_based_adaptive_stop_takeprofit_adapter_v1,atr02_sl1p5_tp2p0,c08_extreme_compression_stress,tier_b_atr_sltp_separate,w01_2025q2,2025 Q2,validation,Tier B,tier_b_atr02_sl1p5_tp2p0_w01_2025q2,1.19,1.4,17,1.48,0.8,completed,completed,C:/Users/awdse/AppData/Roaming/MetaQuotes/Terminal/D0E8209F77C8CF37AD8BF550E51FF075/MQL5/Experts/Project_Obsidian_Prime_v2/stages/52_sl_tp_policy__atr_based_adaptive_stop_takeprofit_adapter/02_runs/run46A/mt5/reports/Project_Obsidian_Prime_v2_run46A_atr_based_adaptive_stop_takeprofit_adapter_v1_tier_b_atr02_sl1p5_tp2p0_w01_2025q2.htm
run46A_atr_based_adaptive_stop_takeprofit_adapter_v1,atr02_sl1p5_tp2p0,c08_extreme_compression_stress,tier_a_atr_sltp_separate,w02_2025q3,2025 Q3,validation,Tier A,tier_a_atr02_sl1p5_tp2p0_w02_2025q3,-20.91,0.61,217,22.14,-0.94,completed,completed,C:/Users/awdse/AppData/Roaming/MetaQuotes/Terminal/D0E8209F77C8CF37AD8BF550E51FF075/MQL5/Experts/Project_Obsidian_Prime_v2/stages/52_sl_tp_policy__atr_based_adaptive_stop_takeprofit_adapter/02_runs/run46A/mt5/reports/Project_Obsidian_Prime_v2_run46A_atr_based_adaptive_stop_takeprofit_adapter_v1_tier_a_atr02_sl1p5_tp2p0_w02_2025q3.htm
run46A_atr_based_adaptive_stop_takeprofit_adapter_v1,atr02_sl1p5_tp2p0,c08_extreme_compression_stress,tier_b_atr_sltp_separate,w02_2025q3,2025 Q3,validation,Tier B,tier_b_atr02_sl1p5_tp2p0_w02_2025q3,-9.31,0.38,57,10.32,-0.9,completed,completed,C:/Users/awdse/AppData/Roaming/MetaQuotes/Terminal/D0E8209F77C8CF37AD8BF550E51FF075/MQL5/Experts/Project_Obsidian_Prime_v2/stages/52_sl_tp_policy__atr_based_adaptive_stop_takeprofit_adapter/02_runs/run46A/mt5/reports/Project_Obsidian_Prime_v2_run46A_atr_based_adaptive_stop_takeprofit_adapter_v1_tier_b_atr02_sl1p5_tp2p0_w02_2025q3.htm
run46A_atr_based_adaptive_stop_takeprofit_adapter_v1,atr02_sl1p5_tp2p0,c08_extreme_compression_stress,tier_a_atr_sltp_separate,w03_2025q4,2025 Q4,oos,Tier A,tier_a_atr02_sl1p5_tp2p0_w03_2025q4,-13.13,0.67,163,13.96,-0.94,completed,completed,C:/Users/awdse/AppData/Roaming/MetaQuotes/Terminal/D0E8209F77C8CF37AD8BF550E51FF075/MQL5/Experts/Project_Obsidian_Prime_v2/stages/52_sl_tp_policy__atr_based_adaptive_stop_takeprofit_adapter/02_runs/run46A/mt5/reports/Project_Obsidian_Prime_v2_run46A_atr_based_adaptive_stop_takeprofit_adapter_v1_tier_a_atr02_sl1p5_tp2p0_w03_2025q4.htm
run46A_atr_based_adaptive_stop_takeprofit_adapter_v1,atr02_sl1p5_tp2p0,c08_extreme_compression_stress,tier_b_atr_sltp_separate,w03_2025q4,2025 Q4,oos,Tier B,tier_b_atr02_sl1p5_tp2p0_w03_2025q4,-3.07,0.55,27,4.74,-0.65,completed,completed,C:/Users/awdse/AppData/Roaming/MetaQuotes/Terminal/D0E8209F77C8CF37AD8BF550E51FF075/MQL5/Experts/Project_Obsidian_Prime_v2/stages/52_sl_tp_policy__atr_based_adaptive_stop_takeprofit_adapter/02_runs/run46A/mt5/reports/Project_Obsidian_Prime_v2_run46A_atr_based_adaptive_stop_takeprofit_adapter_v1_tier_b_atr02_sl1p5_tp2p0_w03_2025q4.htm
run46A_atr_based_adaptive_stop_takeprofit_adapter_v1,atr02_sl1p5_tp2p0,c08_extreme_compression_stress,tier_a_atr_sltp_separate,w04_2026q1,2026 Q1,oos,Tier A,tier_a_atr02_sl1p5_tp2p0_w04_2026q1,0.4,1.02,106,7.05,0.06,completed,completed,C:/Users/awdse/AppData/Roaming/MetaQuotes/Terminal/D0E8209F77C8CF37AD8BF550E51FF075/MQL5/Experts/Project_Obsidian_Prime_v2/stages/52_sl_tp_policy__atr_based_adaptive_stop_takeprofit_adapter/02_runs/run46A/mt5/reports/Project_Obsidian_Prime_v2_run46A_atr_based_adaptive_stop_takeprofit_adapter_v1_tier_a_atr02_sl1p5_tp2p0_w04_2026q1.htm
run46A_atr_based_adaptive_stop_takeprofit_adapter_v1,atr02_sl1p5_tp2p0,c08_extreme_compression_stress,tier_b_atr_sltp_separate,w04_2026q1,2026 Q1,oos,Tier B,tier_b_atr02_sl1p5_tp2p0_w04_2026q1,-2.48,0.53,21,4.12,-0.6,completed,completed,C:/Users/awdse/AppData/Roaming/MetaQuotes/Terminal/D0E8209F77C8CF37AD8BF550E51FF075/MQL5/Experts/Project_Obsidian_Prime_v2/stages/52_sl_tp_policy__atr_based_adaptive_stop_takeprofit_adapter/02_runs/run46A/mt5/reports/Project_Obsidian_Prime_v2_run46A_atr_based_adaptive_stop_takeprofit_adapter_v1_tier_b_atr02_sl1p5_tp2p0_w04_2026q1.htm
run46A_atr_based_adaptive_stop_takeprofit_adapter_v1,atr03_sl2p0_tp3p0,c08_extreme_compression_stress,tier_a_atr_sltp_separate,w01_2025q2,2025 Q2,validation,Tier A,tier_a_atr03_sl2p0_tp3p0_w01_2025q2,-17.69,0.38,101,18.38,-0.96,completed,completed,C:/Users/awdse/AppData/Roaming/MetaQuotes/Terminal/D0E8209F77C8CF37AD8BF550E51FF075/MQL5/Experts/Project_Obsidian_Prime_v2/stages/52_sl_tp_policy__atr_based_adaptive_stop_takeprofit_adapter/02_runs/run46A/mt5/reports/Project_Obsidian_Prime_v2_run46A_atr_based_adaptive_stop_takeprofit_adapter_v1_tier_a_atr03_sl2p0_tp3p0_w01_2025q2.htm
run46A_atr_based_adaptive_stop_takeprofit_adapter_v1,atr03_sl2p0_tp3p0,c08_extreme_compression_stress,tier_b_atr_sltp_separate,w01_2025q2,2025 Q2,validation,Tier B,tier_b_atr03_sl2p0_tp3p0_w01_2025q2,1.19,1.4,17,1.48,0.8,completed,completed,C:/Users/awdse/AppData/Roaming/MetaQuotes/Terminal/D0E8209F77C8CF37AD8BF550E51FF075/MQL5/Experts/Project_Obsidian_Prime_v2/stages/52_sl_tp_policy__atr_based_adaptive_stop_takeprofit_adapter/02_runs/run46A/mt5/reports/Project_Obsidian_Prime_v2_run46A_atr_based_adaptive_stop_takeprofit_adapter_v1_tier_b_atr03_sl2p0_tp3p0_w01_2025q2.htm
run46A_atr_based_adaptive_stop_takeprofit_adapter_v1,atr03_sl2p0_tp3p0,c08_extreme_compression_stress,tier_a_atr_sltp_separate,w02_2025q3,2025 Q3,validation,Tier A,tier_a_atr03_sl2p0_tp3p0_w02_2025q3,-20.91,0.61,217,22.14,-0.94,completed,completed,C:/Users/awdse/AppData/Roaming/MetaQuotes/Terminal/D0E8209F77C8CF37AD8BF550E51FF075/MQL5/Experts/Project_Obsidian_Prime_v2/stages/52_sl_tp_policy__atr_based_adaptive_stop_takeprofit_adapter/02_runs/run46A/mt5/reports/Project_Obsidian_Prime_v2_run46A_atr_based_adaptive_stop_takeprofit_adapter_v1_tier_a_atr03_sl2p0_tp3p0_w02_2025q3.htm
run46A_atr_based_adaptive_stop_takeprofit_adapter_v1,atr03_sl2p0_tp3p0,c08_extreme_compression_stress,tier_b_atr_sltp_separate,w02_2025q3,2025 Q3,validation,Tier B,tier_b_atr03_sl2p0_tp3p0_w02_2025q3,-9.31,0.38,57,10.32,-0.9,completed,completed,C:/Users/awdse/AppData/Roaming/MetaQuotes/Terminal/D0E8209F77C8CF37AD8BF550E51FF075/MQL5/Experts/Project_Obsidian_Prime_v2/stages/52_sl_tp_policy__atr_based_adaptive_stop_takeprofit_adapter/02_runs/run46A/mt5/reports/Project_Obsidian_Prime_v2_run46A_atr_based_adaptive_stop_takeprofit_adapter_v1_tier_b_atr03_sl2p0_tp3p0_w02_2025q3.htm
run46A_atr_based_adaptive_stop_takeprofit_adapter_v1,atr03_sl2p0_tp3p0,c08_extreme_compression_stress,tier_a_atr_sltp_separate,w03_2025q4,2025 Q4,oos,Tier A,tier_a_atr03_sl2p0_tp3p0_w03_2025q4,-13.13,0.67,163,13.96,-0.94,completed,completed,C:/Users/awdse/AppData/Roaming/MetaQuotes/Terminal/D0E8209F77C8CF37AD8BF550E51FF075/MQL5/Experts/Project_Obsidian_Prime_v2/stages/52_sl_tp_policy__atr_based_adaptive_stop_takeprofit_adapter/02_runs/run46A/mt5/reports/Project_Obsidian_Prime_v2_run46A_atr_based_adaptive_stop_takeprofit_adapter_v1_tier_a_atr03_sl2p0_tp3p0_w03_2025q4.htm
run46A_atr_based_adaptive_stop_takeprofit_adapter_v1,atr03_sl2p0_tp3p0,c08_extreme_compression_stress,tier_b_atr_sltp_separate,w03_2025q4,2025 Q4,oos,Tier B,tier_b_atr03_sl2p0_tp3p0_w03_2025q4,-3.07,0.55,27,4.74,-0.65,completed,completed,C:/Users/awdse/AppData/Roaming/MetaQuotes/Terminal/D0E8209F77C8CF37AD8BF550E51FF075/MQL5/Experts/Project_Obsidian_Prime_v2/stages/52_sl_tp_policy__atr_based_adaptive_stop_takeprofit_adapter/02_runs/run46A/mt5/reports/Project_Obsidian_Prime_v2_run46A_atr_based_adaptive_stop_takeprofit_adapter_v1_tier_b_atr03_sl2p0_tp3p0_w03_2025q4.htm
run46A_atr_based_adaptive_stop_takeprofit_adapter_v1,atr03_sl2p0_tp3p0,c08_extreme_compression_stress,tier_a_atr_sltp_separate,w04_2026q1,2026 Q1,oos,Tier A,tier_a_atr03_sl2p0_tp3p0_w04_2026q1,0.4,1.02,106,7.05,0.06,completed,completed,C:/Users/awdse/AppData/Roaming/MetaQuotes/Terminal/D0E8209F77C8CF37AD8BF550E51FF075/MQL5/Experts/Project_Obsidian_Prime_v2/stages/52_sl_tp_policy__atr_based_adaptive_stop_takeprofit_adapter/02_runs/run46A/mt5/reports/Project_Obsidian_Prime_v2_run46A_atr_based_adaptive_stop_takeprofit_adapter_v1_tier_a_atr03_sl2p0_tp3p0_w04_2026q1.htm
run46A_atr_based_adaptive_stop_takeprofit_adapter_v1,atr03_sl2p0_tp3p0,c08_extreme_compression_stress,tier_b_atr_sltp_separate,w04_2026q1,2026 Q1,oos,Tier B,tier_b_atr03_sl2p0_tp3p0_w04_2026q1,-2.48,0.53,21,4.12,-0.6,completed,completed,C:/Users/awdse/AppData/Roaming/MetaQuotes/Terminal/D0E8209F77C8CF37AD8BF550E51FF075/MQL5/Experts/Project_Obsidian_Prime_v2/stages/52_sl_tp_policy__atr_based_adaptive_stop_takeprofit_adapter/02_runs/run46A/mt5/reports/Project_Obsidian_Prime_v2_run46A_atr_based_adaptive_stop_takeprofit_adapter_v1_tier_b_atr03_sl2p0_tp3p0_w04_2026q1.htm
run46A_atr_based_adaptive_stop_takeprofit_adapter_v1,atr04_sl1p0_tp2p5,c08_extreme_compression_stress,tier_a_atr_sltp_separate,w01_2025q2,2025 Q2,validation,Tier A,tier_a_atr04_sl1p0_tp2p5_w01_2025q2,-17.69,0.38,101,18.38,-0.96,completed,completed,C:/Users/awdse/AppData/Roaming/MetaQuotes/Terminal/D0E8209F77C8CF37AD8BF550E51FF075/MQL5/Experts/Project_Obsidian_Prime_v2/stages/52_sl_tp_policy__atr_based_adaptive_stop_takeprofit_adapter/02_runs/run46A/mt5/reports/Project_Obsidian_Prime_v2_run46A_atr_based_adaptive_stop_takeprofit_adapter_v1_tier_a_atr04_sl1p0_tp2p5_w01_2025q2.htm
run46A_atr_based_adaptive_stop_takeprofit_adapter_v1,atr04_sl1p0_tp2p5,c08_extreme_compression_stress,tier_b_atr_sltp_separate,w01_2025q2,2025 Q2,validation,Tier B,tier_b_atr04_sl1p0_tp2p5_w01_2025q2,1.19,1.4,17,1.48,0.8,completed,completed,C:/Users/awdse/AppData/Roaming/MetaQuotes/Terminal/D0E8209F77C8CF37AD8BF550E51FF075/MQL5/Experts/Project_Obsidian_Prime_v2/stages/52_sl_tp_policy__atr_based_adaptive_stop_takeprofit_adapter/02_runs/run46A/mt5/reports/Project_Obsidian_Prime_v2_run46A_atr_based_adaptive_stop_takeprofit_adapter_v1_tier_b_atr04_sl1p0_tp2p5_w01_2025q2.htm
run46A_atr_based_adaptive_stop_takeprofit_adapter_v1,atr04_sl1p0_tp2p5,c08_extreme_compression_stress,tier_a_atr_sltp_separate,w02_2025q3,2025 Q3,validation,Tier A,tier_a_atr04_sl1p0_tp2p5_w02_2025q3,-20.91,0.61,217,22.14,-0.94,completed,completed,C:/Users/awdse/AppData/Roaming/MetaQuotes/Terminal/D0E8209F77C8CF37AD8BF550E51FF075/MQL5/Experts/Project_Obsidian_Prime_v2/stages/52_sl_tp_policy__atr_based_adaptive_stop_takeprofit_adapter/02_runs/run46A/mt5/reports/Project_Obsidian_Prime_v2_run46A_atr_based_adaptive_stop_takeprofit_adapter_v1_tier_a_atr04_sl1p0_tp2p5_w02_2025q3.htm
run46A_atr_based_adaptive_stop_takeprofit_adapter_v1,atr04_sl1p0_tp2p5,c08_extreme_compression_stress,tier_b_atr_sltp_separate,w02_2025q3,2025 Q3,validation,Tier B,tier_b_atr04_sl1p0_tp2p5_w02_2025q3,-9.31,0.38,57,10.32,-0.9,completed,completed,C:/Users/awdse/AppData/Roaming/MetaQuotes/Terminal/D0E8209F77C8CF37AD8BF550E51FF075/MQL5/Experts/Project_Obsidian_Prime_v2/stages/52_sl_tp_policy__atr_based_adaptive_stop_takeprofit_adapter/02_runs/run46A/mt5/reports/Project_Obsidian_Prime_v2_run46A_atr_based_adaptive_stop_takeprofit_adapter_v1_tier_b_atr04_sl1p0_tp2p5_w02_2025q3.htm
run46A_atr_based_adaptive_stop_takeprofit_adapter_v1,atr04_sl1p0_tp2p5,c08_extreme_compression_stress,tier_a_atr_sltp_separate,w03_2025q4,2025 Q4,oos,Tier A,tier_a_atr04_sl1p0_tp2p5_w03_2025q4,-13.13,0.67,163,13.96,-0.94,completed,completed,C:/Users/awdse/AppData/Roaming/MetaQuotes/Terminal/D0E8209F77C8CF37AD8BF550E51FF075/MQL5/Experts/Project_Obsidian_Prime_v2/stages/52_sl_tp_policy__atr_based_adaptive_stop_takeprofit_adapter/02_runs/run46A/mt5/reports/Project_Obsidian_Prime_v2_run46A_atr_based_adaptive_stop_takeprofit_adapter_v1_tier_a_atr04_sl1p0_tp2p5_w03_2025q4.htm
run46A_atr_based_adaptive_stop_takeprofit_adapter_v1,atr04_sl1p0_tp2p5,c08_extreme_compression_stress,tier_b_atr_sltp_separate,w03_2025q4,2025 Q4,oos,Tier B,tier_b_atr04_sl1p0_tp2p5_w03_2025q4,-3.07,0.55,27,4.74,-0.65,completed,completed,C:/Users/awdse/AppData/Roaming/MetaQuotes/Terminal/D0E8209F77C8CF37AD8BF550E51FF075/MQL5/Experts/Project_Obsidian_Prime_v2/stages/52_sl_tp_policy__atr_based_adaptive_stop_takeprofit_adapter/02_runs/run46A/mt5/reports/Project_Obsidian_Prime_v2_run46A_atr_based_adaptive_stop_takeprofit_adapter_v1_tier_b_atr04_sl1p0_tp2p5_w03_2025q4.htm
