candidate_id,split,period,trade_count,net,pf,dd_pct,calendar_trades_day,positive_period,active_period
f80b_11350,validation,2025-08,27,-2.874192975814551,0.8524590163934427,1.706773853539255,0.9642857142857143,0,1
f80b_11350,validation,2025-09,6,-0.6387095501810112,0.8524590163934427,0.43290313956713367,0.21428571428571427,0,1
f80b_11350,oos,2025-10,94,15.419513057286583,1.263943512261787,1.9232254233228103,3.1333333333333333,1,1
f80b_11350,oos,2025-11,214,31.864509781252675,1.2374405076679003,4.382257191519716,9.304347826086957,1,1
f80b_11350,oos,2025-12,44,4.6483861707618015,1.1677336747759282,1.8061286724563048,1.4666666666666666,1,1
f80b_11350,oos,2026-01,59,0.7629030738273128,1.01950998185118,1.646451284911052,2.107142857142857,1,1
f80b_11350,oos,2026-02,185,64.3145033168379,1.637755102040816,2.0119350830701705,7.4,1,1
f80b_11350,oos,2026-03,163,28.404833051105516,1.287535919540229,1.6464512849110409,5.620689655172414,1,1
f80b_11350,oos,2026-04,51,17.77741581337147,1.6398467432950188,0.6493547093507004,4.25,1,1
f80b_14890,validation,2025-01,92,17.673625511467066,1.3146647713811892,0.9935481891704739,3.1724137931034484,1,1
f80b_14890,validation,2025-02,84,8.65540150155018,1.1599508196721313,1.7067738535392438,3.36,1,1
f80b_14890,validation,2025-03,116,26.694510811176386,1.3853995901639342,1.3625803737194928,4.142857142857143,1,1
f80b_14890,validation,2025-04,455,93.53546523761923,1.3391444194274686,3.41354770707851,15.689655172413794,1,1
f80b_14890,validation,2025-05,16,6.103224590618552,1.7049180327868854,0.9296772341523593,0.5517241379310345,1,1
f80b_14890,validation,2025-06,16,0.24838704729261574,1.022950819672131,1.3625803737194928,0.5714285714285714,1,1
f80b_14890,validation,2025-07,13,0.5677418223831219,1.0655737704918034,0.7132256643687924,0.43333333333333335,1,1
f80b_14890,validation,2025-08,27,-2.874192975814551,0.8524590163934427,1.706773853539255,0.9642857142857143,0,1
f80b_14890,validation,2025-09,6,-0.6387095501810112,0.8524590163934427,0.43290313956713367,0.21428571428571427,0,1
f80b_14890,oos,2025-10,94,15.419513057286583,1.263943512261787,1.9232254233228103,3.1333333333333333,1,1
f80b_14890,oos,2025-11,214,31.864509781252675,1.2374405076679003,4.382257191519716,9.304347826086957,1,1
f80b_14890,oos,2025-12,44,4.6483861707618015,1.1677336747759282,1.8061286724563048,1.4666666666666666,1,1
f80b_14890,oos,2026-01,59,0.7629030738273128,1.01950998185118,1.646451284911052,2.107142857142857,1,1
f80b_14890,oos,2026-02,185,64.3145033168379,1.637755102040816,2.0119350830701705,7.4,1,1
f80b_14890,oos,2026-03,163,28.404833051105516,1.287535919540229,1.6464512849110409,5.620689655172414,1,1
f80b_14890,oos,2026-04,51,17.77741581337147,1.6398467432950188,0.6493547093507004,4.25,1,1
