attempt_name,record_view,tier_scope,report_path,expected_trade_count,parsed_trade_count,trade_count_delta,parser_status
run267ao_s264_lc_volatility_regime_expansion_rt_2024,mt5_rt_s264_lc_volatility_regime_expansion_historical_2024_tier_a_train_era_stress,Tier A+B,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267AP/pool_wide_state_feature_engineering_mt5_execution/mt5/reports/Project_Obsidian_Prime_v2_run267AO_stage267_pool_wide_state_feature_engineering_materialization_v1_run267ao_s264_lc_volatility_regime_expansion_rt_2024.htm,309,309,0,matched
run267ao_s264_lc_range_expansion_pressure_ta_2024,mt5_ta_s264_lc_range_expansion_pressure_historical_2024_tier_a_train_era_stress,Tier A,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267AP/pool_wide_state_feature_engineering_mt5_execution/mt5/reports/Project_Obsidian_Prime_v2_run267AO_stage267_pool_wide_state_feature_engineering_materialization_v1_run267ao_s264_lc_range_expansion_pressure_ta_2024.htm,309,309,0,matched
run267ao_s264_lc_range_expansion_pressure_rt_2024,mt5_rt_s264_lc_range_expansion_pressure_historical_2024_tier_a_train_era_stress,Tier A+B,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267AP/pool_wide_state_feature_engineering_mt5_execution/mt5/reports/Project_Obsidian_Prime_v2_run267AO_stage267_pool_wide_state_feature_engineering_materialization_v1_run267ao_s264_lc_range_expansion_pressure_rt_2024.htm,309,309,0,matched
run267ao_s264_lc_trend_strength_disagreement_ta_2024,mt5_ta_s264_lc_trend_strength_disagreement_historical_2024_tier_a_train_era_stress,Tier A,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267AP/pool_wide_state_feature_engineering_mt5_execution/mt5/reports/Project_Obsidian_Prime_v2_run267AO_stage267_pool_wide_state_feature_engineering_materialization_v1_run267ao_s264_lc_trend_strength_disagreement_ta_2024.htm,317,317,0,matched
run267ao_s264_lc_trend_strength_disagreement_rt_2024,mt5_rt_s264_lc_trend_strength_disagreement_historical_2024_tier_a_train_era_stress,Tier A+B,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267AP/pool_wide_state_feature_engineering_mt5_execution/mt5/reports/Project_Obsidian_Prime_v2_run267AO_stage267_pool_wide_state_feature_engineering_materialization_v1_run267ao_s264_lc_trend_strength_disagreement_rt_2024.htm,317,317,0,matched
run267ao_s262_lih_return_shock_absorption_ta_2024,mt5_ta_s262_lih_return_shock_absorption_historical_2024_tier_a_train_era_stress,Tier A,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267AP/pool_wide_state_feature_engineering_mt5_execution/mt5/reports/Project_Obsidian_Prime_v2_run267AO_stage267_pool_wide_state_feature_engineering_materialization_v1_run267ao_s262_lih_return_shock_absorption_ta_2024.htm,305,305,0,matched
run267ao_s262_lih_return_shock_absorption_rt_2024,mt5_rt_s262_lih_return_shock_absorption_historical_2024_tier_a_train_era_stress,Tier A+B,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267AP/pool_wide_state_feature_engineering_mt5_execution/mt5/reports/Project_Obsidian_Prime_v2_run267AO_stage267_pool_wide_state_feature_engineering_materialization_v1_run267ao_s262_lih_return_shock_absorption_rt_2024.htm,305,305,0,matched
run267ao_s262_lih_volatility_regime_expansion_ta_2024,mt5_ta_s262_lih_volatility_regime_expansion_historical_2024_tier_a_train_era_stress,Tier A,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267AP/pool_wide_state_feature_engineering_mt5_execution/mt5/reports/Project_Obsidian_Prime_v2_run267AO_stage267_pool_wide_state_feature_engineering_materialization_v1_run267ao_s262_lih_volatility_regime_expansion_ta_2024.htm,298,298,0,matched
run267ao_s262_lih_volatility_regime_expansion_rt_2024,mt5_rt_s262_lih_volatility_regime_expansion_historical_2024_tier_a_train_era_stress,Tier A+B,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267AP/pool_wide_state_feature_engineering_mt5_execution/mt5/reports/Project_Obsidian_Prime_v2_run267AO_stage267_pool_wide_state_feature_engineering_materialization_v1_run267ao_s262_lih_volatility_regime_expansion_rt_2024.htm,298,298,0,matched
run267ao_s262_lih_range_expansion_pressure_ta_2024,mt5_ta_s262_lih_range_expansion_pressure_historical_2024_tier_a_train_era_stress,Tier A,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267AP/pool_wide_state_feature_engineering_mt5_execution/mt5/reports/Project_Obsidian_Prime_v2_run267AO_stage267_pool_wide_state_feature_engineering_materialization_v1_run267ao_s262_lih_range_expansion_pressure_ta_2024.htm,300,300,0,matched
run267ao_s262_lih_range_expansion_pressure_rt_2024,mt5_rt_s262_lih_range_expansion_pressure_historical_2024_tier_a_train_era_stress,Tier A+B,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267AP/pool_wide_state_feature_engineering_mt5_execution/mt5/reports/Project_Obsidian_Prime_v2_run267AO_stage267_pool_wide_state_feature_engineering_materialization_v1_run267ao_s262_lih_range_expansion_pressure_rt_2024.htm,300,300,0,matched
run267ao_s262_lih_trend_strength_disagreement_ta_2024,mt5_ta_s262_lih_trend_strength_disagreement_historical_2024_tier_a_train_era_stress,Tier A,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267AP/pool_wide_state_feature_engineering_mt5_execution/mt5/reports/Project_Obsidian_Prime_v2_run267AO_stage267_pool_wide_state_feature_engineering_materialization_v1_run267ao_s262_lih_trend_strength_disagreement_ta_2024.htm,300,300,0,matched
run267ao_s262_lih_trend_strength_disagreement_rt_2024,mt5_rt_s262_lih_trend_strength_disagreement_historical_2024_tier_a_train_era_stress,Tier A+B,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267AP/pool_wide_state_feature_engineering_mt5_execution/mt5/reports/Project_Obsidian_Prime_v2_run267AO_stage267_pool_wide_state_feature_engineering_materialization_v1_run267ao_s262_lih_trend_strength_disagreement_rt_2024.htm,300,300,0,matched
run267ao_s264_aia_return_shock_absorption_ta_2024,mt5_ta_s264_aia_return_shock_absorption_historical_2024_tier_a_train_era_stress,Tier A,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267AP/pool_wide_state_feature_engineering_mt5_execution/mt5/reports/Project_Obsidian_Prime_v2_run267AO_stage267_pool_wide_state_feature_engineering_materialization_v1_run267ao_s264_aia_return_shock_absorption_ta_2024.htm,310,310,0,matched
run267ao_s264_aia_return_shock_absorption_rt_2024,mt5_rt_s264_aia_return_shock_absorption_historical_2024_tier_a_train_era_stress,Tier A+B,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267AP/pool_wide_state_feature_engineering_mt5_execution/mt5/reports/Project_Obsidian_Prime_v2_run267AO_stage267_pool_wide_state_feature_engineering_materialization_v1_run267ao_s264_aia_return_shock_absorption_rt_2024.htm,310,310,0,matched
run267ao_s264_aia_volatility_regime_expansion_ta_2024,mt5_ta_s264_aia_volatility_regime_expansion_historical_2024_tier_a_train_era_stress,Tier A,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267AP/pool_wide_state_feature_engineering_mt5_execution/mt5/reports/Project_Obsidian_Prime_v2_run267AO_stage267_pool_wide_state_feature_engineering_materialization_v1_run267ao_s264_aia_volatility_regime_expansion_ta_2024.htm,305,305,0,matched
run267ao_s264_aia_volatility_regime_expansion_rt_2024,mt5_rt_s264_aia_volatility_regime_expansion_historical_2024_tier_a_train_era_stress,Tier A+B,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267AP/pool_wide_state_feature_engineering_mt5_execution/mt5/reports/Project_Obsidian_Prime_v2_run267AO_stage267_pool_wide_state_feature_engineering_materialization_v1_run267ao_s264_aia_volatility_regime_expansion_rt_2024.htm,305,305,0,matched
run267ao_s264_aia_range_expansion_pressure_ta_2024,mt5_ta_s264_aia_range_expansion_pressure_historical_2024_tier_a_train_era_stress,Tier A,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267AP/pool_wide_state_feature_engineering_mt5_execution/mt5/reports/Project_Obsidian_Prime_v2_run267AO_stage267_pool_wide_state_feature_engineering_materialization_v1_run267ao_s264_aia_range_expansion_pressure_ta_2024.htm,309,309,0,matched
run267ao_s264_aia_range_expansion_pressure_rt_2024,mt5_rt_s264_aia_range_expansion_pressure_historical_2024_tier_a_train_era_stress,Tier A+B,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267AP/pool_wide_state_feature_engineering_mt5_execution/mt5/reports/Project_Obsidian_Prime_v2_run267AO_stage267_pool_wide_state_feature_engineering_materialization_v1_run267ao_s264_aia_range_expansion_pressure_rt_2024.htm,309,309,0,matched
run267ao_s264_aia_trend_strength_disagreement_ta_2024,mt5_ta_s264_aia_trend_strength_disagreement_historical_2024_tier_a_train_era_stress,Tier A,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267AP/pool_wide_state_feature_engineering_mt5_execution/mt5/reports/Project_Obsidian_Prime_v2_run267AO_stage267_pool_wide_state_feature_engineering_materialization_v1_run267ao_s264_aia_trend_strength_disagreement_ta_2024.htm,314,314,0,matched
run267ao_s264_aia_trend_strength_disagreement_rt_2024,mt5_rt_s264_aia_trend_strength_disagreement_historical_2024_tier_a_train_era_stress,Tier A+B,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267AP/pool_wide_state_feature_engineering_mt5_execution/mt5/reports/Project_Obsidian_Prime_v2_run267AO_stage267_pool_wide_state_feature_engineering_materialization_v1_run267ao_s264_aia_trend_strength_disagreement_rt_2024.htm,314,314,0,matched
run267ao_s258_stc_return_shock_absorption_ta_2024,mt5_ta_s258_stc_return_shock_absorption_historical_2024_tier_a_train_era_stress,Tier A,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267AP/pool_wide_state_feature_engineering_mt5_execution/mt5/reports/Project_Obsidian_Prime_v2_run267AO_stage267_pool_wide_state_feature_engineering_materialization_v1_run267ao_s258_stc_return_shock_absorption_ta_2024.htm,298,298,0,matched
run267ao_s258_stc_return_shock_absorption_rt_2024,mt5_rt_s258_stc_return_shock_absorption_historical_2024_tier_a_train_era_stress,Tier A+B,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267AP/pool_wide_state_feature_engineering_mt5_execution/mt5/reports/Project_Obsidian_Prime_v2_run267AO_stage267_pool_wide_state_feature_engineering_materialization_v1_run267ao_s258_stc_return_shock_absorption_rt_2024.htm,298,298,0,matched
run267ao_s258_stc_volatility_regime_expansion_ta_2024,mt5_ta_s258_stc_volatility_regime_expansion_historical_2024_tier_a_train_era_stress,Tier A,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267AP/pool_wide_state_feature_engineering_mt5_execution/mt5/reports/Project_Obsidian_Prime_v2_run267AO_stage267_pool_wide_state_feature_engineering_materialization_v1_run267ao_s258_stc_volatility_regime_expansion_ta_2024.htm,303,303,0,matched
run267ao_s258_stc_volatility_regime_expansion_rt_2024,mt5_rt_s258_stc_volatility_regime_expansion_historical_2024_tier_a_train_era_stress,Tier A+B,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267AP/pool_wide_state_feature_engineering_mt5_execution/mt5/reports/Project_Obsidian_Prime_v2_run267AO_stage267_pool_wide_state_feature_engineering_materialization_v1_run267ao_s258_stc_volatility_regime_expansion_rt_2024.htm,303,303,0,matched
run267ao_s258_stc_range_expansion_pressure_ta_2024,mt5_ta_s258_stc_range_expansion_pressure_historical_2024_tier_a_train_era_stress,Tier A,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267AP/pool_wide_state_feature_engineering_mt5_execution/mt5/reports/Project_Obsidian_Prime_v2_run267AO_stage267_pool_wide_state_feature_engineering_materialization_v1_run267ao_s258_stc_range_expansion_pressure_ta_2024.htm,294,294,0,matched
run267ao_s258_stc_range_expansion_pressure_rt_2024,mt5_rt_s258_stc_range_expansion_pressure_historical_2024_tier_a_train_era_stress,Tier A+B,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267AP/pool_wide_state_feature_engineering_mt5_execution/mt5/reports/Project_Obsidian_Prime_v2_run267AO_stage267_pool_wide_state_feature_engineering_materialization_v1_run267ao_s258_stc_range_expansion_pressure_rt_2024.htm,294,294,0,matched
run267ao_s258_stc_trend_strength_disagreement_ta_2024,mt5_ta_s258_stc_trend_strength_disagreement_historical_2024_tier_a_train_era_stress,Tier A,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267AP/pool_wide_state_feature_engineering_mt5_execution/mt5/reports/Project_Obsidian_Prime_v2_run267AO_stage267_pool_wide_state_feature_engineering_materialization_v1_run267ao_s258_stc_trend_strength_disagreement_ta_2024.htm,321,321,0,matched
run267ao_s258_stc_trend_strength_disagreement_rt_2024,mt5_rt_s258_stc_trend_strength_disagreement_historical_2024_tier_a_train_era_stress,Tier A+B,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267AP/pool_wide_state_feature_engineering_mt5_execution/mt5/reports/Project_Obsidian_Prime_v2_run267AO_stage267_pool_wide_state_feature_engineering_materialization_v1_run267ao_s258_stc_trend_strength_disagreement_rt_2024.htm,321,321,0,matched
