run_id,stage_id,record_view,split,tier_scope,route_role,report_path,report_sha256,net_profit,profit_factor,trade_count,max_drawdown_amount,status
run03K_et_v01_wfo_fold07_mt5_v1,12_model_family_challenge__extratrees_training_effect,mt5_tier_a_only_validation_is,validation,Tier A,tier_only_total,stages/12_model_family_challenge__extratrees_training_effect/02_runs/run03K_et_v01_wfo_fold07_mt5_v1/mt5/reports/Project_Obsidian_Prime_v2_run03K_et_v01_wfo_fold07_mt5_v1_tier_a_only_validation_is.htm,4a7b6c89d3e58bc071c14fb17dff0495e96c5ba90e46d189fde2db36aac2f1fd,44.18,1.1,101,102.61,recorded
run03K_et_v01_wfo_fold07_mt5_v1,12_model_family_challenge__extratrees_training_effect,mt5_tier_b_fallback_only_validation_is,validation,Tier B,tier_b_fallback_only_total,stages/12_model_family_challenge__extratrees_training_effect/02_runs/run03K_et_v01_wfo_fold07_mt5_v1/mt5/reports/Project_Obsidian_Prime_v2_run03K_et_v01_wfo_fold07_mt5_v1_tier_b_fallback_only_validation_is.htm,9113df0321a6ef29868f22f89d3336504a96af73618f78cb180cbb6bd626a7f0,140.53,2.09,20,187.83,recorded
run03K_et_v01_wfo_fold07_mt5_v1,12_model_family_challenge__extratrees_training_effect,mt5_routed_tier_a_used_validation_is,validation,Tier A,primary_used,stages/12_model_family_challenge__extratrees_training_effect/02_runs/run03K_et_v01_wfo_fold07_mt5_v1/mt5/reports/Project_Obsidian_Prime_v2_run03K_et_v01_wfo_fold07_mt5_v1_routed_validation_is.htm,621c1343ea654f783338214cab4a4e076f5a483b0a19ff6380db9ae446c9d458,NA,NA,NA,NA,recorded
run03K_et_v01_wfo_fold07_mt5_v1,12_model_family_challenge__extratrees_training_effect,mt5_routed_tier_b_fallback_used_validation_is,validation,Tier B,fallback_used,stages/12_model_family_challenge__extratrees_training_effect/02_runs/run03K_et_v01_wfo_fold07_mt5_v1/mt5/reports/Project_Obsidian_Prime_v2_run03K_et_v01_wfo_fold07_mt5_v1_routed_validation_is.htm,621c1343ea654f783338214cab4a4e076f5a483b0a19ff6380db9ae446c9d458,NA,NA,NA,NA,recorded
run03K_et_v01_wfo_fold07_mt5_v1,12_model_family_challenge__extratrees_training_effect,mt5_routed_total_validation_is,validation,Tier A+B,routed_total,stages/12_model_family_challenge__extratrees_training_effect/02_runs/run03K_et_v01_wfo_fold07_mt5_v1/mt5/reports/Project_Obsidian_Prime_v2_run03K_et_v01_wfo_fold07_mt5_v1_routed_validation_is.htm,621c1343ea654f783338214cab4a4e076f5a483b0a19ff6380db9ae446c9d458,50.28,1.1,119,97.57,recorded
run03K_et_v01_wfo_fold07_mt5_v1,12_model_family_challenge__extratrees_training_effect,mt5_tier_a_only_oos,oos,Tier A,tier_only_total,stages/12_model_family_challenge__extratrees_training_effect/02_runs/run03K_et_v01_wfo_fold07_mt5_v1/mt5/reports/Project_Obsidian_Prime_v2_run03K_et_v01_wfo_fold07_mt5_v1_tier_a_only_oos.htm,edbeb5fc5f413c7bcbb32628cbe66e63dc67e0d35d5f6de1e47955de69607448,187.72,1.48,116,109.83,recorded
run03K_et_v01_wfo_fold07_mt5_v1,12_model_family_challenge__extratrees_training_effect,mt5_tier_b_fallback_only_oos,oos,Tier B,tier_b_fallback_only_total,stages/12_model_family_challenge__extratrees_training_effect/02_runs/run03K_et_v01_wfo_fold07_mt5_v1/mt5/reports/Project_Obsidian_Prime_v2_run03K_et_v01_wfo_fold07_mt5_v1_tier_b_fallback_only_oos.htm,af344ee6858f68f0410aa9d989e071c9fc77096c1c046a3cb72c48afb4f84b66,-146.68,0.68,45,206.99,recorded
run03K_et_v01_wfo_fold07_mt5_v1,12_model_family_challenge__extratrees_training_effect,mt5_routed_tier_a_used_oos,oos,Tier A,primary_used,stages/12_model_family_challenge__extratrees_training_effect/02_runs/run03K_et_v01_wfo_fold07_mt5_v1/mt5/reports/Project_Obsidian_Prime_v2_run03K_et_v01_wfo_fold07_mt5_v1_routed_oos.htm,0f152e02275548a49605a78af275642281ce86b2f1ee00847648cbf92c0f8b2e,NA,NA,NA,NA,recorded
run03K_et_v01_wfo_fold07_mt5_v1,12_model_family_challenge__extratrees_training_effect,mt5_routed_tier_b_fallback_used_oos,oos,Tier B,fallback_used,stages/12_model_family_challenge__extratrees_training_effect/02_runs/run03K_et_v01_wfo_fold07_mt5_v1/mt5/reports/Project_Obsidian_Prime_v2_run03K_et_v01_wfo_fold07_mt5_v1_routed_oos.htm,0f152e02275548a49605a78af275642281ce86b2f1ee00847648cbf92c0f8b2e,NA,NA,NA,NA,recorded
run03K_et_v01_wfo_fold07_mt5_v1,12_model_family_challenge__extratrees_training_effect,mt5_routed_total_oos,oos,Tier A+B,routed_total,stages/12_model_family_challenge__extratrees_training_effect/02_runs/run03K_et_v01_wfo_fold07_mt5_v1/mt5/reports/Project_Obsidian_Prime_v2_run03K_et_v01_wfo_fold07_mt5_v1_routed_oos.htm,0f152e02275548a49605a78af275642281ce86b2f1ee00847648cbf92c0f8b2e,198.38,1.41,165,102.5,recorded
run03K_et_v02_wfo_fold07_mt5_v1,12_model_family_challenge__extratrees_training_effect,mt5_tier_a_only_validation_is,validation,Tier A,tier_only_total,stages/12_model_family_challenge__extratrees_training_effect/02_runs/run03K_et_v02_wfo_fold07_mt5_v1/mt5/reports/Project_Obsidian_Prime_v2_run03K_et_v02_wfo_fold07_mt5_v1_tier_a_only_validation_is.htm,bbca3d84afd49218b0c93824cf595a423ba6eaf0d41ab8519a64d6ca880d5ed9,93.56,1.21,105,106.59,recorded
run03K_et_v02_wfo_fold07_mt5_v1,12_model_family_challenge__extratrees_training_effect,mt5_tier_b_fallback_only_validation_is,validation,Tier B,tier_b_fallback_only_total,stages/12_model_family_challenge__extratrees_training_effect/02_runs/run03K_et_v02_wfo_fold07_mt5_v1/mt5/reports/Project_Obsidian_Prime_v2_run03K_et_v02_wfo_fold07_mt5_v1_tier_b_fallback_only_validation_is.htm,57c27d2e4af37e2c96083029f498006d4ecccbbf87cff6b8d6e452e7c05ef41c,27.03,1.16,22,156.36,recorded
run03K_et_v02_wfo_fold07_mt5_v1,12_model_family_challenge__extratrees_training_effect,mt5_routed_tier_a_used_validation_is,validation,Tier A,primary_used,stages/12_model_family_challenge__extratrees_training_effect/02_runs/run03K_et_v02_wfo_fold07_mt5_v1/mt5/reports/Project_Obsidian_Prime_v2_run03K_et_v02_wfo_fold07_mt5_v1_routed_validation_is.htm,6ed799d2692fc7409f5c78017c90e4f5f1dc3fd642622b2bc02ba0097bf9622d,NA,NA,NA,NA,recorded
run03K_et_v02_wfo_fold07_mt5_v1,12_model_family_challenge__extratrees_training_effect,mt5_routed_tier_b_fallback_used_validation_is,validation,Tier B,fallback_used,stages/12_model_family_challenge__extratrees_training_effect/02_runs/run03K_et_v02_wfo_fold07_mt5_v1/mt5/reports/Project_Obsidian_Prime_v2_run03K_et_v02_wfo_fold07_mt5_v1_routed_validation_is.htm,6ed799d2692fc7409f5c78017c90e4f5f1dc3fd642622b2bc02ba0097bf9622d,NA,NA,NA,NA,recorded
run03K_et_v02_wfo_fold07_mt5_v1,12_model_family_challenge__extratrees_training_effect,mt5_routed_total_validation_is,validation,Tier A+B,routed_total,stages/12_model_family_challenge__extratrees_training_effect/02_runs/run03K_et_v02_wfo_fold07_mt5_v1/mt5/reports/Project_Obsidian_Prime_v2_run03K_et_v02_wfo_fold07_mt5_v1_routed_validation_is.htm,6ed799d2692fc7409f5c78017c90e4f5f1dc3fd642622b2bc02ba0097bf9622d,108.86,1.24,123,100.31,recorded
run03K_et_v02_wfo_fold07_mt5_v1,12_model_family_challenge__extratrees_training_effect,mt5_tier_a_only_oos,oos,Tier A,tier_only_total,stages/12_model_family_challenge__extratrees_training_effect/02_runs/run03K_et_v02_wfo_fold07_mt5_v1/mt5/reports/Project_Obsidian_Prime_v2_run03K_et_v02_wfo_fold07_mt5_v1_tier_a_only_oos.htm,5cd5059d8a30e771a383b080e1fd4da28cc2719c42e25d6e4b5853a1f573a80c,51.62,1.09,134,142.6,recorded
run03K_et_v02_wfo_fold07_mt5_v1,12_model_family_challenge__extratrees_training_effect,mt5_tier_b_fallback_only_oos,oos,Tier B,tier_b_fallback_only_total,stages/12_model_family_challenge__extratrees_training_effect/02_runs/run03K_et_v02_wfo_fold07_mt5_v1/mt5/reports/Project_Obsidian_Prime_v2_run03K_et_v02_wfo_fold07_mt5_v1_tier_b_fallback_only_oos.htm,677114778e55084f6f91c1b6bb6f9cddc366615d367f2cee2c95da40ddc13191,153.52,1.46,37,213.45,recorded
run03K_et_v02_wfo_fold07_mt5_v1,12_model_family_challenge__extratrees_training_effect,mt5_routed_tier_a_used_oos,oos,Tier A,primary_used,stages/12_model_family_challenge__extratrees_training_effect/02_runs/run03K_et_v02_wfo_fold07_mt5_v1/mt5/reports/Project_Obsidian_Prime_v2_run03K_et_v02_wfo_fold07_mt5_v1_routed_oos.htm,dbbb4d98871207f0ca319efd27d8c238573c82ae68fcfabb19e801cf9883b688,NA,NA,NA,NA,recorded
run03K_et_v02_wfo_fold07_mt5_v1,12_model_family_challenge__extratrees_training_effect,mt5_routed_tier_b_fallback_used_oos,oos,Tier B,fallback_used,stages/12_model_family_challenge__extratrees_training_effect/02_runs/run03K_et_v02_wfo_fold07_mt5_v1/mt5/reports/Project_Obsidian_Prime_v2_run03K_et_v02_wfo_fold07_mt5_v1_routed_oos.htm,dbbb4d98871207f0ca319efd27d8c238573c82ae68fcfabb19e801cf9883b688,NA,NA,NA,NA,recorded
run03K_et_v02_wfo_fold07_mt5_v1,12_model_family_challenge__extratrees_training_effect,mt5_routed_total_oos,oos,Tier A+B,routed_total,stages/12_model_family_challenge__extratrees_training_effect/02_runs/run03K_et_v02_wfo_fold07_mt5_v1/mt5/reports/Project_Obsidian_Prime_v2_run03K_et_v02_wfo_fold07_mt5_v1_routed_oos.htm,dbbb4d98871207f0ca319efd27d8c238573c82ae68fcfabb19e801cf9883b688,59.4,1.09,169,152.33,recorded
run03K_et_v03_wfo_fold07_mt5_v1,12_model_family_challenge__extratrees_training_effect,mt5_tier_a_only_validation_is,validation,Tier A,tier_only_total,stages/12_model_family_challenge__extratrees_training_effect/02_runs/run03K_et_v03_wfo_fold07_mt5_v1/mt5/reports/Project_Obsidian_Prime_v2_run03K_et_v03_wfo_fold07_mt5_v1_tier_a_only_validation_is.htm,e835458832428461b48ab60d1859489512553c6203f6994a83bd1407c00391e4,96.27,1.25,87,127,recorded
run03K_et_v03_wfo_fold07_mt5_v1,12_model_family_challenge__extratrees_training_effect,mt5_tier_b_fallback_only_validation_is,validation,Tier B,tier_b_fallback_only_total,stages/12_model_family_challenge__extratrees_training_effect/02_runs/run03K_et_v03_wfo_fold07_mt5_v1/mt5/reports/Project_Obsidian_Prime_v2_run03K_et_v03_wfo_fold07_mt5_v1_tier_b_fallback_only_validation_is.htm,e01e34f0cd52b4b776a4ee7554d6ce0485809512ae34c7fdff5e796ccfacfef8,37.91,1.19,22,202.05,recorded
run03K_et_v03_wfo_fold07_mt5_v1,12_model_family_challenge__extratrees_training_effect,mt5_routed_tier_a_used_validation_is,validation,Tier A,primary_used,stages/12_model_family_challenge__extratrees_training_effect/02_runs/run03K_et_v03_wfo_fold07_mt5_v1/mt5/reports/Project_Obsidian_Prime_v2_run03K_et_v03_wfo_fold07_mt5_v1_routed_validation_is.htm,3698c5fef85b63cbf5a7065c7862234d8c753204e9ed2139108ddb9f9b9c68a4,NA,NA,NA,NA,recorded
run03K_et_v03_wfo_fold07_mt5_v1,12_model_family_challenge__extratrees_training_effect,mt5_routed_tier_b_fallback_used_validation_is,validation,Tier B,fallback_used,stages/12_model_family_challenge__extratrees_training_effect/02_runs/run03K_et_v03_wfo_fold07_mt5_v1/mt5/reports/Project_Obsidian_Prime_v2_run03K_et_v03_wfo_fold07_mt5_v1_routed_validation_is.htm,3698c5fef85b63cbf5a7065c7862234d8c753204e9ed2139108ddb9f9b9c68a4,NA,NA,NA,NA,recorded
run03K_et_v03_wfo_fold07_mt5_v1,12_model_family_challenge__extratrees_training_effect,mt5_routed_total_validation_is,validation,Tier A+B,routed_total,stages/12_model_family_challenge__extratrees_training_effect/02_runs/run03K_et_v03_wfo_fold07_mt5_v1/mt5/reports/Project_Obsidian_Prime_v2_run03K_et_v03_wfo_fold07_mt5_v1_routed_validation_is.htm,3698c5fef85b63cbf5a7065c7862234d8c753204e9ed2139108ddb9f9b9c68a4,120.8,1.28,106,103.43,recorded
run03K_et_v03_wfo_fold07_mt5_v1,12_model_family_challenge__extratrees_training_effect,mt5_tier_a_only_oos,oos,Tier A,tier_only_total,stages/12_model_family_challenge__extratrees_training_effect/02_runs/run03K_et_v03_wfo_fold07_mt5_v1/mt5/reports/Project_Obsidian_Prime_v2_run03K_et_v03_wfo_fold07_mt5_v1_tier_a_only_oos.htm,1902bba8207cd09a6414bf072d697beaae08ec6158ddb85f23104b13c573773a,-12.01,0.97,104,83.11,recorded
run03K_et_v03_wfo_fold07_mt5_v1,12_model_family_challenge__extratrees_training_effect,mt5_tier_b_fallback_only_oos,oos,Tier B,tier_b_fallback_only_total,stages/12_model_family_challenge__extratrees_training_effect/02_runs/run03K_et_v03_wfo_fold07_mt5_v1/mt5/reports/Project_Obsidian_Prime_v2_run03K_et_v03_wfo_fold07_mt5_v1_tier_b_fallback_only_oos.htm,455224d10b41c9b827be9fd9906de5407de2b8e71592bc1ffaf15ad58c8c9215,51.99,1.15,45,153.09,recorded
run03K_et_v03_wfo_fold07_mt5_v1,12_model_family_challenge__extratrees_training_effect,mt5_routed_tier_a_used_oos,oos,Tier A,primary_used,stages/12_model_family_challenge__extratrees_training_effect/02_runs/run03K_et_v03_wfo_fold07_mt5_v1/mt5/reports/Project_Obsidian_Prime_v2_run03K_et_v03_wfo_fold07_mt5_v1_routed_oos.htm,89d96ba0a7929749e411510ea299799a27dfe4401c2a74937a150e4981b81783,NA,NA,NA,NA,recorded
run03K_et_v03_wfo_fold07_mt5_v1,12_model_family_challenge__extratrees_training_effect,mt5_routed_tier_b_fallback_used_oos,oos,Tier B,fallback_used,stages/12_model_family_challenge__extratrees_training_effect/02_runs/run03K_et_v03_wfo_fold07_mt5_v1/mt5/reports/Project_Obsidian_Prime_v2_run03K_et_v03_wfo_fold07_mt5_v1_routed_oos.htm,89d96ba0a7929749e411510ea299799a27dfe4401c2a74937a150e4981b81783,NA,NA,NA,NA,recorded
run03K_et_v03_wfo_fold07_mt5_v1,12_model_family_challenge__extratrees_training_effect,mt5_routed_total_oos,oos,Tier A+B,routed_total,stages/12_model_family_challenge__extratrees_training_effect/02_runs/run03K_et_v03_wfo_fold07_mt5_v1/mt5/reports/Project_Obsidian_Prime_v2_run03K_et_v03_wfo_fold07_mt5_v1_routed_oos.htm,89d96ba0a7929749e411510ea299799a27dfe4401c2a74937a150e4981b81783,34.56,1.06,148,106.93,recorded
run03K_et_v04_wfo_fold07_mt5_v1,12_model_family_challenge__extratrees_training_effect,mt5_tier_a_only_validation_is,validation,Tier A,tier_only_total,stages/12_model_family_challenge__extratrees_training_effect/02_runs/run03K_et_v04_wfo_fold07_mt5_v1/mt5/reports/Project_Obsidian_Prime_v2_run03K_et_v04_wfo_fold07_mt5_v1_tier_a_only_validation_is.htm,62e6f1301326e6a81b22d930e77e124539eb8c4709f614b74b74647a91292b60,119.21,1.34,89,112.39,recorded
run03K_et_v04_wfo_fold07_mt5_v1,12_model_family_challenge__extratrees_training_effect,mt5_tier_b_fallback_only_validation_is,validation,Tier B,tier_b_fallback_only_total,stages/12_model_family_challenge__extratrees_training_effect/02_runs/run03K_et_v04_wfo_fold07_mt5_v1/mt5/reports/Project_Obsidian_Prime_v2_run03K_et_v04_wfo_fold07_mt5_v1_tier_b_fallback_only_validation_is.htm,fb8b69752f2494de7fcfa4bc517c706b90fde6fe4376fb2bc2ddecd02f44c792,-67.17,0.72,19,207.36,recorded
run03K_et_v04_wfo_fold07_mt5_v1,12_model_family_challenge__extratrees_training_effect,mt5_routed_tier_a_used_validation_is,validation,Tier A,primary_used,stages/12_model_family_challenge__extratrees_training_effect/02_runs/run03K_et_v04_wfo_fold07_mt5_v1/mt5/reports/Project_Obsidian_Prime_v2_run03K_et_v04_wfo_fold07_mt5_v1_routed_validation_is.htm,3a2c97af9f610b65713f0b0f1071737bd7e9d9a6a1812e2b01f643e7dcdcb2a1,NA,NA,NA,NA,recorded
run03K_et_v04_wfo_fold07_mt5_v1,12_model_family_challenge__extratrees_training_effect,mt5_routed_tier_b_fallback_used_validation_is,validation,Tier B,fallback_used,stages/12_model_family_challenge__extratrees_training_effect/02_runs/run03K_et_v04_wfo_fold07_mt5_v1/mt5/reports/Project_Obsidian_Prime_v2_run03K_et_v04_wfo_fold07_mt5_v1_routed_validation_is.htm,3a2c97af9f610b65713f0b0f1071737bd7e9d9a6a1812e2b01f643e7dcdcb2a1,NA,NA,NA,NA,recorded
run03K_et_v04_wfo_fold07_mt5_v1,12_model_family_challenge__extratrees_training_effect,mt5_routed_total_validation_is,validation,Tier A+B,routed_total,stages/12_model_family_challenge__extratrees_training_effect/02_runs/run03K_et_v04_wfo_fold07_mt5_v1/mt5/reports/Project_Obsidian_Prime_v2_run03K_et_v04_wfo_fold07_mt5_v1_routed_validation_is.htm,3a2c97af9f610b65713f0b0f1071737bd7e9d9a6a1812e2b01f643e7dcdcb2a1,192.39,1.46,108,100.03,recorded
run03K_et_v04_wfo_fold07_mt5_v1,12_model_family_challenge__extratrees_training_effect,mt5_tier_a_only_oos,oos,Tier A,tier_only_total,stages/12_model_family_challenge__extratrees_training_effect/02_runs/run03K_et_v04_wfo_fold07_mt5_v1/mt5/reports/Project_Obsidian_Prime_v2_run03K_et_v04_wfo_fold07_mt5_v1_tier_a_only_oos.htm,c1870d8f5dcaa9a1d38bd25229a9d7728ff0121832944de8104ad5434b2421e8,49.66,1.1,122,94.96,recorded
run03K_et_v04_wfo_fold07_mt5_v1,12_model_family_challenge__extratrees_training_effect,mt5_tier_b_fallback_only_oos,oos,Tier B,tier_b_fallback_only_total,stages/12_model_family_challenge__extratrees_training_effect/02_runs/run03K_et_v04_wfo_fold07_mt5_v1/mt5/reports/Project_Obsidian_Prime_v2_run03K_et_v04_wfo_fold07_mt5_v1_tier_b_fallback_only_oos.htm,f1d13d0ea71add1d8ee2b8c9af4273807d2a11fc2a70f1252fc4e5c2ba0af798,47.61,1.17,36,153.57,recorded
run03K_et_v04_wfo_fold07_mt5_v1,12_model_family_challenge__extratrees_training_effect,mt5_routed_tier_a_used_oos,oos,Tier A,primary_used,stages/12_model_family_challenge__extratrees_training_effect/02_runs/run03K_et_v04_wfo_fold07_mt5_v1/mt5/reports/Project_Obsidian_Prime_v2_run03K_et_v04_wfo_fold07_mt5_v1_routed_oos.htm,1a07da241c313cfa1c96d059617a47260b2bd616da403e6def25d67e1ef2cbdd,NA,NA,NA,NA,recorded
run03K_et_v04_wfo_fold07_mt5_v1,12_model_family_challenge__extratrees_training_effect,mt5_routed_tier_b_fallback_used_oos,oos,Tier B,fallback_used,stages/12_model_family_challenge__extratrees_training_effect/02_runs/run03K_et_v04_wfo_fold07_mt5_v1/mt5/reports/Project_Obsidian_Prime_v2_run03K_et_v04_wfo_fold07_mt5_v1_routed_oos.htm,1a07da241c313cfa1c96d059617a47260b2bd616da403e6def25d67e1ef2cbdd,NA,NA,NA,NA,recorded
run03K_et_v04_wfo_fold07_mt5_v1,12_model_family_challenge__extratrees_training_effect,mt5_routed_total_oos,oos,Tier A+B,routed_total,stages/12_model_family_challenge__extratrees_training_effect/02_runs/run03K_et_v04_wfo_fold07_mt5_v1/mt5/reports/Project_Obsidian_Prime_v2_run03K_et_v04_wfo_fold07_mt5_v1_routed_oos.htm,1a07da241c313cfa1c96d059617a47260b2bd616da403e6def25d67e1ef2cbdd,84.8,1.15,157,134.34,recorded
run03K_et_v05_wfo_fold07_mt5_v1,12_model_family_challenge__extratrees_training_effect,mt5_tier_a_only_validation_is,validation,Tier A,tier_only_total,stages/12_model_family_challenge__extratrees_training_effect/02_runs/run03K_et_v05_wfo_fold07_mt5_v1/mt5/reports/Project_Obsidian_Prime_v2_run03K_et_v05_wfo_fold07_mt5_v1_tier_a_only_validation_is.htm,2ead8575655fccd63aa4b7a4d8f1bee82b0252a13905d2cd33d49a15cf58f03a,91.99,1.24,89,107.34,recorded
run03K_et_v05_wfo_fold07_mt5_v1,12_model_family_challenge__extratrees_training_effect,mt5_tier_b_fallback_only_validation_is,validation,Tier B,tier_b_fallback_only_total,stages/12_model_family_challenge__extratrees_training_effect/02_runs/run03K_et_v05_wfo_fold07_mt5_v1/mt5/reports/Project_Obsidian_Prime_v2_run03K_et_v05_wfo_fold07_mt5_v1_tier_b_fallback_only_validation_is.htm,8d88236d65730ee6e3b95036000e44047140019ad621f833ad92a4c649d24347,71.27,1.55,21,143.25,recorded
run03K_et_v05_wfo_fold07_mt5_v1,12_model_family_challenge__extratrees_training_effect,mt5_routed_tier_a_used_validation_is,validation,Tier A,primary_used,stages/12_model_family_challenge__extratrees_training_effect/02_runs/run03K_et_v05_wfo_fold07_mt5_v1/mt5/reports/Project_Obsidian_Prime_v2_run03K_et_v05_wfo_fold07_mt5_v1_routed_validation_is.htm,f5e6aa57e8c36153fd691bf7e26fe6d58ea25c07b7b2ac37d2dd78d2528bd914,NA,NA,NA,NA,recorded
run03K_et_v05_wfo_fold07_mt5_v1,12_model_family_challenge__extratrees_training_effect,mt5_routed_tier_b_fallback_used_validation_is,validation,Tier B,fallback_used,stages/12_model_family_challenge__extratrees_training_effect/02_runs/run03K_et_v05_wfo_fold07_mt5_v1/mt5/reports/Project_Obsidian_Prime_v2_run03K_et_v05_wfo_fold07_mt5_v1_routed_validation_is.htm,f5e6aa57e8c36153fd691bf7e26fe6d58ea25c07b7b2ac37d2dd78d2528bd914,NA,NA,NA,NA,recorded
run03K_et_v05_wfo_fold07_mt5_v1,12_model_family_challenge__extratrees_training_effect,mt5_routed_total_validation_is,validation,Tier A+B,routed_total,stages/12_model_family_challenge__extratrees_training_effect/02_runs/run03K_et_v05_wfo_fold07_mt5_v1/mt5/reports/Project_Obsidian_Prime_v2_run03K_et_v05_wfo_fold07_mt5_v1_routed_validation_is.htm,f5e6aa57e8c36153fd691bf7e26fe6d58ea25c07b7b2ac37d2dd78d2528bd914,143.67,1.35,110,86.89,recorded
run03K_et_v05_wfo_fold07_mt5_v1,12_model_family_challenge__extratrees_training_effect,mt5_tier_a_only_oos,oos,Tier A,tier_only_total,stages/12_model_family_challenge__extratrees_training_effect/02_runs/run03K_et_v05_wfo_fold07_mt5_v1/mt5/reports/Project_Obsidian_Prime_v2_run03K_et_v05_wfo_fold07_mt5_v1_tier_a_only_oos.htm,d0e2b6420a0cd879d6e53bee29616c70eabb56192edf881e87e148591e0bce92,54.63,1.09,143,124.19,recorded
run03K_et_v05_wfo_fold07_mt5_v1,12_model_family_challenge__extratrees_training_effect,mt5_tier_b_fallback_only_oos,oos,Tier B,tier_b_fallback_only_total,stages/12_model_family_challenge__extratrees_training_effect/02_runs/run03K_et_v05_wfo_fold07_mt5_v1/mt5/reports/Project_Obsidian_Prime_v2_run03K_et_v05_wfo_fold07_mt5_v1_tier_b_fallback_only_oos.htm,badaa8b5f03591a9a75fa6d545e6b3e512442d73a13e7173944b7f0cbd6449ce,-112.13,0.77,38,191.41,recorded
