artifact_slug,candidate_id,view_id,trade_count,net_profit,gross_profit,gross_loss,profit_factor,expectancy,win_rate,max_drawdown,total_trade_count,max_underwater_trade_count,max_underwater_start,max_underwater_end,axis,bucket,claim_boundary
c56_bal,core56_no_top3_weight_features__l2_balanced_c025,raw_forward,70,166.685,343.995,177.31,1.9400767018,2.3812142857,0.5857142857,43.05,70,14,2026-05-15 17:35:00,2026-05-19 18:55:00,session,cash_open,research_development_only_score_curve_proxy_and_session_mt5_reference_no_forward_threshold_tuning_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
c56_bal,core56_no_top3_weight_features__l2_balanced_c025,old_session_parity,65,160.54,324.185,163.645,1.9810260014,2.4698461538,0.5846153846,43.05,65,12,2026-05-15 17:35:00,2026-05-19 18:55:00,session,cash_open,research_development_only_score_curve_proxy_and_session_mt5_reference_no_forward_threshold_tuning_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
c56_plain,core56_no_top3_weight_features__l2_plain_c025,raw_forward,76,208.66,370.595,161.935,2.2885416988,2.7455263158,0.6315789474,39.085,76,12,2026-05-15 17:35:00,2026-05-18 23:50:00,session,cash_open,research_development_only_score_curve_proxy_and_session_mt5_reference_no_forward_threshold_tuning_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
c56_plain,core56_no_top3_weight_features__l2_plain_c025,old_session_parity,71,202.4,350.26,147.86,2.3688624374,2.8507042254,0.6338028169,39.085,71,11,2026-05-15 17:35:00,2026-05-19 17:35:00,session,cash_open,research_development_only_score_curve_proxy_and_session_mt5_reference_no_forward_threshold_tuning_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
m48_bal,macro48_no_equity_breadth_or_top3__l2_balanced_c025,raw_forward,233,-13.625,452.475,466.1,0.9707680755,-0.0584763948,0.5236051502,96.8,233,167,2026-04-24 15:55:00,2026-05-22 16:55:00,session,outside_cash,research_development_only_score_curve_proxy_and_session_mt5_reference_no_forward_threshold_tuning_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
m48_bal,macro48_no_equity_breadth_or_top3__l2_balanced_c025,raw_forward,64,117.445,275.905,158.46,1.7411649628,1.835078125,0.59375,38.21,64,32,2026-04-16 17:55:00,2026-05-11 17:40:00,session,cash_open,research_development_only_score_curve_proxy_and_session_mt5_reference_no_forward_threshold_tuning_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
m48_bal,macro48_no_equity_breadth_or_top3__l2_balanced_c025,old_session_parity,68,143.065,333.835,190.77,1.7499344761,2.1038970588,0.6029411765,43.05,68,12,2026-05-15 17:35:00,2026-05-19 18:55:00,session,cash_open,research_development_only_score_curve_proxy_and_session_mt5_reference_no_forward_threshold_tuning_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
m48_plain,macro48_no_equity_breadth_or_top3__l2_plain_c025,raw_forward,238,26.985,477.79,450.805,1.0598595845,0.1133823529,0.5420168067,78.0,238,168,2026-04-24 15:45:00,2026-05-22 16:55:00,session,outside_cash,research_development_only_score_curve_proxy_and_session_mt5_reference_no_forward_threshold_tuning_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
m48_plain,macro48_no_equity_breadth_or_top3__l2_plain_c025,raw_forward,61,96.425,286.875,190.45,1.5063008664,1.5807377049,0.5901639344,51.425,61,11,2026-05-18 18:20:00,2026-05-20 17:50:00,session,cash_open,research_development_only_score_curve_proxy_and_session_mt5_reference_no_forward_threshold_tuning_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
m48_plain,macro48_no_equity_breadth_or_top3__l2_plain_c025,old_session_parity,70,235.75,371.275,135.525,2.7395314518,3.3678571429,0.6428571429,31.325,70,8,2026-05-20 19:45:00,2026-05-22 17:40:00,session,cash_open,research_development_only_score_curve_proxy_and_session_mt5_reference_no_forward_threshold_tuning_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
u42_bal,us100_technical42_no_external__l2_balanced_c025,raw_forward,246,-29.21,501.83,531.04,0.9449947273,-0.1187398374,0.5081300813,125.275,246,173,2026-04-24 15:40:00,2026-05-22 16:40:00,session,outside_cash,research_development_only_score_curve_proxy_and_session_mt5_reference_no_forward_threshold_tuning_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
u42_bal,us100_technical42_no_external__l2_balanced_c025,raw_forward,60,122.45,294.385,171.935,1.7121877454,2.0408333333,0.6333333333,55.985,60,27,2026-04-20 17:35:00,2026-05-12 17:35:00,session,cash_open,research_development_only_score_curve_proxy_and_session_mt5_reference_no_forward_threshold_tuning_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
u42_bal,us100_technical42_no_external__l2_balanced_c025,old_session_parity,62,84.03,281.36,197.33,1.4258348959,1.3553225806,0.5967741935,54.285,62,30,2026-04-16 17:40:00,2026-05-12 17:35:00,session,cash_open,research_development_only_score_curve_proxy_and_session_mt5_reference_no_forward_threshold_tuning_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
