attempt_name,candidate_id,candidate_alias,candidate_role,variant_id,profile_label,source_test_id,tier,attempt_role,record_view_prefix,set_path,ini_path,common_telemetry_path,common_summary_path,execution_status,runtime_status,report_status
run267cf_06_s264_aih_similar_repl_ta_2024,s264_allow_inner_high_quarter,s264_aih,challenger_core,run267cf_06_s264_aih_similar_repl,similar_replacement_impulse,rep_trend_strength_adx,Tier A,tier_only_total,mt5_ta_s264_aih_similar_repl,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267CG/pool_wide_orthogonal_loss_shape_state_mt5_execution/mt5/run267cf_06_s264_aih_similar_repl_ta_2024.set,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267CG/pool_wide_orthogonal_loss_shape_state_mt5_execution/mt5/run267cf_06_s264_aih_similar_repl_ta_2024.ini,OPV2/s267cg/run267CG_orthogonal_loss_shape_state/telemetry/run267cf_06_s264_aih_similar_repl_ta_2024_telemetry.csv,OPV2/s267cg/run267CG_orthogonal_loss_shape_state/telemetry/run267cf_06_s264_aih_similar_repl_ta_2024_summary.csv,completed,completed,completed
run267cf_06_s264_aih_similar_repl_rt_2024,s264_allow_inner_high_quarter,s264_aih,challenger_core,run267cf_06_s264_aih_similar_repl,similar_replacement_impulse,rep_trend_strength_adx,Tier A+B,routed_total_duplicate_boundary,mt5_rt_s264_aih_similar_repl,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267CG/pool_wide_orthogonal_loss_shape_state_mt5_execution/mt5/run267cf_06_s264_aih_similar_repl_rt_2024.set,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267CG/pool_wide_orthogonal_loss_shape_state_mt5_execution/mt5/run267cf_06_s264_aih_similar_repl_rt_2024.ini,OPV2/s267cg/run267CG_orthogonal_loss_shape_state/telemetry/run267cf_06_s264_aih_similar_repl_rt_2024_telemetry.csv,OPV2/s267cg/run267CG_orthogonal_loss_shape_state/telemetry/run267cf_06_s264_aih_similar_repl_rt_2024_summary.csv,completed,completed,completed
run267cf_07_s264_lc_similar_repl_ta_2024,s264_lowrank_control,s264_lc,defensive_control,run267cf_07_s264_lc_similar_repl,similar_replacement_impulse,rep_trend_strength_adx,Tier A,tier_only_total,mt5_ta_s264_lc_similar_repl,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267CG/pool_wide_orthogonal_loss_shape_state_mt5_execution/mt5/run267cf_07_s264_lc_similar_repl_ta_2024.set,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267CG/pool_wide_orthogonal_loss_shape_state_mt5_execution/mt5/run267cf_07_s264_lc_similar_repl_ta_2024.ini,OPV2/s267cg/run267CG_orthogonal_loss_shape_state/telemetry/run267cf_07_s264_lc_similar_repl_ta_2024_telemetry.csv,OPV2/s267cg/run267CG_orthogonal_loss_shape_state/telemetry/run267cf_07_s264_lc_similar_repl_ta_2024_summary.csv,completed,completed,completed
run267cf_07_s264_lc_similar_repl_rt_2024,s264_lowrank_control,s264_lc,defensive_control,run267cf_07_s264_lc_similar_repl,similar_replacement_impulse,rep_trend_strength_adx,Tier A+B,routed_total_duplicate_boundary,mt5_rt_s264_lc_similar_repl,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267CG/pool_wide_orthogonal_loss_shape_state_mt5_execution/mt5/run267cf_07_s264_lc_similar_repl_rt_2024.set,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267CG/pool_wide_orthogonal_loss_shape_state_mt5_execution/mt5/run267cf_07_s264_lc_similar_repl_rt_2024.ini,OPV2/s267cg/run267CG_orthogonal_loss_shape_state/telemetry/run267cf_07_s264_lc_similar_repl_rt_2024_telemetry.csv,OPV2/s267cg/run267CG_orthogonal_loss_shape_state/telemetry/run267cf_07_s264_lc_similar_repl_rt_2024_summary.csv,completed,completed,completed
run267cf_08_s262_lih_similar_repl_ta_2024,s262_lowrank_inner_half_filter,s262_lih,validation_heavy,run267cf_08_s262_lih_similar_repl,similar_replacement_impulse,rep_trend_strength_adx,Tier A,tier_only_total,mt5_ta_s262_lih_similar_repl,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267CG/pool_wide_orthogonal_loss_shape_state_mt5_execution/mt5/run267cf_08_s262_lih_similar_repl_ta_2024.set,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267CG/pool_wide_orthogonal_loss_shape_state_mt5_execution/mt5/run267cf_08_s262_lih_similar_repl_ta_2024.ini,OPV2/s267cg/run267CG_orthogonal_loss_shape_state/telemetry/run267cf_08_s262_lih_similar_repl_ta_2024_telemetry.csv,OPV2/s267cg/run267CG_orthogonal_loss_shape_state/telemetry/run267cf_08_s262_lih_similar_repl_ta_2024_summary.csv,completed,completed,completed
run267cf_08_s262_lih_similar_repl_rt_2024,s262_lowrank_inner_half_filter,s262_lih,validation_heavy,run267cf_08_s262_lih_similar_repl,similar_replacement_impulse,rep_trend_strength_adx,Tier A+B,routed_total_duplicate_boundary,mt5_rt_s262_lih_similar_repl,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267CG/pool_wide_orthogonal_loss_shape_state_mt5_execution/mt5/run267cf_08_s262_lih_similar_repl_rt_2024.set,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267CG/pool_wide_orthogonal_loss_shape_state_mt5_execution/mt5/run267cf_08_s262_lih_similar_repl_rt_2024.ini,OPV2/s267cg/run267CG_orthogonal_loss_shape_state/telemetry/run267cf_08_s262_lih_similar_repl_rt_2024_telemetry.csv,OPV2/s267cg/run267CG_orthogonal_loss_shape_state/telemetry/run267cf_08_s262_lih_similar_repl_rt_2024_summary.csv,completed,completed,completed
run267cf_09_s264_aia_similar_repl_ta_2024,s264_allow_inner_all_oos_anchor,s264_aia,oos_anchor,run267cf_09_s264_aia_similar_repl,similar_replacement_impulse,rep_trend_strength_adx,Tier A,tier_only_total,mt5_ta_s264_aia_similar_repl,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267CG/pool_wide_orthogonal_loss_shape_state_mt5_execution/mt5/run267cf_09_s264_aia_similar_repl_ta_2024.set,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267CG/pool_wide_orthogonal_loss_shape_state_mt5_execution/mt5/run267cf_09_s264_aia_similar_repl_ta_2024.ini,OPV2/s267cg/run267CG_orthogonal_loss_shape_state/telemetry/run267cf_09_s264_aia_similar_repl_ta_2024_telemetry.csv,OPV2/s267cg/run267CG_orthogonal_loss_shape_state/telemetry/run267cf_09_s264_aia_similar_repl_ta_2024_summary.csv,completed,completed,completed
run267cf_09_s264_aia_similar_repl_rt_2024,s264_allow_inner_all_oos_anchor,s264_aia,oos_anchor,run267cf_09_s264_aia_similar_repl,similar_replacement_impulse,rep_trend_strength_adx,Tier A+B,routed_total_duplicate_boundary,mt5_rt_s264_aia_similar_repl,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267CG/pool_wide_orthogonal_loss_shape_state_mt5_execution/mt5/run267cf_09_s264_aia_similar_repl_rt_2024.set,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267CG/pool_wide_orthogonal_loss_shape_state_mt5_execution/mt5/run267cf_09_s264_aia_similar_repl_rt_2024.ini,OPV2/s267cg/run267CG_orthogonal_loss_shape_state/telemetry/run267cf_09_s264_aia_similar_repl_rt_2024_telemetry.csv,OPV2/s267cg/run267CG_orthogonal_loss_shape_state/telemetry/run267cf_09_s264_aia_similar_repl_rt_2024_summary.csv,completed,completed,completed
run267cf_10_s258_stc_similar_repl_ta_2024,s258_short_tight_control,s258_stc,stress_challenger,run267cf_10_s258_stc_similar_repl,similar_replacement_impulse,rep_trend_strength_adx,Tier A,tier_only_total,mt5_ta_s258_stc_similar_repl,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267CG/pool_wide_orthogonal_loss_shape_state_mt5_execution/mt5/run267cf_10_s258_stc_similar_repl_ta_2024.set,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267CG/pool_wide_orthogonal_loss_shape_state_mt5_execution/mt5/run267cf_10_s258_stc_similar_repl_ta_2024.ini,OPV2/s267cg/run267CG_orthogonal_loss_shape_state/telemetry/run267cf_10_s258_stc_similar_repl_ta_2024_telemetry.csv,OPV2/s267cg/run267CG_orthogonal_loss_shape_state/telemetry/run267cf_10_s258_stc_similar_repl_ta_2024_summary.csv,completed,completed,completed
run267cf_10_s258_stc_similar_repl_rt_2024,s258_short_tight_control,s258_stc,stress_challenger,run267cf_10_s258_stc_similar_repl,similar_replacement_impulse,rep_trend_strength_adx,Tier A+B,routed_total_duplicate_boundary,mt5_rt_s258_stc_similar_repl,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267CG/pool_wide_orthogonal_loss_shape_state_mt5_execution/mt5/run267cf_10_s258_stc_similar_repl_rt_2024.set,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267CG/pool_wide_orthogonal_loss_shape_state_mt5_execution/mt5/run267cf_10_s258_stc_similar_repl_rt_2024.ini,OPV2/s267cg/run267CG_orthogonal_loss_shape_state/telemetry/run267cf_10_s258_stc_similar_repl_rt_2024_telemetry.csv,OPV2/s267cg/run267CG_orthogonal_loss_shape_state/telemetry/run267cf_10_s258_stc_similar_repl_rt_2024_summary.csv,completed,completed,completed
