queue_id,candidate_alias,source_test_id,state_profile,passed,max_abs_diff,tolerance,rows,source_feature_count,extended_feature_count,zero_state_feature_policy,table_path
run267AO_s262_lih_range_expansion_pressure,s262_lih,rep_volatility_atr,range_expansion_pressure,true,0,1e-10,2048,32,33,state_feature_zero_must_equal_source_score_table,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267AO/pool_wide_state_feature_engineering_materialization/variants/s262_lih/run267ao_s262_lih_range_expansion_pressure/models/s262_lih_range_expansion_pressure_state_feature_model.csv
run267AO_s262_lih_trend_strength_disagreement,s262_lih,rep_trend_strength_adx,trend_strength_disagreement,true,0,1e-10,2048,32,33,state_feature_zero_must_equal_source_score_table,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267AO/pool_wide_state_feature_engineering_materialization/variants/s262_lih/run267ao_s262_lih_trend_strength_disagreement/models/s262_lih_trend_strength_disagreement_state_feature_model.csv
run267AO_s264_aia_return_shock_absorption,s264_aia,rep_volatility_atr,return_shock_absorption,true,0,1e-10,2048,32,33,state_feature_zero_must_equal_source_score_table,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267AO/pool_wide_state_feature_engineering_materialization/variants/s264_aia/run267ao_s264_aia_return_shock_absorption/models/s264_aia_return_shock_absorption_state_feature_model.csv
run267AO_s264_aia_volatility_regime_expansion,s264_aia,rep_volatility_atr,volatility_regime_expansion,true,0,1e-10,2048,32,33,state_feature_zero_must_equal_source_score_table,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267AO/pool_wide_state_feature_engineering_materialization/variants/s264_aia/run267ao_s264_aia_volatility_regime_expansion/models/s264_aia_volatility_regime_expansion_state_feature_model.csv
run267AO_s264_aia_range_expansion_pressure,s264_aia,rep_volatility_atr,range_expansion_pressure,true,0,1e-10,2048,32,33,state_feature_zero_must_equal_source_score_table,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267AO/pool_wide_state_feature_engineering_materialization/variants/s264_aia/run267ao_s264_aia_range_expansion_pressure/models/s264_aia_range_expansion_pressure_state_feature_model.csv
run267AO_s264_aia_trend_strength_disagreement,s264_aia,rep_trend_strength_adx,trend_strength_disagreement,true,0,1e-10,2048,32,33,state_feature_zero_must_equal_source_score_table,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267AO/pool_wide_state_feature_engineering_materialization/variants/s264_aia/run267ao_s264_aia_trend_strength_disagreement/models/s264_aia_trend_strength_disagreement_state_feature_model.csv
run267AO_s258_stc_return_shock_absorption,s258_stc,abl_price_return_range,return_shock_absorption,true,0,1e-10,2048,25,26,state_feature_zero_must_equal_source_score_table,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267AO/pool_wide_state_feature_engineering_materialization/variants/s258_stc/run267ao_s258_stc_return_shock_absorption/models/s258_stc_return_shock_absorption_state_feature_model.csv
run267AO_s258_stc_volatility_regime_expansion,s258_stc,abl_volatility_bandwidth,volatility_regime_expansion,true,0,1e-10,2048,25,26,state_feature_zero_must_equal_source_score_table,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267AO/pool_wide_state_feature_engineering_materialization/variants/s258_stc/run267ao_s258_stc_volatility_regime_expansion/models/s258_stc_volatility_regime_expansion_state_feature_model.csv
run267AO_s258_stc_range_expansion_pressure,s258_stc,abl_price_return_range,range_expansion_pressure,true,0,1e-10,2048,25,26,state_feature_zero_must_equal_source_score_table,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267AO/pool_wide_state_feature_engineering_materialization/variants/s258_stc/run267ao_s258_stc_range_expansion_pressure/models/s258_stc_range_expansion_pressure_state_feature_model.csv
run267AO_s258_stc_trend_strength_disagreement,s258_stc,rep_trend_strength_adx,trend_strength_disagreement,true,0,1e-10,2048,32,33,state_feature_zero_must_equal_source_score_table,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267AO/pool_wide_state_feature_engineering_materialization/variants/s258_stc/run267ao_s258_stc_trend_strength_disagreement/models/s258_stc_trend_strength_disagreement_state_feature_model.csv
