ledger_row_id,stage_id,run_id,subrun_id,parent_run_id,record_view,tier_scope,kpi_scope,scoreboard_lane,status,judgment,path,primary_kpi,guardrail_kpi,external_verification_status,notes
run31A_state_context_router_broad_mt5_probe_v1__stage_open,37_state_context__single_base_filter_or_state_router,run31A_state_context_router_broad_mt5_probe_v1,stage_open,run31A_state_context_router_broad_mt5_probe_v1,stage_open_draft,Tier A+B,stage_question_boundary,experiment_design,reviewed,state_context_not_useful_or_inconclusive,stages/37_state_context__single_base_filter_or_state_router/01_inputs/stage_open_draft.md,question=single_base_filter_adapter_or_limited_router,stage37_structure_judgment_only_no_baseline_no_promotion_no_runtime_authority_no_live_readiness,out_of_scope_by_claim,Stage37 opened from Stage36 frontier02 state_context_stack.
run31A_state_context_router_broad_mt5_probe_v1__common_state_context_response_table,37_state_context__single_base_filter_or_state_router,run31A_state_context_router_broad_mt5_probe_v1,common_state_context_response_table,run31A_state_context_router_broad_mt5_probe_v1,common_state_context_response_table,Tier A+B,state_context_model_response,structural_scout,completed,state_context_not_useful_or_inconclusive,stages/37_state_context__single_base_filter_or_state_router/02_runs/run31A_state_context_router_broad_mt5_probe_v1/results/common_state_context_response_table.parquet,rows=59048;tier_a_rows=46650;tier_b_rows=12398,stage37_structure_judgment_only_no_baseline_no_promotion_no_runtime_authority_no_live_readiness,python_materialized,"HMM, Markov, KMeans, context, and model response columns share feature-ready timestamps."
run31A_state_context_router_broad_mt5_probe_v1__mt5_routed_single_base_state_filter_tier_b_fallback_used_oos,37_state_context__single_base_filter_or_state_router,run31A_state_context_router_broad_mt5_probe_v1,mt5_routed_single_base_state_filter_tier_b_fallback_used_oos,run31A_state_context_router_broad_mt5_probe_v1,mt5_routed_single_base_state_filter_tier_b_fallback_used_oos,Tier B,broad_routed_mt5_runtime_probe,runtime_probe,completed,state_context_not_useful_or_inconclusive,stages/37_state_context__single_base_filter_or_state_router/02_runs/run31A_state_context_router_broad_mt5_probe_v1/kpi_record.json,net_profit=NA;profit_factor=NA;trade_count=NA,stage37_structure_judgment_only_no_baseline_no_promotion_no_runtime_authority_no_live_readiness,completed,variant=single_base_state_filter;route_role=fallback_used;split=oos
run31A_state_context_router_broad_mt5_probe_v1__mt5_routed_single_base_state_filter_oos,37_state_context__single_base_filter_or_state_router,run31A_state_context_router_broad_mt5_probe_v1,mt5_routed_single_base_state_filter_oos,run31A_state_context_router_broad_mt5_probe_v1,mt5_routed_single_base_state_filter_oos,Tier A+B,broad_routed_mt5_runtime_probe,runtime_probe,completed,state_context_not_useful_or_inconclusive,stages/37_state_context__single_base_filter_or_state_router/02_runs/run31A_state_context_router_broad_mt5_probe_v1/kpi_record.json,net_profit=-88.9;profit_factor=0.84;trade_count=23,stage37_structure_judgment_only_no_baseline_no_promotion_no_runtime_authority_no_live_readiness,completed,variant=single_base_state_filter;route_role=routed_total;split=oos
run31A_state_context_router_broad_mt5_probe_v1__mt5_routed_single_base_state_adapter_tier_a_used_validation_is,37_state_context__single_base_filter_or_state_router,run31A_state_context_router_broad_mt5_probe_v1,mt5_routed_single_base_state_adapter_tier_a_used_validation_is,run31A_state_context_router_broad_mt5_probe_v1,mt5_routed_single_base_state_adapter_tier_a_used_validation_is,Tier A,broad_routed_mt5_runtime_probe,runtime_probe,completed,state_context_not_useful_or_inconclusive,stages/37_state_context__single_base_filter_or_state_router/02_runs/run31A_state_context_router_broad_mt5_probe_v1/kpi_record.json,net_profit=NA;profit_factor=NA;trade_count=NA,stage37_structure_judgment_only_no_baseline_no_promotion_no_runtime_authority_no_live_readiness,completed,variant=single_base_state_adapter;route_role=primary_used;split=validation_is
run31A_state_context_router_broad_mt5_probe_v1__mt5_routed_single_base_state_adapter_tier_b_fallback_used_validation_is,37_state_context__single_base_filter_or_state_router,run31A_state_context_router_broad_mt5_probe_v1,mt5_routed_single_base_state_adapter_tier_b_fallback_used_validation_is,run31A_state_context_router_broad_mt5_probe_v1,mt5_routed_single_base_state_adapter_tier_b_fallback_used_validation_is,Tier B,broad_routed_mt5_runtime_probe,runtime_probe,completed,state_context_not_useful_or_inconclusive,stages/37_state_context__single_base_filter_or_state_router/02_runs/run31A_state_context_router_broad_mt5_probe_v1/kpi_record.json,net_profit=NA;profit_factor=NA;trade_count=NA,stage37_structure_judgment_only_no_baseline_no_promotion_no_runtime_authority_no_live_readiness,completed,variant=single_base_state_adapter;route_role=fallback_used;split=validation_is
run31A_state_context_router_broad_mt5_probe_v1__mt5_routed_single_base_state_adapter_validation_is,37_state_context__single_base_filter_or_state_router,run31A_state_context_router_broad_mt5_probe_v1,mt5_routed_single_base_state_adapter_validation_is,run31A_state_context_router_broad_mt5_probe_v1,mt5_routed_single_base_state_adapter_validation_is,Tier A+B,broad_routed_mt5_runtime_probe,runtime_probe,completed,state_context_not_useful_or_inconclusive,stages/37_state_context__single_base_filter_or_state_router/02_runs/run31A_state_context_router_broad_mt5_probe_v1/kpi_record.json,net_profit=-495.45;profit_factor=0.47;trade_count=37,stage37_structure_judgment_only_no_baseline_no_promotion_no_runtime_authority_no_live_readiness,completed,variant=single_base_state_adapter;route_role=routed_total;split=validation_is
run31A_state_context_router_broad_mt5_probe_v1__mt5_routed_single_base_state_adapter_tier_a_used_oos,37_state_context__single_base_filter_or_state_router,run31A_state_context_router_broad_mt5_probe_v1,mt5_routed_single_base_state_adapter_tier_a_used_oos,run31A_state_context_router_broad_mt5_probe_v1,mt5_routed_single_base_state_adapter_tier_a_used_oos,Tier A,broad_routed_mt5_runtime_probe,runtime_probe,completed,state_context_not_useful_or_inconclusive,stages/37_state_context__single_base_filter_or_state_router/02_runs/run31A_state_context_router_broad_mt5_probe_v1/kpi_record.json,net_profit=NA;profit_factor=NA;trade_count=NA,stage37_structure_judgment_only_no_baseline_no_promotion_no_runtime_authority_no_live_readiness,completed,variant=single_base_state_adapter;route_role=primary_used;split=oos
run31A_state_context_router_broad_mt5_probe_v1__mt5_routed_single_base_state_adapter_tier_b_fallback_used_oos,37_state_context__single_base_filter_or_state_router,run31A_state_context_router_broad_mt5_probe_v1,mt5_routed_single_base_state_adapter_tier_b_fallback_used_oos,run31A_state_context_router_broad_mt5_probe_v1,mt5_routed_single_base_state_adapter_tier_b_fallback_used_oos,Tier B,broad_routed_mt5_runtime_probe,runtime_probe,completed,state_context_not_useful_or_inconclusive,stages/37_state_context__single_base_filter_or_state_router/02_runs/run31A_state_context_router_broad_mt5_probe_v1/kpi_record.json,net_profit=NA;profit_factor=NA;trade_count=NA,stage37_structure_judgment_only_no_baseline_no_promotion_no_runtime_authority_no_live_readiness,completed,variant=single_base_state_adapter;route_role=fallback_used;split=oos
run31A_state_context_router_broad_mt5_probe_v1__mt5_routed_single_base_state_adapter_oos,37_state_context__single_base_filter_or_state_router,run31A_state_context_router_broad_mt5_probe_v1,mt5_routed_single_base_state_adapter_oos,run31A_state_context_router_broad_mt5_probe_v1,mt5_routed_single_base_state_adapter_oos,Tier A+B,broad_routed_mt5_runtime_probe,runtime_probe,completed,state_context_not_useful_or_inconclusive,stages/37_state_context__single_base_filter_or_state_router/02_runs/run31A_state_context_router_broad_mt5_probe_v1/kpi_record.json,net_profit=-92.37;profit_factor=0.9;trade_count=75,stage37_structure_judgment_only_no_baseline_no_promotion_no_runtime_authority_no_live_readiness,completed,variant=single_base_state_adapter;route_role=routed_total;split=oos
run31A_state_context_router_broad_mt5_probe_v1__mt5_routed_limited_state_specialist_router_tier_a_used_validation_is,37_state_context__single_base_filter_or_state_router,run31A_state_context_router_broad_mt5_probe_v1,mt5_routed_limited_state_specialist_router_tier_a_used_validation_is,run31A_state_context_router_broad_mt5_probe_v1,mt5_routed_limited_state_specialist_router_tier_a_used_validation_is,Tier A,broad_routed_mt5_runtime_probe,runtime_probe,completed,state_context_not_useful_or_inconclusive,stages/37_state_context__single_base_filter_or_state_router/02_runs/run31A_state_context_router_broad_mt5_probe_v1/kpi_record.json,net_profit=NA;profit_factor=NA;trade_count=NA,stage37_structure_judgment_only_no_baseline_no_promotion_no_runtime_authority_no_live_readiness,completed,variant=limited_state_specialist_router;route_role=primary_used;split=validation_is
run31A_state_context_router_broad_mt5_probe_v1__mt5_routed_limited_state_specialist_router_tier_b_fallback_used_validation_is,37_state_context__single_base_filter_or_state_router,run31A_state_context_router_broad_mt5_probe_v1,mt5_routed_limited_state_specialist_router_tier_b_fallback_used_validation_is,run31A_state_context_router_broad_mt5_probe_v1,mt5_routed_limited_state_specialist_router_tier_b_fallback_used_validation_is,Tier B,broad_routed_mt5_runtime_probe,runtime_probe,completed,state_context_not_useful_or_inconclusive,stages/37_state_context__single_base_filter_or_state_router/02_runs/run31A_state_context_router_broad_mt5_probe_v1/kpi_record.json,net_profit=NA;profit_factor=NA;trade_count=NA,stage37_structure_judgment_only_no_baseline_no_promotion_no_runtime_authority_no_live_readiness,completed,variant=limited_state_specialist_router;route_role=fallback_used;split=validation_is
run31A_state_context_router_broad_mt5_probe_v1__mt5_routed_limited_state_specialist_router_validation_is,37_state_context__single_base_filter_or_state_router,run31A_state_context_router_broad_mt5_probe_v1,mt5_routed_limited_state_specialist_router_validation_is,run31A_state_context_router_broad_mt5_probe_v1,mt5_routed_limited_state_specialist_router_validation_is,Tier A+B,broad_routed_mt5_runtime_probe,runtime_probe,completed,state_context_not_useful_or_inconclusive,stages/37_state_context__single_base_filter_or_state_router/02_runs/run31A_state_context_router_broad_mt5_probe_v1/kpi_record.json,net_profit=-498.92;profit_factor=0.55;trade_count=85,stage37_structure_judgment_only_no_baseline_no_promotion_no_runtime_authority_no_live_readiness,completed,variant=limited_state_specialist_router;route_role=routed_total;split=validation_is
run31A_state_context_router_broad_mt5_probe_v1__mt5_routed_limited_state_specialist_router_tier_a_used_oos,37_state_context__single_base_filter_or_state_router,run31A_state_context_router_broad_mt5_probe_v1,mt5_routed_limited_state_specialist_router_tier_a_used_oos,run31A_state_context_router_broad_mt5_probe_v1,mt5_routed_limited_state_specialist_router_tier_a_used_oos,Tier A,broad_routed_mt5_runtime_probe,runtime_probe,completed,state_context_not_useful_or_inconclusive,stages/37_state_context__single_base_filter_or_state_router/02_runs/run31A_state_context_router_broad_mt5_probe_v1/kpi_record.json,net_profit=NA;profit_factor=NA;trade_count=NA,stage37_structure_judgment_only_no_baseline_no_promotion_no_runtime_authority_no_live_readiness,completed,variant=limited_state_specialist_router;route_role=primary_used;split=oos
run31A_state_context_router_broad_mt5_probe_v1__mt5_routed_limited_state_specialist_router_tier_b_fallback_used_oos,37_state_context__single_base_filter_or_state_router,run31A_state_context_router_broad_mt5_probe_v1,mt5_routed_limited_state_specialist_router_tier_b_fallback_used_oos,run31A_state_context_router_broad_mt5_probe_v1,mt5_routed_limited_state_specialist_router_tier_b_fallback_used_oos,Tier B,broad_routed_mt5_runtime_probe,runtime_probe,completed,state_context_not_useful_or_inconclusive,stages/37_state_context__single_base_filter_or_state_router/02_runs/run31A_state_context_router_broad_mt5_probe_v1/kpi_record.json,net_profit=NA;profit_factor=NA;trade_count=NA,stage37_structure_judgment_only_no_baseline_no_promotion_no_runtime_authority_no_live_readiness,completed,variant=limited_state_specialist_router;route_role=fallback_used;split=oos
run31A_state_context_router_broad_mt5_probe_v1__mt5_routed_limited_state_specialist_router_oos,37_state_context__single_base_filter_or_state_router,run31A_state_context_router_broad_mt5_probe_v1,mt5_routed_limited_state_specialist_router_oos,run31A_state_context_router_broad_mt5_probe_v1,mt5_routed_limited_state_specialist_router_oos,Tier A+B,broad_routed_mt5_runtime_probe,runtime_probe,completed,state_context_not_useful_or_inconclusive,stages/37_state_context__single_base_filter_or_state_router/02_runs/run31A_state_context_router_broad_mt5_probe_v1/kpi_record.json,net_profit=118.8;profit_factor=1.1;trade_count=193,stage37_structure_judgment_only_no_baseline_no_promotion_no_runtime_authority_no_live_readiness,completed,variant=limited_state_specialist_router;route_role=routed_total;split=oos
