run_id,segment_type,segment_id,business_days,net_profit,profit_factor,expectancy,trade_count,trade_density_per_business_day,gross_profit,gross_loss,max_closed_drawdown_amount,max_closed_drawdown_percent,recovery_factor,win_rate_percent,long_trade_count,short_trade_count,long_share,short_share,claim_boundary
run364BH_train_density_restore_forward_regime_stress_scout_without_db_v1,month,2025-01,22,40.14,1.1654575433,0.4561363636,88,4.0,282.74,242.6,71.78,14.4168390608,0.5592086932,50.0,80,8,0.9090909091,0.0909090909,research_development_proxy_scout_only_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364BH_train_density_restore_forward_regime_stress_scout_without_db_v1,month,2025-02,20,83.6,1.4919383312,1.1774647887,71,3.55,253.54,169.94,35.83,6.0585052418,2.3332403014,56.338028169,59,12,0.8309859155,0.1690140845,research_development_proxy_scout_only_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364BH_train_density_restore_forward_regime_stress_scout_without_db_v1,month,2025-03,17,8.71,1.6674329502,1.08875,8,0.4705882353,21.76,13.05,7.0,1.3800717637,1.2442857143,50.0,0,8,0.0,1.0,research_development_proxy_scout_only_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364BH_train_density_restore_forward_regime_stress_scout_without_db_v1,month,2025-04,22,211.95,1.4387562879,1.7516528926,121,5.5,695.02,483.07,67.67,12.7410001506,3.1321117186,50.4132231405,106,15,0.8760330579,0.1239669421,research_development_proxy_scout_only_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364BH_train_density_restore_forward_regime_stress_scout_without_db_v1,month,2025-05,22,39.72,1.2492000753,0.5296,75,3.4090909091,199.11,159.39,41.6,7.7421275962,0.9548076923,54.6666666667,70,5,0.9333333333,0.0666666667,research_development_proxy_scout_only_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364BH_train_density_restore_forward_regime_stress_scout_without_db_v1,month,2025-06,21,57.54,1.5131543744,0.8588059701,67,3.1904761905,169.67,112.13,23.52,4.4294619484,2.4464285714,53.7313432836,66,1,0.9850746269,0.0149253731,research_development_proxy_scout_only_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364BH_train_density_restore_forward_regime_stress_scout_without_db_v1,month,2025-07,23,15.83,1.251509374,0.4796969697,33,1.4347826087,78.77,62.94,21.86,4.2095128057,0.7241537054,54.5454545455,32,1,0.9696969697,0.0303030303,research_development_proxy_scout_only_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364BH_train_density_restore_forward_regime_stress_scout_without_db_v1,month,2025-08,21,6.31,1.0610015468,0.137173913,46,2.1904761905,109.75,103.44,26.05,5.1230112687,0.2422264875,43.4782608696,43,3,0.9347826087,0.0652173913,research_development_proxy_scout_only_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364BH_train_density_restore_forward_regime_stress_scout_without_db_v1,month,2025-09,21,27.86,1.2848670757,0.5572,50,2.380952381,125.66,97.8,30.58,5.8672294705,0.9110529758,42.0,49,1,0.98,0.02,research_development_proxy_scout_only_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364BH_train_density_restore_forward_regime_stress_scout_without_db_v1,month,2025-10,23,31.76,1.1557091729,0.4071794872,78,3.3913043478,235.73,203.97,40.6,7.2796385283,0.7822660099,55.1282051282,71,7,0.9102564103,0.0897435897,research_development_proxy_scout_only_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364BH_train_density_restore_forward_regime_stress_scout_without_db_v1,month,2025-11,18,237.39,2.189209498,2.8601204819,83,4.6111111111,437.01,199.62,37.65,6.1404224089,6.3051792829,60.2409638554,71,12,0.8554216867,0.1445783133,research_development_proxy_scout_only_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364BH_train_density_restore_forward_regime_stress_scout_without_db_v1,month,2025-12,22,-30.17,0.8245318134,-0.4866129032,62,2.8181818182,141.77,171.94,75.3,14.7765850978,-0.4006640106,51.6129032258,57,5,0.9193548387,0.0806451613,research_development_proxy_scout_only_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364BH_train_density_restore_forward_regime_stress_scout_without_db_v1,month,2026-01,21,37.82,1.2172689148,0.4669135802,81,3.8571428571,211.89,174.07,57.93,11.3221929053,0.6528568963,48.1481481481,76,5,0.9382716049,0.0617283951,research_development_proxy_scout_only_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364BH_train_density_restore_forward_regime_stress_scout_without_db_v1,month,2026-02,20,138.5,1.6293738071,1.5388888889,90,4.5,358.56,220.06,41.22,7.3204518008,3.3600194081,61.1111111111,78,12,0.8666666667,0.1333333333,research_development_proxy_scout_only_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364BH_train_density_restore_forward_regime_stress_scout_without_db_v1,month,2026-03,8,8.34,23.5405405405,2.085,4,0.5,8.71,0.37,0.06,0.0120074446,139.0,50.0,0,4,0.0,1.0,research_development_proxy_scout_only_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364BH_train_density_restore_forward_regime_stress_scout_without_db_v1,month,2026-04,9,23.29,1.2319721116,0.5063043478,46,5.1111111111,123.69,100.4,45.22,8.4961671426,0.515037594,56.5217391304,46,0,1.0,0.0,research_development_proxy_scout_only_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
