time_open_unix,time_close_unix,contract_symbol,broker_symbol,timeframe,price_basis,open,high,low,close,tick_volume,spread_points,real_volume,time_basis,timezone_status
1776135600,1776135900,USDX,USDX,M5,Bid,98.116,98.146,98.099,98.144,68,35,0,MT5_PY_API_UNIX_SECONDS,UNRESOLVED_REQUIRES_MANUAL_BINDING
1776135900,1776136200,USDX,USDX,M5,Bid,98.149,98.166,98.149,98.154,43,35,0,MT5_PY_API_UNIX_SECONDS,UNRESOLVED_REQUIRES_MANUAL_BINDING
1776136200,1776136500,USDX,USDX,M5,Bid,98.161,98.161,98.129,98.136,61,35,0,MT5_PY_API_UNIX_SECONDS,UNRESOLVED_REQUIRES_MANUAL_BINDING
1776136500,1776136800,USDX,USDX,M5,Bid,98.129,98.136,98.104,98.104,33,35,0,MT5_PY_API_UNIX_SECONDS,UNRESOLVED_REQUIRES_MANUAL_BINDING
1776136800,1776137100,USDX,USDX,M5,Bid,98.109,98.109,98.089,98.104,52,35,0,MT5_PY_API_UNIX_SECONDS,UNRESOLVED_REQUIRES_MANUAL_BINDING
1776137100,1776137400,USDX,USDX,M5,Bid,98.099,98.136,98.099,98.131,53,35,0,MT5_PY_API_UNIX_SECONDS,UNRESOLVED_REQUIRES_MANUAL_BINDING
1776137400,1776137700,USDX,USDX,M5,Bid,98.126,98.131,98.104,98.124,35,35,0,MT5_PY_API_UNIX_SECONDS,UNRESOLVED_REQUIRES_MANUAL_BINDING
1776137700,1776138000,USDX,USDX,M5,Bid,98.131,98.136,98.129,98.131,17,35,0,MT5_PY_API_UNIX_SECONDS,UNRESOLVED_REQUIRES_MANUAL_BINDING
1776138000,1776138300,USDX,USDX,M5,Bid,98.131,98.141,98.124,98.124,29,35,0,MT5_PY_API_UNIX_SECONDS,UNRESOLVED_REQUIRES_MANUAL_BINDING
1776138300,1776138600,USDX,USDX,M5,Bid,98.129,98.141,98.124,98.129,35,35,0,MT5_PY_API_UNIX_SECONDS,UNRESOLVED_REQUIRES_MANUAL_BINDING
1776138600,1776138900,USDX,USDX,M5,Bid,98.126,98.136,98.116,98.119,63,35,0,MT5_PY_API_UNIX_SECONDS,UNRESOLVED_REQUIRES_MANUAL_BINDING
1776138900,1776139200,USDX,USDX,M5,Bid,98.126,98.136,98.109,98.111,52,35,0,MT5_PY_API_UNIX_SECONDS,UNRESOLVED_REQUIRES_MANUAL_BINDING
1776139200,1776139500,USDX,USDX,M5,Bid,98.114,98.136,98.109,98.129,56,35,0,MT5_PY_API_UNIX_SECONDS,UNRESOLVED_REQUIRES_MANUAL_BINDING
1776139500,1776139800,USDX,USDX,M5,Bid,98.126,98.126,98.099,98.114,57,35,0,MT5_PY_API_UNIX_SECONDS,UNRESOLVED_REQUIRES_MANUAL_BINDING
1776139800,1776140100,USDX,USDX,M5,Bid,98.114,98.131,98.114,98.119,50,35,0,MT5_PY_API_UNIX_SECONDS,UNRESOLVED_REQUIRES_MANUAL_BINDING
1776140100,1776140400,USDX,USDX,M5,Bid,98.116,98.141,98.116,98.141,91,35,0,MT5_PY_API_UNIX_SECONDS,UNRESOLVED_REQUIRES_MANUAL_BINDING
1776140400,1776140700,USDX,USDX,M5,Bid,98.146,98.151,98.134,98.144,47,35,0,MT5_PY_API_UNIX_SECONDS,UNRESOLVED_REQUIRES_MANUAL_BINDING
1776140700,1776141000,USDX,USDX,M5,Bid,98.146,98.146,98.116,98.121,28,35,0,MT5_PY_API_UNIX_SECONDS,UNRESOLVED_REQUIRES_MANUAL_BINDING
1776141000,1776141300,USDX,USDX,M5,Bid,98.119,98.141,98.119,98.136,67,35,0,MT5_PY_API_UNIX_SECONDS,UNRESOLVED_REQUIRES_MANUAL_BINDING
1776141300,1776141600,USDX,USDX,M5,Bid,98.131,98.146,98.129,98.131,44,35,0,MT5_PY_API_UNIX_SECONDS,UNRESOLVED_REQUIRES_MANUAL_BINDING
1776141600,1776141900,USDX,USDX,M5,Bid,98.126,98.141,98.114,98.131,44,35,0,MT5_PY_API_UNIX_SECONDS,UNRESOLVED_REQUIRES_MANUAL_BINDING
1776141900,1776142200,USDX,USDX,M5,Bid,98.134,98.146,98.131,98.146,52,35,0,MT5_PY_API_UNIX_SECONDS,UNRESOLVED_REQUIRES_MANUAL_BINDING
1776142200,1776142500,USDX,USDX,M5,Bid,98.141,98.151,98.139,98.144,32,35,0,MT5_PY_API_UNIX_SECONDS,UNRESOLVED_REQUIRES_MANUAL_BINDING
1776142500,1776142800,USDX,USDX,M5,Bid,98.141,98.164,98.139,98.159,58,35,0,MT5_PY_API_UNIX_SECONDS,UNRESOLVED_REQUIRES_MANUAL_BINDING
1776142800,1776143100,USDX,USDX,M5,Bid,98.154,98.166,98.149,98.156,41,35,0,MT5_PY_API_UNIX_SECONDS,UNRESOLVED_REQUIRES_MANUAL_BINDING
1776143100,1776143400,USDX,USDX,M5,Bid,98.149,98.156,98.139,98.146,36,35,0,MT5_PY_API_UNIX_SECONDS,UNRESOLVED_REQUIRES_MANUAL_BINDING
1776143400,1776143700,USDX,USDX,M5,Bid,98.149,98.166,98.139,98.154,44,35,0,MT5_PY_API_UNIX_SECONDS,UNRESOLVED_REQUIRES_MANUAL_BINDING
1776143700,1776144000,USDX,USDX,M5,Bid,98.159,98.166,98.154,98.164,40,35,0,MT5_PY_API_UNIX_SECONDS,UNRESOLVED_REQUIRES_MANUAL_BINDING
1776144000,1776144300,USDX,USDX,M5,Bid,98.166,98.179,98.164,98.169,31,35,0,MT5_PY_API_UNIX_SECONDS,UNRESOLVED_REQUIRES_MANUAL_BINDING
1776144300,1776144600,USDX,USDX,M5,Bid,98.166,98.176,98.164,98.169,16,35,0,MT5_PY_API_UNIX_SECONDS,UNRESOLVED_REQUIRES_MANUAL_BINDING
1776144600,1776144900,USDX,USDX,M5,Bid,98.171,98.181,98.169,98.174,29,35,0,MT5_PY_API_UNIX_SECONDS,UNRESOLVED_REQUIRES_MANUAL_BINDING
1776144900,1776145200,USDX,USDX,M5,Bid,98.179,98.181,98.164,98.166,38,35,0,MT5_PY_API_UNIX_SECONDS,UNRESOLVED_REQUIRES_MANUAL_BINDING
1776145200,1776145500,USDX,USDX,M5,Bid,98.159,98.161,98.149,98.149,40,35,0,MT5_PY_API_UNIX_SECONDS,UNRESOLVED_REQUIRES_MANUAL_BINDING
1776145500,1776145800,USDX,USDX,M5,Bid,98.154,98.161,98.149,98.161,12,35,0,MT5_PY_API_UNIX_SECONDS,UNRESOLVED_REQUIRES_MANUAL_BINDING
1776145800,1776146100,USDX,USDX,M5,Bid,98.154,98.166,98.154,98.166,8,35,0,MT5_PY_API_UNIX_SECONDS,UNRESOLVED_REQUIRES_MANUAL_BINDING
1776146100,1776146400,USDX,USDX,M5,Bid,98.164,98.171,98.144,98.144,35,35,0,MT5_PY_API_UNIX_SECONDS,UNRESOLVED_REQUIRES_MANUAL_BINDING
1776146400,1776146700,USDX,USDX,M5,Bid,98.139,98.151,98.139,98.144,36,35,0,MT5_PY_API_UNIX_SECONDS,UNRESOLVED_REQUIRES_MANUAL_BINDING
1776146700,1776147000,USDX,USDX,M5,Bid,98.139,98.154,98.139,98.154,21,35,0,MT5_PY_API_UNIX_SECONDS,UNRESOLVED_REQUIRES_MANUAL_BINDING
1776147000,1776147300,USDX,USDX,M5,Bid,98.149,98.161,98.149,98.156,26,35,0,MT5_PY_API_UNIX_SECONDS,UNRESOLVED_REQUIRES_MANUAL_BINDING
1776147300,1776147600,USDX,USDX,M5,Bid,98.151,98.156,98.139,98.149,32,35,0,MT5_PY_API_UNIX_SECONDS,UNRESOLVED_REQUIRES_MANUAL_BINDING
1776147600,1776147900,USDX,USDX,M5,Bid,98.144,98.151,98.139,98.149,13,35,0,MT5_PY_API_UNIX_SECONDS,UNRESOLVED_REQUIRES_MANUAL_BINDING
1776147900,1776148200,USDX,USDX,M5,Bid,98.146,98.156,98.144,98.146,22,35,0,MT5_PY_API_UNIX_SECONDS,UNRESOLVED_REQUIRES_MANUAL_BINDING
1776148200,1776148500,USDX,USDX,M5,Bid,98.144,98.146,98.129,98.136,24,35,0,MT5_PY_API_UNIX_SECONDS,UNRESOLVED_REQUIRES_MANUAL_BINDING
1776148500,1776148800,USDX,USDX,M5,Bid,98.134,98.146,98.134,98.134,18,35,0,MT5_PY_API_UNIX_SECONDS,UNRESOLVED_REQUIRES_MANUAL_BINDING
1776148800,1776149100,USDX,USDX,M5,Bid,98.129,98.129,98.109,98.126,29,35,0,MT5_PY_API_UNIX_SECONDS,UNRESOLVED_REQUIRES_MANUAL_BINDING
1776149100,1776149400,USDX,USDX,M5,Bid,98.126,98.126,98.109,98.116,32,35,0,MT5_PY_API_UNIX_SECONDS,UNRESOLVED_REQUIRES_MANUAL_BINDING
1776149400,1776149700,USDX,USDX,M5,Bid,98.116,98.116,98.094,98.096,23,35,0,MT5_PY_API_UNIX_SECONDS,UNRESOLVED_REQUIRES_MANUAL_BINDING
1776149700,1776150000,USDX,USDX,M5,Bid,98.096,98.101,98.089,98.101,16,35,0,MT5_PY_API_UNIX_SECONDS,UNRESOLVED_REQUIRES_MANUAL_BINDING
1776150000,1776150300,USDX,USDX,M5,Bid,98.106,98.106,98.099,98.099,5,35,0,MT5_PY_API_UNIX_SECONDS,UNRESOLVED_REQUIRES_MANUAL_BINDING
1776150300,1776150600,USDX,USDX,M5,Bid,98.101,98.106,98.099,98.106,16,35,0,MT5_PY_API_UNIX_SECONDS,UNRESOLVED_REQUIRES_MANUAL_BINDING
1776150600,1776150900,USDX,USDX,M5,Bid,98.106,98.111,98.104,98.104,10,35,0,MT5_PY_API_UNIX_SECONDS,UNRESOLVED_REQUIRES_MANUAL_BINDING
1776150900,1776151200,USDX,USDX,M5,Bid,98.109,98.116,98.099,98.099,36,35,0,MT5_PY_API_UNIX_SECONDS,UNRESOLVED_REQUIRES_MANUAL_BINDING
1776151200,1776151500,USDX,USDX,M5,Bid,98.099,98.099,98.084,98.091,22,35,0,MT5_PY_API_UNIX_SECONDS,UNRESOLVED_REQUIRES_MANUAL_BINDING
1776151500,1776151800,USDX,USDX,M5,Bid,98.084,98.091,98.074,98.091,35,35,0,MT5_PY_API_UNIX_SECONDS,UNRESOLVED_REQUIRES_MANUAL_BINDING
1776151800,1776152100,USDX,USDX,M5,Bid,98.086,98.096,98.084,98.094,18,35,0,MT5_PY_API_UNIX_SECONDS,UNRESOLVED_REQUIRES_MANUAL_BINDING
1776152100,1776152400,USDX,USDX,M5,Bid,98.091,98.106,98.091,98.099,18,35,0,MT5_PY_API_UNIX_SECONDS,UNRESOLVED_REQUIRES_MANUAL_BINDING
1776152400,1776152700,USDX,USDX,M5,Bid,98.099,98.101,98.094,98.094,20,35,0,MT5_PY_API_UNIX_SECONDS,UNRESOLVED_REQUIRES_MANUAL_BINDING
1776152700,1776153000,USDX,USDX,M5,Bid,98.096,98.096,98.081,98.084,19,35,0,MT5_PY_API_UNIX_SECONDS,UNRESOLVED_REQUIRES_MANUAL_BINDING
1776153000,1776153300,USDX,USDX,M5,Bid,98.086,98.091,98.069,98.076,28,35,0,MT5_PY_API_UNIX_SECONDS,UNRESOLVED_REQUIRES_MANUAL_BINDING
1776153300,1776153600,USDX,USDX,M5,Bid,98.079,98.094,98.074,98.089,34,35,0,MT5_PY_API_UNIX_SECONDS,UNRESOLVED_REQUIRES_MANUAL_BINDING
1776153600,1776153900,USDX,USDX,M5,Bid,98.094,98.096,98.064,98.069,53,35,0,MT5_PY_API_UNIX_SECONDS,UNRESOLVED_REQUIRES_MANUAL_BINDING
1776153900,1776154200,USDX,USDX,M5,Bid,98.071,98.086,98.064,98.084,36,35,0,MT5_PY_API_UNIX_SECONDS,UNRESOLVED_REQUIRES_MANUAL_BINDING
1776154200,1776154500,USDX,USDX,M5,Bid,98.079,98.104,98.079,98.101,42,35,0,MT5_PY_API_UNIX_SECONDS,UNRESOLVED_REQUIRES_MANUAL_BINDING
1776154500,1776154800,USDX,USDX,M5,Bid,98.096,98.116,98.094,98.109,20,35,0,MT5_PY_API_UNIX_SECONDS,UNRESOLVED_REQUIRES_MANUAL_BINDING
1776154800,1776155100,USDX,USDX,M5,Bid,98.111,98.126,98.109,98.126,29,35,0,MT5_PY_API_UNIX_SECONDS,UNRESOLVED_REQUIRES_MANUAL_BINDING
1776155100,1776155400,USDX,USDX,M5,Bid,98.124,98.146,98.124,98.139,38,35,0,MT5_PY_API_UNIX_SECONDS,UNRESOLVED_REQUIRES_MANUAL_BINDING
1776155400,1776155700,USDX,USDX,M5,Bid,98.134,98.156,98.134,98.141,42,35,0,MT5_PY_API_UNIX_SECONDS,UNRESOLVED_REQUIRES_MANUAL_BINDING
1776155700,1776156000,USDX,USDX,M5,Bid,98.139,98.154,98.124,98.131,34,35,0,MT5_PY_API_UNIX_SECONDS,UNRESOLVED_REQUIRES_MANUAL_BINDING
1776156000,1776156300,USDX,USDX,M5,Bid,98.126,98.126,98.104,98.111,46,35,0,MT5_PY_API_UNIX_SECONDS,UNRESOLVED_REQUIRES_MANUAL_BINDING
1776156300,1776156600,USDX,USDX,M5,Bid,98.111,98.129,98.099,98.124,49,35,0,MT5_PY_API_UNIX_SECONDS,UNRESOLVED_REQUIRES_MANUAL_BINDING
1776156600,1776156900,USDX,USDX,M5,Bid,98.119,98.131,98.114,98.124,34,35,0,MT5_PY_API_UNIX_SECONDS,UNRESOLVED_REQUIRES_MANUAL_BINDING
1776156900,1776157200,USDX,USDX,M5,Bid,98.121,98.131,98.114,98.116,66,35,0,MT5_PY_API_UNIX_SECONDS,UNRESOLVED_REQUIRES_MANUAL_BINDING
1776157200,1776157500,USDX,USDX,M5,Bid,98.116,98.116,98.064,98.109,141,35,0,MT5_PY_API_UNIX_SECONDS,UNRESOLVED_REQUIRES_MANUAL_BINDING
1776157500,1776157800,USDX,USDX,M5,Bid,98.116,98.126,98.109,98.126,76,35,0,MT5_PY_API_UNIX_SECONDS,UNRESOLVED_REQUIRES_MANUAL_BINDING
1776157800,1776158100,USDX,USDX,M5,Bid,98.119,98.144,98.119,98.144,63,35,0,MT5_PY_API_UNIX_SECONDS,UNRESOLVED_REQUIRES_MANUAL_BINDING
