matrix_id,candidate_id,candidate_alias,candidate_role,test_type,test_id,feature_family,features_or_replacements,reason,expected_read,priority,execution_status
s264_aih__abl_gate_stage56_signal,s264_allow_inner_high_quarter,s264_aih,challenger,feature_category_ablation(피처 범주 제거),abl_gate_stage56_signal,stage56_context_signal,stage56_context_et_event_signal,Tests whether later candidates only inherit Stage56(56단계) context signal(문맥 신호).,If removal breaks all candidates then prior research is over-compressed into one gate.,P2(우선순위 2),planned_for_run267N_or_later(267N 이후 계획)
s264_aih__abl_gate_rank_bucket,s264_allow_inner_high_quarter,s264_aih,challenger,feature_category_ablation(피처 범주 제거),abl_gate_rank_bucket,source_feature_rank_bucket,stage258/262/264_source_feature_rank_bucket,Tests lowrank/highrank dependency(낮은 순위/높은 순위 의존성).,Stable candidates should not rely only on a rank bucket(순위 구간) trick.,P2(우선순위 2),planned_for_run267N_or_later(267N 이후 계획)
s264_aih__abl_gate_variant_rule,s264_allow_inner_high_quarter,s264_aih,challenger,feature_category_ablation(피처 범주 제거),abl_gate_variant_rule,source_feature_gate,stage258/262/264_source_feature_gate_*,Tests whether the named candidate gate(후보 게이트) itself is the whole edge(우위).,If one candidate collapses uniquely then downgrade candidate role.,P2(우선순위 2),planned_for_run267N_or_later(267N 이후 계획)
s264_aih__abl_price_return_range,s264_allow_inner_high_quarter,s264_aih,challenger,feature_category_ablation(피처 범주 제거),abl_price_return_range,price_return_range,log_return_1;log_return_3;hl_range;close_open_ratio;gap_percent;close_prev_close_ratio;return_zscore_20;hl_zscore_50;return_1_over_atr_14,Checks price movement dependency(가격 움직임 의존성).,Candidate should degrade gradually rather than fully collapse.,P2(우선순위 2),planned_for_run267N_or_later(267N 이후 계획)
s264_aih__abl_ma_trend,s264_allow_inner_high_quarter,s264_aih,challenger,feature_category_ablation(피처 범주 제거),abl_ma_trend,moving_average_trend,close_ema20_ratio;close_ema50_ratio;ema9_ema20_diff;ema20_ema50_diff;ema50_ema200_diff;ema20_ema50_spread_zscore_50;sma50_sma200_ratio,Checks trend slope/spread dependency(추세 기울기/간격 의존성).,Collapse means trend family(추세군) overfit risk.,P1(우선순위 1),planned_for_run267N_or_later(267N 이후 계획)
s264_aih__abl_oscillator_momentum,s264_allow_inner_high_quarter,s264_aih,challenger,feature_category_ablation(피처 범주 제거),abl_oscillator_momentum,oscillator_momentum,rsi_14;rsi_50;rsi_14_slope_3;rsi_14_minus_50;stoch_kd_diff;stochrsi_kd_diff;ppo_hist_12_26_9;roc_12;trix_15,Checks oscillator/momentum dependency(오실레이터/모멘텀 의존성).,Useful candidate should retain some shape without one oscillator family.,P1(우선순위 1),planned_for_run267N_or_later(267N 이후 계획)
s264_aih__abl_volatility_bandwidth,s264_allow_inner_high_quarter,s264_aih,challenger,feature_category_ablation(피처 범주 제거),abl_volatility_bandwidth,volatility_bandwidth,atr_14;atr_50;atr_14_over_atr_50;bollinger_width_20;bb_position_20;bb_squeeze;historical_vol_20;historical_vol_5_over_20,Checks volatility/risk dependency(변동성/위험 의존성).,Collapse means risk/ATR(위험/ATR) logic may be acting as hidden edge.,P0(우선순위 0),planned_for_run267N_or_later(267N 이후 계획)
s264_aih__abl_trend_strength_direction,s264_allow_inner_high_quarter,s264_aih,challenger,feature_category_ablation(피처 범주 제거),abl_trend_strength_direction,trend_strength_direction,adx_14;di_spread_14;supertrend_10_3;vortex_indicator,Checks ADX/trend-strength dependency(ADX/추세 강도 의존성).,Must be paired with similar replacement(유사 대체).,P0(우선순위 0),planned_for_run267N_or_later(267N 이후 계획)
s264_aih__abl_session_timing,s264_allow_inner_high_quarter,s264_aih,challenger,feature_category_ablation(피처 범주 제거),abl_session_timing,session_timing,is_us_cash_open;minutes_from_cash_open;is_first_30m_after_open;is_last_30m_before_cash_close;overnight_return,Checks session concentration(세션 집중).,If candidate only works in one session then downgrade breadth(폭).,P2(우선순위 2),planned_for_run267N_or_later(267N 이후 계획)
s264_aih__abl_external_macro_risk,s264_allow_inner_high_quarter,s264_aih,challenger,feature_category_ablation(피처 범주 제거),abl_external_macro_risk,external_macro_risk,vix_change_1;vix_zscore_20;us10yr_change_1;us10yr_zscore_20;usdx_change_1;usdx_zscore_20,Checks macro risk dependency(거시 위험 의존성).,Missing macro context should be recorded as Tier B(티어 B) sensitivity.,P2(우선순위 2),planned_for_run267N_or_later(267N 이후 계획)
