run_id,variant_id,attempt_name,decision,source_bucket,bar_hour,cycle_count,order_filled_count,mean_p_short,mean_p_long,claim_boundary
run364BY_review_overlay_hour17_native_short_ablation_runtime_probe_without_db_v1,bx01_overlay_hour17_only_keep_native_short,run364BX_bx01_hour17_overlay_keep_native_short,short,native_short_threshold,19,38,18,0.4700588584,0.354060195,research_development_runtime_ablation_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364BY_review_overlay_hour17_native_short_ablation_runtime_probe_without_db_v1,bx01_overlay_hour17_only_keep_native_short,run364BX_bx01_hour17_overlay_keep_native_short,short,native_short_threshold,20,19,14,0.4663733777,0.3647373413,research_development_runtime_ablation_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364BY_review_overlay_hour17_native_short_ablation_runtime_probe_without_db_v1,bx01_overlay_hour17_only_keep_native_short,run364BX_bx01_hour17_overlay_keep_native_short,short,native_short_threshold,21,10,8,0.4635025471,0.3559490383,research_development_runtime_ablation_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364BY_review_overlay_hour17_native_short_ablation_runtime_probe_without_db_v1,bx01_overlay_hour17_only_keep_native_short,run364BX_bx01_hour17_overlay_keep_native_short,short,synthetic_short_overlay,17,96,44,0.4646211086,0.352078431,research_development_runtime_ablation_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364BY_review_overlay_hour17_native_short_ablation_runtime_probe_without_db_v1,bx02_native_short_only_overlay_disabled,run364BX_bx02_native_short_only_overlay_disabled,flat,long_threshold,16,180,4,0.3598304301,0.3870157472,research_development_runtime_ablation_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364BY_review_overlay_hour17_native_short_ablation_runtime_probe_without_db_v1,bx02_native_short_only_overlay_disabled,run364BX_bx02_native_short_only_overlay_disabled,flat,long_threshold,17,528,17,0.3553968562,0.3851255457,research_development_runtime_ablation_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364BY_review_overlay_hour17_native_short_ablation_runtime_probe_without_db_v1,bx02_native_short_only_overlay_disabled,run364BX_bx02_native_short_only_overlay_disabled,flat,long_threshold,18,388,11,0.3526589034,0.3735005724,research_development_runtime_ablation_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364BY_review_overlay_hour17_native_short_ablation_runtime_probe_without_db_v1,bx02_native_short_only_overlay_disabled,run364BX_bx02_native_short_only_overlay_disabled,flat,long_threshold,19,317,7,0.3481069164,0.3677318708,research_development_runtime_ablation_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364BY_review_overlay_hour17_native_short_ablation_runtime_probe_without_db_v1,bx02_native_short_only_overlay_disabled,run364BX_bx02_native_short_only_overlay_disabled,flat,long_threshold,20,222,6,0.3476859847,0.3684898415,research_development_runtime_ablation_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364BY_review_overlay_hour17_native_short_ablation_runtime_probe_without_db_v1,bx02_native_short_only_overlay_disabled,run364BX_bx02_native_short_only_overlay_disabled,flat,long_threshold,21,131,3,0.3516860563,0.3743067909,research_development_runtime_ablation_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364BY_review_overlay_hour17_native_short_ablation_runtime_probe_without_db_v1,bx02_native_short_only_overlay_disabled,run364BX_bx02_native_short_only_overlay_disabled,flat,long_threshold,22,8,0,0.3483754769,0.3681818098,research_development_runtime_ablation_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364BY_review_overlay_hour17_native_short_ablation_runtime_probe_without_db_v1,bx02_native_short_only_overlay_disabled,run364BX_bx02_native_short_only_overlay_disabled,flat,native_short_threshold,16,60,2,0.4661719933,0.3652556419,research_development_runtime_ablation_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364BY_review_overlay_hour17_native_short_ablation_runtime_probe_without_db_v1,bx02_native_short_only_overlay_disabled,run364BX_bx02_native_short_only_overlay_disabled,flat,native_short_threshold,17,10,0,0.4630678296,0.3750070572,research_development_runtime_ablation_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364BY_review_overlay_hour17_native_short_ablation_runtime_probe_without_db_v1,bx02_native_short_only_overlay_disabled,run364BX_bx02_native_short_only_overlay_disabled,flat,native_short_threshold,18,5,1,0.4565845847,0.36980564,research_development_runtime_ablation_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364BY_review_overlay_hour17_native_short_ablation_runtime_probe_without_db_v1,bx02_native_short_only_overlay_disabled,run364BX_bx02_native_short_only_overlay_disabled,flat,native_short_threshold,19,3,0,0.4596788188,0.3898079395,research_development_runtime_ablation_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364BY_review_overlay_hour17_native_short_ablation_runtime_probe_without_db_v1,bx02_native_short_only_overlay_disabled,run364BX_bx02_native_short_only_overlay_disabled,flat,native_short_threshold,20,3,0,0.4659171104,0.3709535797,research_development_runtime_ablation_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364BY_review_overlay_hour17_native_short_ablation_runtime_probe_without_db_v1,bx02_native_short_only_overlay_disabled,run364BX_bx02_native_short_only_overlay_disabled,flat,native_short_threshold,21,1,0,0.4547335505,0.3625802398,research_development_runtime_ablation_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364BY_review_overlay_hour17_native_short_ablation_runtime_probe_without_db_v1,bx02_native_short_only_overlay_disabled,run364BX_bx02_native_short_only_overlay_disabled,flat,other_runtime_source,16,812,18,0.38375435,0.3623033054,research_development_runtime_ablation_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364BY_review_overlay_hour17_native_short_ablation_runtime_probe_without_db_v1,bx02_native_short_only_overlay_disabled,run364BX_bx02_native_short_only_overlay_disabled,flat,other_runtime_source,17,1687,120,0.3644447698,0.3500902943,research_development_runtime_ablation_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364BY_review_overlay_hour17_native_short_ablation_runtime_probe_without_db_v1,bx02_native_short_only_overlay_disabled,run364BX_bx02_native_short_only_overlay_disabled,flat,other_runtime_source,18,2079,128,0.3543645327,0.3443101654,research_development_runtime_ablation_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364BY_review_overlay_hour17_native_short_ablation_runtime_probe_without_db_v1,bx02_native_short_only_overlay_disabled,run364BX_bx02_native_short_only_overlay_disabled,flat,other_runtime_source,19,2273,102,0.3449283935,0.3386746023,research_development_runtime_ablation_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364BY_review_overlay_hour17_native_short_ablation_runtime_probe_without_db_v1,bx02_native_short_only_overlay_disabled,run364BX_bx02_native_short_only_overlay_disabled,flat,other_runtime_source,20,2412,58,0.3368356754,0.3326948132,research_development_runtime_ablation_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364BY_review_overlay_hour17_native_short_ablation_runtime_probe_without_db_v1,bx02_native_short_only_overlay_disabled,run364BX_bx02_native_short_only_overlay_disabled,flat,other_runtime_source,21,2146,72,0.3285138802,0.3272450171,research_development_runtime_ablation_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364BY_review_overlay_hour17_native_short_ablation_runtime_probe_without_db_v1,bx02_native_short_only_overlay_disabled,run364BX_bx02_native_short_only_overlay_disabled,flat,other_runtime_source,22,231,3,0.3201476199,0.3222351998,research_development_runtime_ablation_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364BY_review_overlay_hour17_native_short_ablation_runtime_probe_without_db_v1,bx02_native_short_only_overlay_disabled,run364BX_bx02_native_short_only_overlay_disabled,long,long_threshold,16,447,162,0.3606728958,0.3799816369,research_development_runtime_ablation_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364BY_review_overlay_hour17_native_short_ablation_runtime_probe_without_db_v1,bx02_native_short_only_overlay_disabled,run364BX_bx02_native_short_only_overlay_disabled,long,long_threshold,17,1233,416,0.3545126099,0.3776005827,research_development_runtime_ablation_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364BY_review_overlay_hour17_native_short_ablation_runtime_probe_without_db_v1,bx02_native_short_only_overlay_disabled,run364BX_bx02_native_short_only_overlay_disabled,long,long_threshold,18,861,299,0.3508318824,0.3683579128,research_development_runtime_ablation_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364BY_review_overlay_hour17_native_short_ablation_runtime_probe_without_db_v1,bx02_native_short_only_overlay_disabled,run364BX_bx02_native_short_only_overlay_disabled,long,long_threshold,19,507,167,0.3412847621,0.3620057137,research_development_runtime_ablation_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364BY_review_overlay_hour17_native_short_ablation_runtime_probe_without_db_v1,bx02_native_short_only_overlay_disabled,run364BX_bx02_native_short_only_overlay_disabled,long,long_threshold,20,379,162,0.3445247338,0.362583691,research_development_runtime_ablation_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364BY_review_overlay_hour17_native_short_ablation_runtime_probe_without_db_v1,bx02_native_short_only_overlay_disabled,run364BX_bx02_native_short_only_overlay_disabled,long,long_threshold,21,284,104,0.3460453982,0.3626929217,research_development_runtime_ablation_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364BY_review_overlay_hour17_native_short_ablation_runtime_probe_without_db_v1,bx02_native_short_only_overlay_disabled,run364BX_bx02_native_short_only_overlay_disabled,long,long_threshold,22,22,14,0.3439672644,0.3585101976,research_development_runtime_ablation_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364BY_review_overlay_hour17_native_short_ablation_runtime_probe_without_db_v1,bx02_native_short_only_overlay_disabled,run364BX_bx02_native_short_only_overlay_disabled,short,native_short_threshold,17,77,45,0.4711597562,0.3592299989,research_development_runtime_ablation_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364BY_review_overlay_hour17_native_short_ablation_runtime_probe_without_db_v1,bx02_native_short_only_overlay_disabled,run364BX_bx02_native_short_only_overlay_disabled,short,native_short_threshold,18,55,32,0.4713112604,0.3609077584,research_development_runtime_ablation_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364BY_review_overlay_hour17_native_short_ablation_runtime_probe_without_db_v1,bx02_native_short_only_overlay_disabled,run364BX_bx02_native_short_only_overlay_disabled,short,native_short_threshold,19,38,18,0.4700588584,0.354060195,research_development_runtime_ablation_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364BY_review_overlay_hour17_native_short_ablation_runtime_probe_without_db_v1,bx02_native_short_only_overlay_disabled,run364BX_bx02_native_short_only_overlay_disabled,short,native_short_threshold,20,19,14,0.4663733777,0.3647373413,research_development_runtime_ablation_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364BY_review_overlay_hour17_native_short_ablation_runtime_probe_without_db_v1,bx02_native_short_only_overlay_disabled,run364BX_bx02_native_short_only_overlay_disabled,short,native_short_threshold,21,10,8,0.4635025471,0.3559490383,research_development_runtime_ablation_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364BY_review_overlay_hour17_native_short_ablation_runtime_probe_without_db_v1,bx03_hour17_overlay_plus_weak_late_session_firewall,run364BX_bx03_hour17_overlay_weak_late_firewall,flat,long_threshold,16,180,4,0.3598304301,0.3870157472,research_development_runtime_ablation_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364BY_review_overlay_hour17_native_short_ablation_runtime_probe_without_db_v1,bx03_hour17_overlay_plus_weak_late_session_firewall,run364BX_bx03_hour17_overlay_weak_late_firewall,flat,long_threshold,17,528,17,0.3553968562,0.3851255457,research_development_runtime_ablation_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364BY_review_overlay_hour17_native_short_ablation_runtime_probe_without_db_v1,bx03_hour17_overlay_plus_weak_late_session_firewall,run364BX_bx03_hour17_overlay_weak_late_firewall,flat,long_threshold,18,388,11,0.3526589034,0.3735005724,research_development_runtime_ablation_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364BY_review_overlay_hour17_native_short_ablation_runtime_probe_without_db_v1,bx03_hour17_overlay_plus_weak_late_session_firewall,run364BX_bx03_hour17_overlay_weak_late_firewall,flat,long_threshold,19,317,7,0.3481069164,0.3677318708,research_development_runtime_ablation_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364BY_review_overlay_hour17_native_short_ablation_runtime_probe_without_db_v1,bx03_hour17_overlay_plus_weak_late_session_firewall,run364BX_bx03_hour17_overlay_weak_late_firewall,flat,long_threshold,20,222,6,0.3476859847,0.3684898415,research_development_runtime_ablation_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364BY_review_overlay_hour17_native_short_ablation_runtime_probe_without_db_v1,bx03_hour17_overlay_plus_weak_late_session_firewall,run364BX_bx03_hour17_overlay_weak_late_firewall,flat,long_threshold,21,131,3,0.3516860563,0.3743067909,research_development_runtime_ablation_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364BY_review_overlay_hour17_native_short_ablation_runtime_probe_without_db_v1,bx03_hour17_overlay_plus_weak_late_session_firewall,run364BX_bx03_hour17_overlay_weak_late_firewall,flat,long_threshold,22,9,0,0.3512845304,0.3708743784,research_development_runtime_ablation_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364BY_review_overlay_hour17_native_short_ablation_runtime_probe_without_db_v1,bx03_hour17_overlay_plus_weak_late_session_firewall,run364BX_bx03_hour17_overlay_weak_late_firewall,flat,native_short_threshold,16,60,2,0.4661719933,0.3652556419,research_development_runtime_ablation_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
