variant_id,close_month,trade_count,net_profit,expectancy,win_count,loss_count,win_rate_percent,gross_profit,gross_loss,profit_factor,avg_hold_minutes,claim_boundary
bv_full_overlay_reference,2025-01,89,24.88,0.279551,44,45,49.438202,266.67,-241.79,1.102899,133.314607,research_development_runtime_ablation_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
bv_full_overlay_reference,2025-02,75,70.98,0.9464,40,35,53.333333,257.7,-186.72,1.380141,197.875111,research_development_runtime_ablation_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
bv_full_overlay_reference,2025-03,9,44.61,4.956667,5,4,55.555556,51.55,-6.94,7.427954,473.333333,research_development_runtime_ablation_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
bv_full_overlay_reference,2025-04,120,182.83,1.523583,61,59,50.833333,660.7,-477.87,1.382594,109.208333,research_development_runtime_ablation_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
bv_full_overlay_reference,2025-05,75,113.63,1.515067,44,31,58.666667,251.87,-138.24,1.821976,174.2,research_development_runtime_ablation_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
bv_full_overlay_reference,2025-06,69,18.33,0.265652,35,34,50.724638,142.34,-124.01,1.147811,106.594203,research_development_runtime_ablation_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
bv_full_overlay_reference,2025-07,35,7.07,0.202,18,17,51.428571,79.95,-72.88,1.097009,99.142857,research_development_runtime_ablation_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
bv_full_overlay_reference,2025-08,47,-1.01,-0.021489,20,27,42.553191,113.46,-114.47,0.991177,85.106383,research_development_runtime_ablation_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
bv_full_overlay_reference,2025-09,52,35.43,0.681346,24,28,46.153846,133.21,-97.78,1.362344,99.519231,research_development_runtime_ablation_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
bv_full_overlay_reference,2025-10,79,51.96,0.657722,45,34,56.962025,253.23,-201.27,1.258161,46.329114,research_development_runtime_ablation_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
