run_id,adapter_id,split,month,trade_count,net_profit,profit_factor,winner_count,loser_count,quality_flag
run217A_stage217_oos_preserving_mid_pf_micro_interpolation_v1,s217_r031375_s20325_t4615,validation_is,2025.01,30,11.94,1.116956,15,15,pf_below_34d
run217A_stage217_oos_preserving_mid_pf_micro_interpolation_v1,s217_r031375_s20325_t4615,validation_is,2025.02,36,170.95,2.157649,23,13,acceptable_measurement_only
run217A_stage217_oos_preserving_mid_pf_micro_interpolation_v1,s217_r031375_s20325_t4615,validation_is,2025.03,32,5.04,1.023852,13,19,pf_below_34d
run217A_stage217_oos_preserving_mid_pf_micro_interpolation_v1,s217_r031375_s20325_t4615,validation_is,2025.04,53,262.69,1.936206,33,20,acceptable_measurement_only
run217A_stage217_oos_preserving_mid_pf_micro_interpolation_v1,s217_r031375_s20325_t4615,validation_is,2025.05,28,19.29,1.113611,13,15,pf_below_34d
run217A_stage217_oos_preserving_mid_pf_micro_interpolation_v1,s217_r031375_s20325_t4615,validation_is,2025.06,22,124.98,2.263317,15,7,acceptable_measurement_only
run217A_stage217_oos_preserving_mid_pf_micro_interpolation_v1,s217_r031375_s20325_t4615,validation_is,2025.07,20,161.48,2.271096,11,9,acceptable_measurement_only
run217A_stage217_oos_preserving_mid_pf_micro_interpolation_v1,s217_r031375_s20325_t4615,validation_is,2025.08,25,47.86,1.168071,11,14,pf_below_34d
run217A_stage217_oos_preserving_mid_pf_micro_interpolation_v1,s217_r031375_s20325_t4615,validation_is,2025.09,23,147.93,1.898997,14,9,acceptable_measurement_only
run217A_stage217_oos_preserving_mid_pf_micro_interpolation_v1,s217_r031375_s20325_t4615,oos,2025.10,21,21.7,1.31223,13,8,pf_below_34d
run217A_stage217_oos_preserving_mid_pf_micro_interpolation_v1,s217_r031375_s20325_t4615,oos,2025.11,33,202.62,3.101867,21,12,acceptable_measurement_only
run217A_stage217_oos_preserving_mid_pf_micro_interpolation_v1,s217_r031375_s20325_t4615,oos,2025.12,20,-29.93,0.773874,10,10,negative_month
run217A_stage217_oos_preserving_mid_pf_micro_interpolation_v1,s217_r031375_s20325_t4615,oos,2026.01,31,120.36,1.983092,18,13,acceptable_measurement_only
run217A_stage217_oos_preserving_mid_pf_micro_interpolation_v1,s217_r031375_s20325_t4615,oos,2026.02,38,105.64,1.520138,20,18,pf_below_34d
run217A_stage217_oos_preserving_mid_pf_micro_interpolation_v1,s217_r031375_s20325_t4615,oos,2026.03,40,304.92,2.119712,21,19,acceptable_measurement_only
run217A_stage217_oos_preserving_mid_pf_micro_interpolation_v1,s217_r031375_s20325_t4615,oos,2026.04,12,-5.83,0.921471,7,5,negative_month
run217A_stage217_oos_preserving_mid_pf_micro_interpolation_v1,s217_r031375_s20375_t4625,validation_is,2025.01,30,11.99,1.117399,15,15,pf_below_34d
run217A_stage217_oos_preserving_mid_pf_micro_interpolation_v1,s217_r031375_s20375_t4625,validation_is,2025.02,36,171.35,2.167234,23,13,acceptable_measurement_only
run217A_stage217_oos_preserving_mid_pf_micro_interpolation_v1,s217_r031375_s20375_t4625,validation_is,2025.03,32,5.16,1.024421,13,19,pf_below_34d
run217A_stage217_oos_preserving_mid_pf_micro_interpolation_v1,s217_r031375_s20375_t4625,validation_is,2025.04,53,263.74,1.942568,33,20,acceptable_measurement_only
run217A_stage217_oos_preserving_mid_pf_micro_interpolation_v1,s217_r031375_s20375_t4625,validation_is,2025.05,28,19.3,1.113677,13,15,pf_below_34d
run217A_stage217_oos_preserving_mid_pf_micro_interpolation_v1,s217_r031375_s20375_t4625,validation_is,2025.06,22,121.31,2.188964,15,7,acceptable_measurement_only
run217A_stage217_oos_preserving_mid_pf_micro_interpolation_v1,s217_r031375_s20375_t4625,validation_is,2025.07,20,161.54,2.276693,11,9,acceptable_measurement_only
run217A_stage217_oos_preserving_mid_pf_micro_interpolation_v1,s217_r031375_s20375_t4625,validation_is,2025.08,25,46.72,1.164287,11,14,pf_below_34d
