ledger_row_id,stage_id,run_id,subrun_id,parent_run_id,record_view,tier_scope,kpi_scope,scoreboard_lane,status,judgment,path,primary_kpi,guardrail_kpi,external_verification_status,notes
run200A_stage200_stage198_mid_drawdown_entry_quality_repair_v1__mt5_tier_a_only_s200_cd8_ref_r0325_validation_is,200_adapter_research__stage198_mid_drawdown_entry_quality_repair,run200A_stage200_stage198_mid_drawdown_entry_quality_repair_v1,mt5_tier_a_only_s200_cd8_ref_r0325_validation_is,run200A_stage200_stage198_mid_drawdown_entry_quality_repair_v1,mt5_tier_a_only_s200_cd8_ref_r0325_validation_is,Tier A,trading_risk_execution,runtime_probe,completed,inconclusive_tier_only_runtime_probe,stages/200_adapter_research__stage198_mid_drawdown_entry_quality_repair/02_runs/run200A/mt5/reports/Project_Obsidian_Prime_v2_run200A_stage200_stage198_mid_drawdown_entry_quality_repair_v1_s200_cd8_ref_r0325_ta_val.htm,net_profit=1124.48;pf=1.74;expectancy=4.85;trades=232;win_rate=55.6,labelable=NA;feature_ready=9844;model_ok=9844;no_tier_labelable=NA;max_dd=161.33;recovery=6.97;fill=404;reject=0;skip=42964;subtypes=NA,completed,Tier A only standalone MT5 tester run.
run200A_stage200_stage198_mid_drawdown_entry_quality_repair_v1__mt5_routed_s200_cd8_ref_r0325_validation_is,200_adapter_research__stage198_mid_drawdown_entry_quality_repair,run200A_stage200_stage198_mid_drawdown_entry_quality_repair_v1,mt5_routed_s200_cd8_ref_r0325_validation_is,run200A_stage200_stage198_mid_drawdown_entry_quality_repair_v1,mt5_routed_s200_cd8_ref_r0325_validation_is,Tier A+B,trading_risk_execution,runtime_probe,completed,inconclusive_routed_total_runtime_probe,stages/200_adapter_research__stage198_mid_drawdown_entry_quality_repair/02_runs/run200A/mt5/reports/Project_Obsidian_Prime_v2_run200A_stage200_stage198_mid_drawdown_entry_quality_repair_v1_s200_cd8_ref_r0325_rt_val.htm,net_profit=1124.48;pf=1.74;expectancy=4.85;trades=232;win_rate=55.6,a_used=9844;b_fallback=0;no_tier_labelable=NA;max_dd=161.33;recovery=6.97;fill=404;reject=0;skip=42964,completed,Actual routed total from one MT5 tester account path; not a synthetic sum.
run200A_stage200_stage198_mid_drawdown_entry_quality_repair_v1__mt5_tier_a_only_s200_cd8_ref_r0325_oos,200_adapter_research__stage198_mid_drawdown_entry_quality_repair,run200A_stage200_stage198_mid_drawdown_entry_quality_repair_v1,mt5_tier_a_only_s200_cd8_ref_r0325_oos,run200A_stage200_stage198_mid_drawdown_entry_quality_repair_v1,mt5_tier_a_only_s200_cd8_ref_r0325_oos,Tier A,trading_risk_execution,runtime_probe,completed,inconclusive_tier_only_runtime_probe,stages/200_adapter_research__stage198_mid_drawdown_entry_quality_repair/02_runs/run200A/mt5/reports/Project_Obsidian_Prime_v2_run200A_stage200_stage198_mid_drawdown_entry_quality_repair_v1_s200_cd8_ref_r0325_ta_oos.htm,net_profit=802.04;pf=1.93;expectancy=5.04;trades=159;win_rate=56.6,labelable=NA;feature_ready=7584;model_ok=7584;no_tier_labelable=NA;max_dd=109.31;recovery=7.34;fill=274;reject=0;skip=29753;subtypes=NA,completed,Tier A only standalone MT5 tester run.
run200A_stage200_stage198_mid_drawdown_entry_quality_repair_v1__mt5_routed_s200_cd8_ref_r0325_oos,200_adapter_research__stage198_mid_drawdown_entry_quality_repair,run200A_stage200_stage198_mid_drawdown_entry_quality_repair_v1,mt5_routed_s200_cd8_ref_r0325_oos,run200A_stage200_stage198_mid_drawdown_entry_quality_repair_v1,mt5_routed_s200_cd8_ref_r0325_oos,Tier A+B,trading_risk_execution,runtime_probe,completed,inconclusive_routed_total_runtime_probe,stages/200_adapter_research__stage198_mid_drawdown_entry_quality_repair/02_runs/run200A/mt5/reports/Project_Obsidian_Prime_v2_run200A_stage200_stage198_mid_drawdown_entry_quality_repair_v1_s200_cd8_ref_r0325_rt_oos.htm,net_profit=802.04;pf=1.93;expectancy=5.04;trades=159;win_rate=56.6,a_used=7584;b_fallback=0;no_tier_labelable=NA;max_dd=109.31;recovery=7.34;fill=274;reject=0;skip=29753,completed,Actual routed total from one MT5 tester account path; not a synthetic sum.
run200A_stage200_stage198_mid_drawdown_entry_quality_repair_v1__mt5_tier_a_only_s200_cd8_thr55_r0325_validation_is,200_adapter_research__stage198_mid_drawdown_entry_quality_repair,run200A_stage200_stage198_mid_drawdown_entry_quality_repair_v1,mt5_tier_a_only_s200_cd8_thr55_r0325_validation_is,run200A_stage200_stage198_mid_drawdown_entry_quality_repair_v1,mt5_tier_a_only_s200_cd8_thr55_r0325_validation_is,Tier A,trading_risk_execution,runtime_probe,completed,inconclusive_tier_only_runtime_probe,stages/200_adapter_research__stage198_mid_drawdown_entry_quality_repair/02_runs/run200A/mt5/reports/Project_Obsidian_Prime_v2_run200A_stage200_stage198_mid_drawdown_entry_quality_repair_v1_s200_cd8_thr55_r0325_ta_val.htm,net_profit=1124.48;pf=1.74;expectancy=4.85;trades=232;win_rate=55.6,labelable=NA;feature_ready=9844;model_ok=9844;no_tier_labelable=NA;max_dd=161.33;recovery=6.97;fill=404;reject=0;skip=42964;subtypes=NA,completed,Tier A only standalone MT5 tester run.
run200A_stage200_stage198_mid_drawdown_entry_quality_repair_v1__mt5_routed_s200_cd8_thr55_r0325_validation_is,200_adapter_research__stage198_mid_drawdown_entry_quality_repair,run200A_stage200_stage198_mid_drawdown_entry_quality_repair_v1,mt5_routed_s200_cd8_thr55_r0325_validation_is,run200A_stage200_stage198_mid_drawdown_entry_quality_repair_v1,mt5_routed_s200_cd8_thr55_r0325_validation_is,Tier A+B,trading_risk_execution,runtime_probe,completed,inconclusive_routed_total_runtime_probe,stages/200_adapter_research__stage198_mid_drawdown_entry_quality_repair/02_runs/run200A/mt5/reports/Project_Obsidian_Prime_v2_run200A_stage200_stage198_mid_drawdown_entry_quality_repair_v1_s200_cd8_thr55_r0325_rt_val.htm,net_profit=1124.48;pf=1.74;expectancy=4.85;trades=232;win_rate=55.6,a_used=9844;b_fallback=0;no_tier_labelable=NA;max_dd=161.33;recovery=6.97;fill=404;reject=0;skip=42964,completed,Actual routed total from one MT5 tester account path; not a synthetic sum.
run200A_stage200_stage198_mid_drawdown_entry_quality_repair_v1__mt5_tier_a_only_s200_cd8_thr55_r0325_oos,200_adapter_research__stage198_mid_drawdown_entry_quality_repair,run200A_stage200_stage198_mid_drawdown_entry_quality_repair_v1,mt5_tier_a_only_s200_cd8_thr55_r0325_oos,run200A_stage200_stage198_mid_drawdown_entry_quality_repair_v1,mt5_tier_a_only_s200_cd8_thr55_r0325_oos,Tier A,trading_risk_execution,runtime_probe,completed,inconclusive_tier_only_runtime_probe,stages/200_adapter_research__stage198_mid_drawdown_entry_quality_repair/02_runs/run200A/mt5/reports/Project_Obsidian_Prime_v2_run200A_stage200_stage198_mid_drawdown_entry_quality_repair_v1_s200_cd8_thr55_r0325_ta_oos.htm,net_profit=802.04;pf=1.93;expectancy=5.04;trades=159;win_rate=56.6,labelable=NA;feature_ready=7584;model_ok=7584;no_tier_labelable=NA;max_dd=109.31;recovery=7.34;fill=274;reject=0;skip=29753;subtypes=NA,completed,Tier A only standalone MT5 tester run.
run200A_stage200_stage198_mid_drawdown_entry_quality_repair_v1__mt5_routed_s200_cd8_thr55_r0325_oos,200_adapter_research__stage198_mid_drawdown_entry_quality_repair,run200A_stage200_stage198_mid_drawdown_entry_quality_repair_v1,mt5_routed_s200_cd8_thr55_r0325_oos,run200A_stage200_stage198_mid_drawdown_entry_quality_repair_v1,mt5_routed_s200_cd8_thr55_r0325_oos,Tier A+B,trading_risk_execution,runtime_probe,completed,inconclusive_routed_total_runtime_probe,stages/200_adapter_research__stage198_mid_drawdown_entry_quality_repair/02_runs/run200A/mt5/reports/Project_Obsidian_Prime_v2_run200A_stage200_stage198_mid_drawdown_entry_quality_repair_v1_s200_cd8_thr55_r0325_rt_oos.htm,net_profit=802.04;pf=1.93;expectancy=5.04;trades=159;win_rate=56.6,a_used=7584;b_fallback=0;no_tier_labelable=NA;max_dd=109.31;recovery=7.34;fill=274;reject=0;skip=29753,completed,Actual routed total from one MT5 tester account path; not a synthetic sum.
run200A_stage200_stage198_mid_drawdown_entry_quality_repair_v1__mt5_tier_a_only_s200_cd8_qwide_r0325_validation_is,200_adapter_research__stage198_mid_drawdown_entry_quality_repair,run200A_stage200_stage198_mid_drawdown_entry_quality_repair_v1,mt5_tier_a_only_s200_cd8_qwide_r0325_validation_is,run200A_stage200_stage198_mid_drawdown_entry_quality_repair_v1,mt5_tier_a_only_s200_cd8_qwide_r0325_validation_is,Tier A,trading_risk_execution,runtime_probe,completed,inconclusive_tier_only_runtime_probe,stages/200_adapter_research__stage198_mid_drawdown_entry_quality_repair/02_runs/run200A/mt5/reports/Project_Obsidian_Prime_v2_run200A_stage200_stage198_mid_drawdown_entry_quality_repair_v1_s200_cd8_qwide_r0325_ta_val.htm,net_profit=625.05;pf=1.61;expectancy=3.68;trades=170;win_rate=51.76,labelable=NA;feature_ready=9844;model_ok=9844;no_tier_labelable=NA;max_dd=145.43;recovery=4.3;fill=294;reject=0;skip=42964;subtypes=NA,completed,Tier A only standalone MT5 tester run.
run200A_stage200_stage198_mid_drawdown_entry_quality_repair_v1__mt5_routed_s200_cd8_qwide_r0325_validation_is,200_adapter_research__stage198_mid_drawdown_entry_quality_repair,run200A_stage200_stage198_mid_drawdown_entry_quality_repair_v1,mt5_routed_s200_cd8_qwide_r0325_validation_is,run200A_stage200_stage198_mid_drawdown_entry_quality_repair_v1,mt5_routed_s200_cd8_qwide_r0325_validation_is,Tier A+B,trading_risk_execution,runtime_probe,completed,inconclusive_routed_total_runtime_probe,stages/200_adapter_research__stage198_mid_drawdown_entry_quality_repair/02_runs/run200A/mt5/reports/Project_Obsidian_Prime_v2_run200A_stage200_stage198_mid_drawdown_entry_quality_repair_v1_s200_cd8_qwide_r0325_rt_val.htm,net_profit=625.05;pf=1.61;expectancy=3.68;trades=170;win_rate=51.76,a_used=9844;b_fallback=0;no_tier_labelable=NA;max_dd=145.43;recovery=4.3;fill=294;reject=0;skip=42964,completed,Actual routed total from one MT5 tester account path; not a synthetic sum.
