protocol_id,branch_id,branch_name,proxy_expected_status,proxy_expected_available,required_dimensions,review_status,claim_effect
run335F_design_guarded_branch_probe_protocols_v1__cost_spread_slippage_grid_guard,run335C_b01_cost_spread_slippage_grid_guard,cost_spread_slippage_grid_guard,schema_materialized_no_proxy_result_yet,false,"[""net_profit"", ""profit_factor"", ""max_drawdown"", ""trades_per_day"", ""expectancy"", ""recovery_factor"", ""curve_pocket"", ""underwater_stretch"", ""lot_normalized_result"", ""spread_slippage_stress"", ""session_hour_regime"", ""long_short_attribution""]",passed_schema_only,proxy expected numeric values are missing; no proxy positive or usability claim is allowed
run335F_design_guarded_branch_probe_protocols_v1__curve_noncalendar_state_holdout,run335C_b02_curve_noncalendar_state_holdout,curve_noncalendar_state_holdout,schema_materialized_no_proxy_result_yet,false,"[""net_profit"", ""profit_factor"", ""max_drawdown"", ""trades_per_day"", ""expectancy"", ""recovery_factor"", ""curve_pocket"", ""underwater_stretch"", ""lot_normalized_result"", ""spread_slippage_stress"", ""session_hour_regime"", ""long_short_attribution""]",passed_schema_only,proxy expected numeric values are missing; no proxy positive or usability claim is allowed
run335F_design_guarded_branch_probe_protocols_v1__direction_symmetry_no_side_drop,run335C_b03_direction_symmetry_no_side_drop,direction_symmetry_no_side_drop,schema_materialized_no_proxy_result_yet,false,"[""net_profit"", ""profit_factor"", ""max_drawdown"", ""trades_per_day"", ""expectancy"", ""recovery_factor"", ""curve_pocket"", ""underwater_stretch"", ""lot_normalized_result"", ""spread_slippage_stress"", ""session_hour_regime"", ""long_short_attribution""]",passed_schema_only,proxy expected numeric values are missing; no proxy positive or usability claim is allowed
run335F_design_guarded_branch_probe_protocols_v1__drawdown_underwater_recovery_quality,run335C_b04_drawdown_underwater_recovery_quality,drawdown_underwater_recovery_quality,schema_materialized_no_proxy_result_yet,false,"[""net_profit"", ""profit_factor"", ""max_drawdown"", ""trades_per_day"", ""expectancy"", ""recovery_factor"", ""curve_pocket"", ""underwater_stretch"", ""lot_normalized_result"", ""spread_slippage_stress"", ""session_hour_regime"", ""long_short_attribution""]",passed_schema_only,proxy expected numeric values are missing; no proxy positive or usability claim is allowed
run335F_design_guarded_branch_probe_protocols_v1__regime_predeclared_macro_state,run335C_b05_regime_predeclared_macro_state,regime_predeclared_macro_state,schema_materialized_no_proxy_result_yet,false,"[""net_profit"", ""profit_factor"", ""max_drawdown"", ""trades_per_day"", ""expectancy"", ""recovery_factor"", ""curve_pocket"", ""underwater_stretch"", ""lot_normalized_result"", ""spread_slippage_stress"", ""session_hour_regime"", ""long_short_attribution""]",passed_schema_only,proxy expected numeric values are missing; no proxy positive or usability claim is allowed
run335F_design_guarded_branch_probe_protocols_v1__runtime_identity_strict_handoff,run335C_b06_runtime_identity_strict_handoff,runtime_identity_strict_handoff,schema_materialized_no_proxy_result_yet,false,"[""net_profit"", ""profit_factor"", ""max_drawdown"", ""trades_per_day"", ""expectancy"", ""recovery_factor"", ""curve_pocket"", ""underwater_stretch"", ""lot_normalized_result"", ""spread_slippage_stress"", ""session_hour_regime"", ""long_short_attribution""]",passed_schema_only,proxy expected numeric values are missing; no proxy positive or usability claim is allowed
run335F_design_guarded_branch_probe_protocols_v1__cp322a_exact_blocker_control,run335C_b07_cp322a_exact_blocker_control,cp322a_exact_blocker_control,schema_materialized_no_proxy_result_yet,false,"[""net_profit"", ""profit_factor"", ""max_drawdown"", ""trades_per_day"", ""expectancy"", ""recovery_factor"", ""curve_pocket"", ""underwater_stretch"", ""lot_normalized_result"", ""spread_slippage_stress"", ""session_hour_regime"", ""long_short_attribution""]",passed_schema_only,proxy expected numeric values are missing; no proxy positive or usability claim is allowed
run335F_design_guarded_branch_probe_protocols_v1__cost_curve_drawdown_interaction_guard,run335C_b08_cost_curve_drawdown_interaction_guard,cost_curve_drawdown_interaction_guard,schema_materialized_no_proxy_result_yet,false,"[""net_profit"", ""profit_factor"", ""max_drawdown"", ""trades_per_day"", ""expectancy"", ""recovery_factor"", ""curve_pocket"", ""underwater_stretch"", ""lot_normalized_result"", ""spread_slippage_stress"", ""session_hour_regime"", ""long_short_attribution""]",passed_schema_only,proxy expected numeric values are missing; no proxy positive or usability claim is allowed
run335F_design_guarded_branch_probe_protocols_v1__regime_direction_interaction_guard,run335C_b09_regime_direction_interaction_guard,regime_direction_interaction_guard,schema_materialized_no_proxy_result_yet,false,"[""net_profit"", ""profit_factor"", ""max_drawdown"", ""trades_per_day"", ""expectancy"", ""recovery_factor"", ""curve_pocket"", ""underwater_stretch"", ""lot_normalized_result"", ""spread_slippage_stress"", ""session_hour_regime"", ""long_short_attribution""]",passed_schema_only,proxy expected numeric values are missing; no proxy positive or usability claim is allowed
run335F_design_guarded_branch_probe_protocols_v1__subject_swap_negative_control,run335C_b10_subject_swap_negative_control,subject_swap_negative_control,schema_materialized_no_proxy_result_yet,false,"[""net_profit"", ""profit_factor"", ""max_drawdown"", ""trades_per_day"", ""expectancy"", ""recovery_factor"", ""curve_pocket"", ""underwater_stretch"", ""lot_normalized_result"", ""spread_slippage_stress"", ""session_hour_regime"", ""long_short_attribution""]",passed_schema_only,proxy expected numeric values are missing; no proxy positive or usability claim is allowed
run335F_design_guarded_branch_probe_protocols_v1__null_adjacent_period_control,run335C_b11_null_adjacent_period_control,null_adjacent_period_control,schema_materialized_no_proxy_result_yet,false,"[""net_profit"", ""profit_factor"", ""max_drawdown"", ""trades_per_day"", ""expectancy"", ""recovery_factor"", ""curve_pocket"", ""underwater_stretch"", ""lot_normalized_result"", ""spread_slippage_stress"", ""session_hour_regime"", ""long_short_attribution""]",passed_schema_only,proxy expected numeric values are missing; no proxy positive or usability claim is allowed
