branch_name,attempt_name,stress_model,extra_cost_per_trade,trade_count,net_profit,profit_factor,expectancy,closed_balance_max_drawdown,recovery_factor_closed,stress_use,claim_boundary
cp322a_exact_blocker_control,c56_bal_rf,extra_round_turn_result_currency_per_trade,0,75,1.45,1.0042465954,0.0193333333333,106.45,0.0136214185063,diagnostic_cost_fragility_only_no_retune,research_development_only_stage335N_branch_specific_runtime_metric_materialization_no_model_training_no_threshold_retuning_no_lot_optimization_no_direct_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
cp322a_exact_blocker_control,c56_bal_rf,extra_round_turn_result_currency_per_trade,0.25,75,-17.3,0.950634897988,-0.230666666667,109.2,-0.158424908425,diagnostic_cost_fragility_only_no_retune,research_development_only_stage335N_branch_specific_runtime_metric_materialization_no_model_training_no_threshold_retuning_no_lot_optimization_no_direct_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
cp322a_exact_blocker_control,c56_bal_rf,extra_round_turn_result_currency_per_trade,0.5,75,-36.05,0.899730203321,-0.480666666667,111.95,-0.322018758374,diagnostic_cost_fragility_only_no_retune,research_development_only_stage335N_branch_specific_runtime_metric_materialization_no_model_training_no_threshold_retuning_no_lot_optimization_no_direct_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
cp322a_exact_blocker_control,c56_bal_rf,extra_round_turn_result_currency_per_trade,1,75,-73.55,0.80559813924,-0.980666666667,117.45,-0.626223925074,diagnostic_cost_fragility_only_no_retune,research_development_only_stage335N_branch_specific_runtime_metric_materialization_no_model_training_no_threshold_retuning_no_lot_optimization_no_direct_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
cp322a_exact_blocker_control,c56_bal_rf,extra_round_turn_result_currency_per_trade,2,75,-148.55,0.643696632447,-1.98066666667,157.55,-0.94287527769,diagnostic_cost_fragility_only_no_retune,research_development_only_stage335N_branch_specific_runtime_metric_materialization_no_model_training_no_threshold_retuning_no_lot_optimization_no_direct_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
curve_noncalendar_state_holdout,c56_bal_rf,extra_round_turn_result_currency_per_trade,0,75,1.45,1.0042465954,0.0193333333333,106.45,0.0136214185063,diagnostic_cost_fragility_only_no_retune,research_development_only_stage335N_branch_specific_runtime_metric_materialization_no_model_training_no_threshold_retuning_no_lot_optimization_no_direct_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
curve_noncalendar_state_holdout,c56_bal_rf,extra_round_turn_result_currency_per_trade,0.25,75,-17.3,0.950634897988,-0.230666666667,109.2,-0.158424908425,diagnostic_cost_fragility_only_no_retune,research_development_only_stage335N_branch_specific_runtime_metric_materialization_no_model_training_no_threshold_retuning_no_lot_optimization_no_direct_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
curve_noncalendar_state_holdout,c56_bal_rf,extra_round_turn_result_currency_per_trade,0.5,75,-36.05,0.899730203321,-0.480666666667,111.95,-0.322018758374,diagnostic_cost_fragility_only_no_retune,research_development_only_stage335N_branch_specific_runtime_metric_materialization_no_model_training_no_threshold_retuning_no_lot_optimization_no_direct_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
curve_noncalendar_state_holdout,c56_bal_rf,extra_round_turn_result_currency_per_trade,1,75,-73.55,0.80559813924,-0.980666666667,117.45,-0.626223925074,diagnostic_cost_fragility_only_no_retune,research_development_only_stage335N_branch_specific_runtime_metric_materialization_no_model_training_no_threshold_retuning_no_lot_optimization_no_direct_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
curve_noncalendar_state_holdout,c56_bal_rf,extra_round_turn_result_currency_per_trade,2,75,-148.55,0.643696632447,-1.98066666667,157.55,-0.94287527769,diagnostic_cost_fragility_only_no_retune,research_development_only_stage335N_branch_specific_runtime_metric_materialization_no_model_training_no_threshold_retuning_no_lot_optimization_no_direct_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
direction_symmetry_no_side_drop,c56_bal_rf,extra_round_turn_result_currency_per_trade,0,75,1.45,1.0042465954,0.0193333333333,106.45,0.0136214185063,diagnostic_cost_fragility_only_no_retune,research_development_only_stage335N_branch_specific_runtime_metric_materialization_no_model_training_no_threshold_retuning_no_lot_optimization_no_direct_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
direction_symmetry_no_side_drop,c56_bal_rf,extra_round_turn_result_currency_per_trade,0.25,75,-17.3,0.950634897988,-0.230666666667,109.2,-0.158424908425,diagnostic_cost_fragility_only_no_retune,research_development_only_stage335N_branch_specific_runtime_metric_materialization_no_model_training_no_threshold_retuning_no_lot_optimization_no_direct_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
direction_symmetry_no_side_drop,c56_bal_rf,extra_round_turn_result_currency_per_trade,0.5,75,-36.05,0.899730203321,-0.480666666667,111.95,-0.322018758374,diagnostic_cost_fragility_only_no_retune,research_development_only_stage335N_branch_specific_runtime_metric_materialization_no_model_training_no_threshold_retuning_no_lot_optimization_no_direct_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
direction_symmetry_no_side_drop,c56_bal_rf,extra_round_turn_result_currency_per_trade,1,75,-73.55,0.80559813924,-0.980666666667,117.45,-0.626223925074,diagnostic_cost_fragility_only_no_retune,research_development_only_stage335N_branch_specific_runtime_metric_materialization_no_model_training_no_threshold_retuning_no_lot_optimization_no_direct_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
direction_symmetry_no_side_drop,c56_bal_rf,extra_round_turn_result_currency_per_trade,2,75,-148.55,0.643696632447,-1.98066666667,157.55,-0.94287527769,diagnostic_cost_fragility_only_no_retune,research_development_only_stage335N_branch_specific_runtime_metric_materialization_no_model_training_no_threshold_retuning_no_lot_optimization_no_direct_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
drawdown_underwater_recovery_quality,c56_bal_rf,extra_round_turn_result_currency_per_trade,0,75,1.45,1.0042465954,0.0193333333333,106.45,0.0136214185063,diagnostic_cost_fragility_only_no_retune,research_development_only_stage335N_branch_specific_runtime_metric_materialization_no_model_training_no_threshold_retuning_no_lot_optimization_no_direct_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
drawdown_underwater_recovery_quality,c56_bal_rf,extra_round_turn_result_currency_per_trade,0.25,75,-17.3,0.950634897988,-0.230666666667,109.2,-0.158424908425,diagnostic_cost_fragility_only_no_retune,research_development_only_stage335N_branch_specific_runtime_metric_materialization_no_model_training_no_threshold_retuning_no_lot_optimization_no_direct_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
drawdown_underwater_recovery_quality,c56_bal_rf,extra_round_turn_result_currency_per_trade,0.5,75,-36.05,0.899730203321,-0.480666666667,111.95,-0.322018758374,diagnostic_cost_fragility_only_no_retune,research_development_only_stage335N_branch_specific_runtime_metric_materialization_no_model_training_no_threshold_retuning_no_lot_optimization_no_direct_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
drawdown_underwater_recovery_quality,c56_bal_rf,extra_round_turn_result_currency_per_trade,1,75,-73.55,0.80559813924,-0.980666666667,117.45,-0.626223925074,diagnostic_cost_fragility_only_no_retune,research_development_only_stage335N_branch_specific_runtime_metric_materialization_no_model_training_no_threshold_retuning_no_lot_optimization_no_direct_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
drawdown_underwater_recovery_quality,c56_bal_rf,extra_round_turn_result_currency_per_trade,2,75,-148.55,0.643696632447,-1.98066666667,157.55,-0.94287527769,diagnostic_cost_fragility_only_no_retune,research_development_only_stage335N_branch_specific_runtime_metric_materialization_no_model_training_no_threshold_retuning_no_lot_optimization_no_direct_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
null_adjacent_period_control,c56_bal_rf,extra_round_turn_result_currency_per_trade,0,75,1.45,1.0042465954,0.0193333333333,106.45,0.0136214185063,diagnostic_cost_fragility_only_no_retune,research_development_only_stage335N_branch_specific_runtime_metric_materialization_no_model_training_no_threshold_retuning_no_lot_optimization_no_direct_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
null_adjacent_period_control,c56_bal_rf,extra_round_turn_result_currency_per_trade,0.25,75,-17.3,0.950634897988,-0.230666666667,109.2,-0.158424908425,diagnostic_cost_fragility_only_no_retune,research_development_only_stage335N_branch_specific_runtime_metric_materialization_no_model_training_no_threshold_retuning_no_lot_optimization_no_direct_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
null_adjacent_period_control,c56_bal_rf,extra_round_turn_result_currency_per_trade,0.5,75,-36.05,0.899730203321,-0.480666666667,111.95,-0.322018758374,diagnostic_cost_fragility_only_no_retune,research_development_only_stage335N_branch_specific_runtime_metric_materialization_no_model_training_no_threshold_retuning_no_lot_optimization_no_direct_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
null_adjacent_period_control,c56_bal_rf,extra_round_turn_result_currency_per_trade,1,75,-73.55,0.80559813924,-0.980666666667,117.45,-0.626223925074,diagnostic_cost_fragility_only_no_retune,research_development_only_stage335N_branch_specific_runtime_metric_materialization_no_model_training_no_threshold_retuning_no_lot_optimization_no_direct_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
null_adjacent_period_control,c56_bal_rf,extra_round_turn_result_currency_per_trade,2,75,-148.55,0.643696632447,-1.98066666667,157.55,-0.94287527769,diagnostic_cost_fragility_only_no_retune,research_development_only_stage335N_branch_specific_runtime_metric_materialization_no_model_training_no_threshold_retuning_no_lot_optimization_no_direct_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
regime_direction_interaction_guard,c56_bal_rf,extra_round_turn_result_currency_per_trade,0,75,1.45,1.0042465954,0.0193333333333,106.45,0.0136214185063,diagnostic_cost_fragility_only_no_retune,research_development_only_stage335N_branch_specific_runtime_metric_materialization_no_model_training_no_threshold_retuning_no_lot_optimization_no_direct_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
regime_direction_interaction_guard,c56_bal_rf,extra_round_turn_result_currency_per_trade,0.25,75,-17.3,0.950634897988,-0.230666666667,109.2,-0.158424908425,diagnostic_cost_fragility_only_no_retune,research_development_only_stage335N_branch_specific_runtime_metric_materialization_no_model_training_no_threshold_retuning_no_lot_optimization_no_direct_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
regime_direction_interaction_guard,c56_bal_rf,extra_round_turn_result_currency_per_trade,0.5,75,-36.05,0.899730203321,-0.480666666667,111.95,-0.322018758374,diagnostic_cost_fragility_only_no_retune,research_development_only_stage335N_branch_specific_runtime_metric_materialization_no_model_training_no_threshold_retuning_no_lot_optimization_no_direct_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
regime_direction_interaction_guard,c56_bal_rf,extra_round_turn_result_currency_per_trade,1,75,-73.55,0.80559813924,-0.980666666667,117.45,-0.626223925074,diagnostic_cost_fragility_only_no_retune,research_development_only_stage335N_branch_specific_runtime_metric_materialization_no_model_training_no_threshold_retuning_no_lot_optimization_no_direct_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
regime_direction_interaction_guard,c56_bal_rf,extra_round_turn_result_currency_per_trade,2,75,-148.55,0.643696632447,-1.98066666667,157.55,-0.94287527769,diagnostic_cost_fragility_only_no_retune,research_development_only_stage335N_branch_specific_runtime_metric_materialization_no_model_training_no_threshold_retuning_no_lot_optimization_no_direct_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
regime_predeclared_macro_state,c56_bal_rf,extra_round_turn_result_currency_per_trade,0,75,1.45,1.0042465954,0.0193333333333,106.45,0.0136214185063,diagnostic_cost_fragility_only_no_retune,research_development_only_stage335N_branch_specific_runtime_metric_materialization_no_model_training_no_threshold_retuning_no_lot_optimization_no_direct_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
regime_predeclared_macro_state,c56_bal_rf,extra_round_turn_result_currency_per_trade,0.25,75,-17.3,0.950634897988,-0.230666666667,109.2,-0.158424908425,diagnostic_cost_fragility_only_no_retune,research_development_only_stage335N_branch_specific_runtime_metric_materialization_no_model_training_no_threshold_retuning_no_lot_optimization_no_direct_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
regime_predeclared_macro_state,c56_bal_rf,extra_round_turn_result_currency_per_trade,0.5,75,-36.05,0.899730203321,-0.480666666667,111.95,-0.322018758374,diagnostic_cost_fragility_only_no_retune,research_development_only_stage335N_branch_specific_runtime_metric_materialization_no_model_training_no_threshold_retuning_no_lot_optimization_no_direct_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
regime_predeclared_macro_state,c56_bal_rf,extra_round_turn_result_currency_per_trade,1,75,-73.55,0.80559813924,-0.980666666667,117.45,-0.626223925074,diagnostic_cost_fragility_only_no_retune,research_development_only_stage335N_branch_specific_runtime_metric_materialization_no_model_training_no_threshold_retuning_no_lot_optimization_no_direct_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
regime_predeclared_macro_state,c56_bal_rf,extra_round_turn_result_currency_per_trade,2,75,-148.55,0.643696632447,-1.98066666667,157.55,-0.94287527769,diagnostic_cost_fragility_only_no_retune,research_development_only_stage335N_branch_specific_runtime_metric_materialization_no_model_training_no_threshold_retuning_no_lot_optimization_no_direct_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
runtime_identity_strict_handoff,c56_bal_rf,extra_round_turn_result_currency_per_trade,0,75,1.45,1.0042465954,0.0193333333333,106.45,0.0136214185063,diagnostic_cost_fragility_only_no_retune,research_development_only_stage335N_branch_specific_runtime_metric_materialization_no_model_training_no_threshold_retuning_no_lot_optimization_no_direct_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
runtime_identity_strict_handoff,c56_bal_rf,extra_round_turn_result_currency_per_trade,0.25,75,-17.3,0.950634897988,-0.230666666667,109.2,-0.158424908425,diagnostic_cost_fragility_only_no_retune,research_development_only_stage335N_branch_specific_runtime_metric_materialization_no_model_training_no_threshold_retuning_no_lot_optimization_no_direct_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
runtime_identity_strict_handoff,c56_bal_rf,extra_round_turn_result_currency_per_trade,0.5,75,-36.05,0.899730203321,-0.480666666667,111.95,-0.322018758374,diagnostic_cost_fragility_only_no_retune,research_development_only_stage335N_branch_specific_runtime_metric_materialization_no_model_training_no_threshold_retuning_no_lot_optimization_no_direct_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
runtime_identity_strict_handoff,c56_bal_rf,extra_round_turn_result_currency_per_trade,1,75,-73.55,0.80559813924,-0.980666666667,117.45,-0.626223925074,diagnostic_cost_fragility_only_no_retune,research_development_only_stage335N_branch_specific_runtime_metric_materialization_no_model_training_no_threshold_retuning_no_lot_optimization_no_direct_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
runtime_identity_strict_handoff,c56_bal_rf,extra_round_turn_result_currency_per_trade,2,75,-148.55,0.643696632447,-1.98066666667,157.55,-0.94287527769,diagnostic_cost_fragility_only_no_retune,research_development_only_stage335N_branch_specific_runtime_metric_materialization_no_model_training_no_threshold_retuning_no_lot_optimization_no_direct_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
subject_swap_negative_control,c56_bal_rf,extra_round_turn_result_currency_per_trade,0,75,1.45,1.0042465954,0.0193333333333,106.45,0.0136214185063,diagnostic_cost_fragility_only_no_retune,research_development_only_stage335N_branch_specific_runtime_metric_materialization_no_model_training_no_threshold_retuning_no_lot_optimization_no_direct_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
subject_swap_negative_control,c56_bal_rf,extra_round_turn_result_currency_per_trade,0.25,75,-17.3,0.950634897988,-0.230666666667,109.2,-0.158424908425,diagnostic_cost_fragility_only_no_retune,research_development_only_stage335N_branch_specific_runtime_metric_materialization_no_model_training_no_threshold_retuning_no_lot_optimization_no_direct_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
subject_swap_negative_control,c56_bal_rf,extra_round_turn_result_currency_per_trade,0.5,75,-36.05,0.899730203321,-0.480666666667,111.95,-0.322018758374,diagnostic_cost_fragility_only_no_retune,research_development_only_stage335N_branch_specific_runtime_metric_materialization_no_model_training_no_threshold_retuning_no_lot_optimization_no_direct_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
subject_swap_negative_control,c56_bal_rf,extra_round_turn_result_currency_per_trade,1,75,-73.55,0.80559813924,-0.980666666667,117.45,-0.626223925074,diagnostic_cost_fragility_only_no_retune,research_development_only_stage335N_branch_specific_runtime_metric_materialization_no_model_training_no_threshold_retuning_no_lot_optimization_no_direct_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
subject_swap_negative_control,c56_bal_rf,extra_round_turn_result_currency_per_trade,2,75,-148.55,0.643696632447,-1.98066666667,157.55,-0.94287527769,diagnostic_cost_fragility_only_no_retune,research_development_only_stage335N_branch_specific_runtime_metric_materialization_no_model_training_no_threshold_retuning_no_lot_optimization_no_direct_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
cost_curve_drawdown_interaction_guard,c56_plain_rf,extra_round_turn_result_currency_per_trade,0,77,147.06,1.67202851529,1.90987012987,53.23,2.76272778508,diagnostic_cost_fragility_only_no_retune,research_development_only_stage335N_branch_specific_runtime_metric_materialization_no_model_training_no_threshold_retuning_no_lot_optimization_no_direct_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
cost_curve_drawdown_interaction_guard,c56_plain_rf,extra_round_turn_result_currency_per_trade,0.25,77,127.81,1.56408332598,1.65987012987,55.23,2.31414086547,diagnostic_cost_fragility_only_no_retune,research_development_only_stage335N_branch_specific_runtime_metric_materialization_no_model_training_no_threshold_retuning_no_lot_optimization_no_direct_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
cost_curve_drawdown_interaction_guard,c56_plain_rf,extra_round_turn_result_currency_per_trade,0.5,77,108.56,1.46256764242,1.40987012987,58.14,1.86721706226,diagnostic_cost_fragility_only_no_retune,research_development_only_stage335N_branch_specific_runtime_metric_materialization_no_model_training_no_threshold_retuning_no_lot_optimization_no_direct_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
cost_curve_drawdown_interaction_guard,c56_plain_rf,extra_round_turn_result_currency_per_trade,1,77,70.06,1.27884577114,0.90987012987,66.14,1.05926821893,diagnostic_cost_fragility_only_no_retune,research_development_only_stage335N_branch_specific_runtime_metric_materialization_no_model_training_no_threshold_retuning_no_lot_optimization_no_direct_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
