thesis_id,source_artifact,feature_family,bar_time_server,timestamp_utc,row_index,timestamp_hour_utc,timestamp_weekday_utc,session_bucket_utc,session_bucket_code,session_asia,session_europe,session_us_open,session_us_late,session_rollover,guard_score,guard_score_component_count,guard_score_valid_flag,guard_score_missing_flag,hard_veto_flag,soft_veto_flag,negative_control_flag,abstain_flag,guard_family,run_id,claim_boundary,scoring_mode,queue_id,view_signal_allowed_flag,mode_action,mode_veto_or_annotation_flag,hard_veto_rank,soft_veto_rank
pv_c56_session_liquidity_veto,c56_plain,session_liquidity_timing,2026.04.14 17:30:00,2026-04-14T17:30:00Z,10,17,1,us_late,3,0,0,0,1,0,0.5,1,1,0,0,0,0,0,session_liquidity_timing,run333C_materialize_guarded_veto_scoring_payloads_v1,research_development_only_guarded_veto_scoring_payload_materialization_no_threshold_retuning_no_lot_optimization_no_model_update_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve,control_no_veto,pv_c56_session_liquidity_veto__control_no_veto,1,baseline_no_veto,0,0.8,0.65
pv_c56_session_liquidity_veto,c56_plain,session_liquidity_timing,2026.04.14 17:35:00,2026-04-14T17:35:00Z,11,17,1,us_late,3,0,0,0,1,0,0.5,1,1,0,0,0,0,0,session_liquidity_timing,run333C_materialize_guarded_veto_scoring_payloads_v1,research_development_only_guarded_veto_scoring_payload_materialization_no_threshold_retuning_no_lot_optimization_no_model_update_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve,control_no_veto,pv_c56_session_liquidity_veto__control_no_veto,1,baseline_no_veto,0,0.8,0.65
pv_c56_session_liquidity_veto,c56_plain,session_liquidity_timing,2026.04.14 17:40:00,2026-04-14T17:40:00Z,12,17,1,us_late,3,0,0,0,1,0,0.5,1,1,0,0,0,0,0,session_liquidity_timing,run333C_materialize_guarded_veto_scoring_payloads_v1,research_development_only_guarded_veto_scoring_payload_materialization_no_threshold_retuning_no_lot_optimization_no_model_update_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve,control_no_veto,pv_c56_session_liquidity_veto__control_no_veto,1,baseline_no_veto,0,0.8,0.65
pv_c56_session_liquidity_veto,c56_plain,session_liquidity_timing,2026.04.14 17:50:00,2026-04-14T17:50:00Z,13,17,1,us_late,3,0,0,0,1,0,0.5,1,1,0,0,0,0,0,session_liquidity_timing,run333C_materialize_guarded_veto_scoring_payloads_v1,research_development_only_guarded_veto_scoring_payload_materialization_no_threshold_retuning_no_lot_optimization_no_model_update_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve,control_no_veto,pv_c56_session_liquidity_veto__control_no_veto,1,baseline_no_veto,0,0.8,0.65
pv_c56_session_liquidity_veto,c56_plain,session_liquidity_timing,2026.04.14 17:55:00,2026-04-14T17:55:00Z,14,17,1,us_late,3,0,0,0,1,0,0.5,1,1,0,0,0,0,0,session_liquidity_timing,run333C_materialize_guarded_veto_scoring_payloads_v1,research_development_only_guarded_veto_scoring_payload_materialization_no_threshold_retuning_no_lot_optimization_no_model_update_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve,control_no_veto,pv_c56_session_liquidity_veto__control_no_veto,1,baseline_no_veto,0,0.8,0.65
pv_c56_session_liquidity_veto,c56_plain,session_liquidity_timing,2026.04.14 18:00:00,2026-04-14T18:00:00Z,15,18,1,us_late,3,0,0,0,1,0,0.5,1,1,0,0,0,0,0,session_liquidity_timing,run333C_materialize_guarded_veto_scoring_payloads_v1,research_development_only_guarded_veto_scoring_payload_materialization_no_threshold_retuning_no_lot_optimization_no_model_update_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve,control_no_veto,pv_c56_session_liquidity_veto__control_no_veto,1,baseline_no_veto,0,0.8,0.65
pv_c56_session_liquidity_veto,c56_plain,session_liquidity_timing,2026.04.14 18:05:00,2026-04-14T18:05:00Z,16,18,1,us_late,3,0,0,0,1,0,0.5,1,1,0,0,0,0,0,session_liquidity_timing,run333C_materialize_guarded_veto_scoring_payloads_v1,research_development_only_guarded_veto_scoring_payload_materialization_no_threshold_retuning_no_lot_optimization_no_model_update_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve,control_no_veto,pv_c56_session_liquidity_veto__control_no_veto,1,baseline_no_veto,0,0.8,0.65
pv_c56_session_liquidity_veto,c56_plain,session_liquidity_timing,2026.04.14 18:10:00,2026-04-14T18:10:00Z,17,18,1,us_late,3,0,0,0,1,0,0.5,1,1,0,0,0,0,0,session_liquidity_timing,run333C_materialize_guarded_veto_scoring_payloads_v1,research_development_only_guarded_veto_scoring_payload_materialization_no_threshold_retuning_no_lot_optimization_no_model_update_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve,control_no_veto,pv_c56_session_liquidity_veto__control_no_veto,1,baseline_no_veto,0,0.8,0.65
pv_c56_session_liquidity_veto,c56_plain,session_liquidity_timing,2026.04.14 18:15:00,2026-04-14T18:15:00Z,18,18,1,us_late,3,0,0,0,1,0,0.5,1,1,0,0,0,0,0,session_liquidity_timing,run333C_materialize_guarded_veto_scoring_payloads_v1,research_development_only_guarded_veto_scoring_payload_materialization_no_threshold_retuning_no_lot_optimization_no_model_update_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve,control_no_veto,pv_c56_session_liquidity_veto__control_no_veto,1,baseline_no_veto,0,0.8,0.65
pv_c56_session_liquidity_veto,c56_plain,session_liquidity_timing,2026.04.14 18:20:00,2026-04-14T18:20:00Z,19,18,1,us_late,3,0,0,0,1,0,0.5,1,1,0,0,0,0,0,session_liquidity_timing,run333C_materialize_guarded_veto_scoring_payloads_v1,research_development_only_guarded_veto_scoring_payload_materialization_no_threshold_retuning_no_lot_optimization_no_model_update_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve,control_no_veto,pv_c56_session_liquidity_veto__control_no_veto,1,baseline_no_veto,0,0.8,0.65
pv_c56_session_liquidity_veto,c56_plain,session_liquidity_timing,2026.04.14 18:25:00,2026-04-14T18:25:00Z,20,18,1,us_late,3,0,0,0,1,0,0.5,1,1,0,0,0,0,0,session_liquidity_timing,run333C_materialize_guarded_veto_scoring_payloads_v1,research_development_only_guarded_veto_scoring_payload_materialization_no_threshold_retuning_no_lot_optimization_no_model_update_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve,control_no_veto,pv_c56_session_liquidity_veto__control_no_veto,1,baseline_no_veto,0,0.8,0.65
pv_c56_session_liquidity_veto,c56_plain,session_liquidity_timing,2026.04.14 18:30:00,2026-04-14T18:30:00Z,21,18,1,us_late,3,0,0,0,1,0,0.5,1,1,0,0,0,1,0,session_liquidity_timing,run333C_materialize_guarded_veto_scoring_payloads_v1,research_development_only_guarded_veto_scoring_payload_materialization_no_threshold_retuning_no_lot_optimization_no_model_update_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve,control_no_veto,pv_c56_session_liquidity_veto__control_no_veto,1,baseline_no_veto,0,0.8,0.65
pv_c56_session_liquidity_veto,c56_plain,session_liquidity_timing,2026.04.14 18:35:00,2026-04-14T18:35:00Z,22,18,1,us_late,3,0,0,0,1,0,0.5,1,1,0,0,0,0,0,session_liquidity_timing,run333C_materialize_guarded_veto_scoring_payloads_v1,research_development_only_guarded_veto_scoring_payload_materialization_no_threshold_retuning_no_lot_optimization_no_model_update_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve,control_no_veto,pv_c56_session_liquidity_veto__control_no_veto,1,baseline_no_veto,0,0.8,0.65
