bar_time_server,timestamp_utc,row_index,log_return_1,log_return_3,hl_range,close_open_ratio,gap_percent,close_prev_close_ratio,return_zscore_20,hl_zscore_50,overnight_return,return_1_over_atr_14,close_ema20_ratio,close_ema50_ratio,ema9_ema20_diff,ema20_ema50_diff,ema50_ema200_diff,ema20_ema50_spread_zscore_50,sma50_sma200_ratio,rsi_14,rsi_50,rsi_14_slope_3,rsi_14_minus_50,stoch_kd_diff,stochrsi_kd_diff,ppo_hist_12_26_9,roc_12,trix_15,atr_14,atr_50,atr_14_over_atr_50,bollinger_width_20,bb_position_20,bb_squeeze,historical_vol_20,historical_vol_5_over_20,adx_14,di_spread_14,supertrend_10_3,vortex_indicator,is_us_cash_open,minutes_from_cash_open,is_first_30m_after_open,is_last_30m_before_cash_close,vix_change_1,vix_zscore_20,us10yr_change_1,us10yr_zscore_20,usdx_change_1,usdx_zscore_20,nvda_xnas_log_return_1,aapl_xnas_log_return_1,msft_xnas_log_return_1,amzn_xnas_log_return_1,mega8_equal_return_1,mega8_pos_breadth_1,mega8_dispersion_5,us100_minus_mega8_equal_return_1
2026.04.14 16:35:00,2026-04-14T16:35:00Z,0,0.002455525333,0.0014960767,0.002794496948,1.002448678,9.794990547e-06,1.002458572,3.247227907,4.840578556,0.004800888244,3.196977377,1.001745224,1.002287865,6.022959232,13.82614708,81.2183075,0.3139455914,1.001841545,65.60916138,60.49791336,2.931789398,15.60916042,8.241215706,13.30797291,0.002649787348,0.00176187302,3.832324001e-05,19.67617035,14.56005383,1.351380348,0.001976564294,1.320699453,0,0.193937853,1.512090087,28.65270805,19.73647308,-1,0.1292262673,1,5,1,0,0.00248508947,1.720386982,0,-2.162308216,-0.0001022066426,0.7365413308,0.01568145491,0.003274964867,0.01927546971,0.02108120359,0.01308657695,1,0.007763927802,-0.01062803343
2026.04.14 16:40:00,2026-04-14T16:40:00Z,1,-0.0004104649124,0.001496691373,0.001700846478,0.9995993972,-9.770968063e-06,0.999589622,-0.6761513352,2.260095835,0.004800888244,-0.4909604788,1.001206994,1.001802802,8.388278961,15.1929884,81.81204987,0.7224724293,1.001851678,61.41679382,58.87934875,3.441434622,11.41679287,13.40259933,24.83692551,0.007928612642,0.001125387731,4.043564695e-05,21.37787247,15.13885307,1.412119746,0.002199343406,1.013697147,0,0.1958936006,1.552678466,30.14126587,23.46684456,-1,0.3164800107,1,10,1,0,0.002478929004,2.768723965,8.994423115e-05,-1.662996054,-0.0003270946909,-0.2480556667,-0.006997417659,0.003302614437,0.003388754092,0.005414771382,-0.0001448363619,0.5,0.009557060897,-0.0002655443095
2026.04.14 16:45:00,2026-04-14T16:45:00Z,2,0.001592053799,0.003637114307,0.001893329434,1.001593351,0,1.001593351,1.836438298,2.440257549,0.004800888244,1.750574112,1.002534628,1.003265262,14.20959091,18.60732841,83.53748322,1.662877202,1.001893401,69.54916382,62.81871033,8.303752899,19.54916191,23.61834526,31.11211014,0.02074709721,0.002710690023,4.664675726e-05,23.31516838,15.80607605,1.475076318,0.003237874247,1.299911261,0,0.2138369381,1.570347071,31.71777534,22.27772903,-1,0.2527999878,1,15,1,0,0,2.24640584,0.0003597445902,-5.900736171e-13,-5.11252656e-05,-0.3262798786,0.007517654914,0.002488944679,-0.00114528602,-0.001096869935,0.003313756082,0.75,0.007147406694,-0.001720434288
2026.04.14 16:50:00,2026-04-14T16:50:00Z,3,-6.831834617e-05,0.001113270526,0.001337133232,0.9999316931,0,0.9999316931,-0.2330638319,1.296747446,0.004800888244,-0.07262051851,1.002230763,1.003070951,17.96912003,21.40781403,85.09494019,2.381628036,1.001932025,68.87774658,62.55609512,1.089528084,18.87774467,9.080931664,10.51216888,0.0269548092,0.002681437414,5.511098061e-05,24.09622765,16.17495346,1.489724636,0.003914224915,1.114249468,0,0.2139436007,1.512464881,33.40377045,22.68380165,-1,0.4375939965,1,20,1,0,-0.0004945598193,1.761041164,-0.0001798076119,-0.7763189673,-5.112788131e-05,-0.4190732539,0.002649008064,-0.002412269358,0.0009926569182,0.000934446638,0.001962866634,0.875,0.008635516278,-0.002031182637
2026.04.14 16:55:00,2026-04-14T16:55:00Z,4,-0.0002342697699,0.001289465581,0.0008395650075,0.9997657537,0,0.9997657537,-0.4652116597,0.3194433451,0.004800888244,-0.2508740425,1.001805544,1.002724528,19.71946144,23.42613602,86.36763763,2.762820482,1.001972795,66.50709534,61.6543541,1.696768284,16.50709915,4.271734715,1.429287434,0.02757322975,0.002848946955,6.415339885e-05,23.91078186,16.28145599,1.468590021,0.004317739978,0.9720382094,0,0.2115166783,1.459817648,34.96933746,21.22689247,-1,0.3986735344,1,25,1,0,0.0004948045244,1.780138612,0,-0.7763189673,0.000173843684,0.3222810328,5.187125498e-05,-0.003494694363,-0.004359749611,0.001176972059,-0.0004067249829,0.625,0.00761933066,0.0001724826579
2026.04.14 17:00:00,2026-04-14T17:00:00Z,5,-0.0007715258398,-0.001074113999,0.0009574519936,0.9992385507,-9.762383343e-06,0.9992287755,-1.049667954,0.5243649483,0.004800888244,-0.8238999844,1.000934482,1.001874447,18.54171944,23.98668861,86.96656799,2.71006608,1.002006292,59.27506638,58.80706787,-3.424699306,9.275064468,-4.845816135,-8.300684929,0.02116421051,0.001761683379,7.155778439e-05,23.95286942,16.44582558,1.456471086,0.0044467072,0.7673766017,0,0.2175867856,1.014295816,34.69533157,13.11555099,-1,0.313613683,1,30,1,0,-0.0004945598193,1.384364605,0,-0.6955465078,0.0001329161751,0.8667872548,-0.003065017052,-0.002079563215,-0.003660522867,-0.003494376084,-0.003044658341,0,0.004913942423,0.002273429884
2026.04.14 17:05:00,2026-04-14T17:05:00Z,6,-1.954002801e-05,-0.00102533563,0.0008597696433,0.9999804497,0,0.9999804497,-0.1739364713,0.3166187406,0.004800888244,-0.02099619061,1.00082767,1.00178206,17.28370285,24.35636902,87.48770905,2.594558001,1.00203979,59.09985352,58.7369957,-3.259297609,9.099851608,-8.799040794,-13.30495453,0.01544351596,0.001899000606,7.736817497e-05,23.81337929,16.55690956,1.438274384,0.004424014129,0.7379873991,0,0.210548535,1.013990045,34.09698868,10.75030708,-1,0.2970860004,1,35,0,0,-0.001979218097,0.5199484229,0.0004495998437,1.289316773,-0.0001328985236,0.4085751474,-0.003387625329,0.00123285572,0.0006921745953,0.0009357391973,-0.0006345392903,0.625,0.004701254889,0.0006149994442
2026.04.14 17:10:00,2026-04-14T17:10:00Z,7,0.001444931724,0.0006538658636,0.001570716384,1.001446009,0,1.001446009,1.657952189,1.614412665,0.004800888244,1.482886076,1.002057791,1.003103495,19.92011452,26.65958786,89.03211975,2.813246965,1.002093077,66.89761353,62.14323807,0.1301723123,16.89761543,0.7208550572,-4.012848377,0.01977409795,0.003357544309,8.45391769e-05,24.98742294,17.03077126,1.46719265,0.004930959549,0.9815253019,0,0.2143898308,0.9265280962,34.41013718,16.65985298,-1,0.3541392982,1,40,0,0,-0.002478929004,-0.586324811,0.0006291569443,2.910145521,-2.044864414e-05,0.2879997492,0.002138145734,0.001884869649,0.003274916671,-0.0003253752075,0.002186920028,0.875,0.003092907835,-0.000740943884
2026.04.14 17:20:00,2026-04-14T17:20:00Z,8,-0.0003120368347,0.001786333509,0.0007899664342,0.9996977448,-9.749629498e-06,0.9996880293,-0.6162526608,0.08859959245,0.004800888244,-0.3178165555,1.001936674,1.003168344,24.30032921,31.41176414,92.5177002,2.987183094,1.00221312,66.79116058,62.41643524,2.563770294,16.79116249,9.296020508,11.31466389,0.02447876148,0.003376031062,0.0001022902579,25.16390038,17.40325356,1.445930839,0.005856643897,0.9008443356,0,0.2109332979,0.9908956289,36.14624023,21.57335281,-1,0.4966887534,1,50,0,0,-0.0004970178707,-0.7904931903,0,2.015969992,-0.0002045282599,-1.20748508,-0.000519858615,-0.002693863586,-0.0007420770708,-0.0003669949365,-0.00080879702,0.25,0.001543001621,0.0004968089052
2026.04.14 17:25:00,2026-04-14T17:25:00Z,9,0.001033249311,0.001374651096,0.001178854611,1.001033783,0,1.001033783,1.009497643,0.7910812497,0.004800888244,1.039181828,1.002688646,1.004039884,27.40740395,34.4404335,94.74204254,3.076561213,1.002279997,71.11026764,64.52526093,1.404217601,21.11026764,3.469822168,5.73139286,0.02876069397,0.004826283082,0.0001125785566,25.52719307,17.66018867,1.445465565,0.006462568417,0.9891562462,0,0.2165878862,0.8084182143,37.25104141,22.26562881,-1,0.5014376044,1,55,0,0,0,-0.773798883,-0.0002694691357,1.202311516,8.182803867e-05,-0.7856901288,0.001974026673,-0.001812817529,0.003704890842,0.0008153614472,0.002111191629,0.875,0.003432081779,-0.001077408437
